bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,3c0dd78b-b091-41ae-a361-77c798c2cb7a,1643973042311,13.3980322,52.4724284,5.974646,-0.65613127,-1.608033,-1.1924376,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,07667513-c31f-4d30-9bec-7ca86bf3c08c,1643973042367,13.3980322,52.4724284,5.974646,0.18040314,2.046926,1.3277407,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,2b2d27a0-657f-4035-82ab-507be02cf95a,1643973042420,13.3980322,52.4724284,5.974646,1.8206851,1.6965761,0.50085545,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,7559119e-0485-4d08-bd8e-5247e3ce535e,1643973042476,13.3980322,52.4724284,5.974646,-0.3495858,-3.5354044,2.4854212,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,8355e659-6d52-4e00-9509-ef3f9d407fbe,1643973042532,13.3980322,52.4724284,5.974646,1.0268888,2.981104,-2.9528604,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,a65b6503-77e1-4846-b7a6-b0919857f6b8,1643973042587,13.3980322,52.4724284,5.974646,-1.2430041,-4.5883684,2.9412308,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,1d9689d8-6091-4d22-8bf8-50b9c9704d27,1643973042645,13.3980322,52.4724284,5.974646,-0.7030075,1.1725492,-2.3211517,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,2e608d92-145c-44c2-a382-6652f531e286,1643973042698,13.3980322,52.4724284,5.974646,-0.9044869,-1.3180717,0.86559963,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,ac135af1-f199-449d-92d3-c1041e849b2e,1643973042753,13.3980322,52.4724284,5.974646,-0.013328612,-1.1416087,2.5779428,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,8f48c1a9-b223-482f-b8ef-aaf27f1851e3,1643973042808,13.3979572,52.4724626,6.069445,0.52365935,0.17790294,-1.4205961,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,78602c06-28ee-4be5-8d65-70434e6b7188,1643973042865,13.3979572,52.4724626,6.069445,-0.29257435,0.3219223,-2.2601109,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,c4e2531a-9df9-4368-afaf-c28e8899bb5f,1643973042921,13.3979572,52.4724626,6.069445,-1.8943549,-2.9380064,7.377964,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,a4d6cbd9-201d-4b06-8f8d-1cb77ee9f47f,1643973042978,13.3979572,52.4724626,6.069445,0.7886307,2.3076124,-7.9659224,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,3e010fd9-45c6-43bb-8e8b-838df11d33fd,1643973043033,13.3979572,52.4724626,6.069445,-4.137054,6.2044363,-1.5051546,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,13aaf94f-1eb1-4e15-849e-8f311270eb9d,1643973043088,13.3979572,52.4724626,6.069445,-0.84382826,3.9730835,0.8886051,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,525241dc-d5bd-41d1-a441-858260c7586a,1643973043142,13.3979572,52.4724626,6.069445,-0.14471069,5.218537,-1.5278578,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,6be497cc-93e1-41cb-ab0c-b84919abddf2,1643973043197,13.3979572,52.4724626,6.069445,-0.3721075,-2.6154504,1.7983084,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,b13a5398-2a28-497e-a95c-015b6bc9d68f,1643973043254,13.3979572,52.4724626,6.069445,0.27077958,-2.2703779,-2.729272,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,e20466b3-2d63-4bf7-851d-be3bf6097ee8,1643973043310,13.3979572,52.4724626,6.069445,-0.3626273,-5.495186,2.0689392,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,c0f525e9-7e7f-46de-a589-c2b966c043a2,752e31d9-5bd3-4a59-b7e7-ba40cc6828da,1643973043365,13.3979572,52.4724626,6.069445,0.6243356,-0.05406475,-1.5846791,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,612423e4-bd84-4621-a00b-0aac1b7aa654,98810f40-5a67-48e6-84d3-2ce49d12496c,1643973040646,13.3981889,52.4723769,5.823627,1.4973004,4.992047,-2.151363,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,612423e4-bd84-4621-a00b-0aac1b7aa654,40927b48-e95b-4b63-9267-3035be99d65d,1643973040698,13.3981889,52.4723769,5.823627,3.9080698,10.348915,12.169049,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,612423e4-bd84-4621-a00b-0aac1b7aa654,701efa45-21b6-43d4-875b-c9730cd0a023,1643973040753,13.3981889,52.4723769,5.823627,-1.8217609,6.26297,-0.6403532,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,612423e4-bd84-4621-a00b-0aac1b7aa654,fcc8862b-eff8-43cb-92ae-8082bc415eba,1643973040810,13.3981096,52.4723994,5.8826323,0.42926317,-2.0008714,-2.309095,on bike mount,cyclo cross,True,paving stones,good
8709a578-7c36-4f62-ac57-925fbd1789fe,612423e4-bd84-4621-a00b-0aac1b7aa654,2ce98b3a-a833-4a79-98b4-cdba3a49cf98,1643973040866,13.3981096,52.4723994,5.8826323,0.742261,9.348783,-0.9135351,on bike mount,cyclo cross,True,paving stones,good
