bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,b02d0a43-4379-48a8-9cd1-9e52917aaff4,1633154259741,13.4851372,52.486989,6.9323215,-1.3931782,-7.0917892,5.291933,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,90542cde-8599-429b-903b-f63c8fae1fe2,1633154259790,13.4851372,52.486989,6.9323215,-0.25930828,-5.086821,-3.9768693,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,ff201378-7fbd-4326-92e5-aaa9f76d5ca6,1633154259841,13.4851372,52.486989,6.9323215,0.27550253,4.1944647,-0.67446613,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,6c1d5524-673e-43bd-8c91-266e854fe151,1633154259891,13.4851372,52.486989,6.9323215,1.0407606,2.541183,-0.1107378,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,0a2b3a71-2c27-4411-a528-73cde3af8414,1633154259940,13.4851372,52.486989,6.9323215,0.8939369,-1.3698174,-0.44663048,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,40e2ae7a-638d-4683-8e79-8fbc9546d4ff,1633154259991,13.4851372,52.486989,6.9323215,2.7911944,2.3237352,-1.5441203,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,2a4eaeda-9873-4f55-a4af-a10c78916d00,1633154260042,13.4851372,52.486989,6.9323215,-2.01422,0.78070354,-1.0031004,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,309c86ee-91c5-47ec-ae04-57aae3f5307e,1633154260092,13.4851372,52.486989,6.9323215,1.6504538,4.1513767,-10.143284,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,9b33ea4e-251b-4db9-a36f-fa1e3824ed5b,1633154260142,13.4851372,52.486989,6.9323215,0.7741288,-0.22819805,-7.1303344,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,71e221f4-0420-4054-9c81-6d93e084e200,1633154260191,13.4851372,52.486989,6.9323215,-1.1308216,4.445669,-10.375868,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,64098aa4-f980-4df3-82da-7c88909032d4,1633154260241,13.4851372,52.486989,6.9323215,5.521443,-9.596386,-5.434224,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,ba9a39ec-f5f0-4f12-94fe-3b898639bc6b,1633154260291,13.4851372,52.486989,6.9323215,2.40044,6.647456,-9.261836,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,10ae98fd-dcc2-4d93-b029-7f8012e127b4,1633154260342,13.4851372,52.486989,6.9323215,0.33929136,-11.7452545,3.4709911,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,df8c673d-075d-4c52-9132-8f304847c0a0,1633154260392,13.4851372,52.486989,6.9323215,-0.56715834,-7.6095734,-0.7635355,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,d7af0ea1-912f-400c-9efc-7b88d4614a02,1633154260442,13.4851372,52.486989,6.9323215,1.6186625,-8.665065,0.33848953,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,35b84bd4-c34a-49aa-b767-67200f31876c,1633154260493,13.4851372,52.486989,6.9323215,-2.6795702,1.2385838,1.6308298,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,314e4bdb-6547-43ca-bf8f-4800d030e1cd,1633154260543,13.4851372,52.486989,6.9323215,0.2007553,4.4715796,-1.3690801,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,061a8b61-d1e6-42ff-8f55-4c147c5ea829,1633154260593,13.4851372,52.486989,6.9323215,0.06645608,-1.7174218,2.775835,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,656cf962-e298-4417-a575-6286211bd451,1633154260645,13.4852265,52.4870315,7.106277,0.031327367,-13.033774,0.9555378,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,0baa2a70-68e2-4293-9f50-df780e984f34,1633154260694,13.4852265,52.4870315,7.106277,-1.1349529,-8.191769,4.3424044,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,3d074b6b-29cb-4c45-82da-8131e15df27d,1633154260745,13.4852265,52.4870315,7.106277,3.8544412,2.3828354,-2.5812988,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,02a4e5b2-4e5e-4828-8da7-5f931ff1bf6e,1633154260795,13.4852265,52.4870315,7.106277,1.6994997,1.6489358,1.604393,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,2dfa57cc-060c-4624-a1cf-95343c4e7b21,1633154260846,13.4852265,52.4870315,7.106277,-0.43683922,3.0160565,-2.0014577,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,92ba942e-9437-4f69-8cf9-986e72980ff2,1633154260895,13.4852265,52.4870315,7.106277,2.3847835,-0.98723984,-0.2838354,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,9e547850-1882-4660-8dc4-6ffa95870164,1633154260945,13.4852265,52.4870315,7.106277,2.0379353,-8.201852,6.9998283,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,6aec0bf1-1dcc-4745-af0a-01971aad1473,1633154260994,13.4852265,52.4870315,7.106277,-2.013832,5.835208,-0.12921429,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,7d97bcdb-d10e-4ff1-b79a-77047c9d6e62,1633154261044,13.4852265,52.4870315,7.106277,1.2216728,7.362642,-2.5193968,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,3356ac75-ac62-4df6-a3b4-506094b8863d,1633154261094,13.4852265,52.4870315,7.106277,2.1432931,-3.1084087,1.2513742,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,89ad6c50-7722-40f7-bb4e-dc067a22ba65,1633154261144,13.4852265,52.4870315,7.106277,-0.32453465,-6.418485,-3.4291058,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,4a0d9b39-50dc-4b3c-a9db-588f8e04c7c5,1633154261194,13.4852265,52.4870315,7.106277,-0.23418659,1.1710031,-6.614867,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,733977f4-a64a-4970-accc-ab91bdad18a3,1633154261244,13.4852265,52.4870315,7.106277,4.0118947,1.225009,-0.18321133,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,409ad847-983a-4d0e-a3c5-4d051c2720a5,1633154261294,13.4852265,52.4870315,7.106277,-1.2176971,-2.5393944,1.4360037,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,9cd9cbff-d1ec-4e81-a99e-461d2cfb328b,1633154261344,13.4852265,52.4870315,7.106277,-0.7420354,-4.139599,2.1014166,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,79a25fee-f140-47b5-a076-4ec1a7ccea9d,1633154261394,13.4852265,52.4870315,7.106277,1.0814375,-1.2759746,-4.692033,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,19ac8682-f747-4172-85cc-158388021aa8,1633154261444,13.4852265,52.4870315,7.106277,-2.8753278,2.3444963,-0.37969208,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,51f12e23-7d53-4b5c-b7ad-303b163b13c1,1633154261495,13.4852265,52.4870315,7.106277,1.1738963,-1.2162366,3.7110415,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,65168b62-8322-45dd-9b8c-214cb4ce4be0,1633154261545,13.4852265,52.4870315,7.106277,0.26006287,3.992733,-2.4821563,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,f3120997-e021-4033-bc0a-04854d237f4e,1633154261595,13.4852265,52.4870315,7.106277,1.2211788,5.1162877,5.329071,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,00cd825f-75da-4b50-9c16-474bc1d8a2c7,1633154261645,13.4853175,52.4870653,6.723949,-2.2422886,5.6829953,1.1806526,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,796e21e9-72b8-4242-b577-238a672a1453,1633154261695,13.4853175,52.4870653,6.723949,0.5058918,-15.552335,15.251979,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,1f9106c6-5867-43ee-a99b-7a8bca0a02de,1633154261745,13.4853175,52.4870653,6.723949,3.6355522,-3.1280386,10.722349,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,819b94a6-0f67-419d-9415-cbab16880151,1633154261795,13.4853175,52.4870653,6.723949,1.1020384,8.231882,-1.5371923,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,17ea6ae8-7026-4565-9ccd-48fc08f82e2b,1633154261846,13.4853175,52.4870653,6.723949,2.129991,-1.3591566,13.211519,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,b1027db1-a05d-4f2e-9ace-7292118c551d,1633154261896,13.4853175,52.4870653,6.723949,1.209148,-26.363773,13.525518,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,28cb9bf8-02d2-4987-a7bf-a0cddf0b3e2c,1633154261947,13.4853175,52.4870653,6.723949,-1.4061184,8.244352,12.35087,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,0c1b5d28-359c-4920-b641-8712de7acd1a,1633154261996,13.4853175,52.4870653,6.723949,-1.7741232,14.039925,5.99936,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,55b0e99a-4277-401e-ac8e-f26206e39f01,1633154262047,13.4853175,52.4870653,6.723949,-0.8501913,12.529744,-2.3484445,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,1aa7a681-dc26-4368-bf2c-bdcdc7f70ed9,1633154262098,13.4853175,52.4870653,6.723949,-1.2788143,13.122471,-9.9257965,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,ac9d4e80-50d5-4f7d-b4b0-0093b7cc2d18,1633154262148,13.4853175,52.4870653,6.723949,2.130274,-8.037469,10.604599,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,f7add838-3ad3-4c23-bdc5-9103327ba23d,1633154262199,13.4853175,52.4870653,6.723949,-1.3369571,-0.7882066,11.980402,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,a2f8a141-9da7-40f7-ac75-25fe68f26866,1633154262250,13.4853175,52.4870653,6.723949,-2.031197,7.6007414,10.157869,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,5161dd15-12ae-42c1-85ac-c2ac04a45f73,1633154262300,13.4853175,52.4870653,6.723949,-0.47658563,-3.6752615,2.7885094,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,4899126c-f3bc-429f-a000-18ec6a72cc6a,1633154262349,13.4853175,52.4870653,6.723949,3.4048843,1.8339787,-3.1700907,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,f741bbc8-8364-41bd-893f-de4fdb543bdf,1633154262401,13.4853175,52.4870653,6.723949,4.793095,10.963131,-2.3561578,on bike mount,cyclo cross,True,fine gravel,good
87111597-b36c-48d4-9369-562edb40e03a,e319f3b0-2ce1-4f14-90b9-01d4a2a2e134,e6f248aa-1208-46ed-af1c-30c224d08fe7,1633154262449,13.4853175,52.4870653,6.723949,-0.93534446,-0.7922878,4.606042,on bike mount,cyclo cross,True,fine gravel,good
