bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,cd20b30a-f327-4078-8183-690e4e455ac3,1624826520537,-16.8282782,32.6448949,1.7770106,-0.017105311,-0.009826183,0.013129711,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,7b3e00d0-1eda-461c-b42d-f97bb77e2db4,1624826520568,-16.8282782,32.6448949,1.7770106,0.053285748,-0.0133805275,0.0376153,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,0da86913-877b-46df-878c-cc05a0f3f1e3,1624826520600,-16.8282782,32.6448949,1.7770106,-0.009078801,0.029985905,0.07079983,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,d44b152e-43fe-45fa-96ca-cec7787ba969,1624826520635,-16.8282782,32.6448949,1.7770106,0.0031305552,0.041042805,0.027878284,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,335d08be-bcfc-4f7c-b925-8426907b995f,1624826520667,-16.8282782,32.6448949,1.7770106,0.039310724,0.030790806,0.03204298,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,fbaba40f-ec3d-48fe-af0c-523795a52a96,1624826520703,-16.8282782,32.6448949,1.7770106,0.02925381,-0.004175186,-0.071128845,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,6f0e32ea-e88f-49e4-8156-6d01898ebfcf,1624826520737,-16.8282782,32.6448949,1.7770106,-0.0039259493,0.011087894,-0.01900959,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,30255354-f1e7-47c9-9747-dc110321b1b7,1624826520767,-16.8282782,32.6448949,1.7770106,-0.025275618,-0.018474102,-0.07838631,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,5138c261-340d-4e41-a6bc-a7b5ae6ca726,1624826520803,-16.8282782,32.6448949,1.7770106,0.025979549,0.09334803,0.11534643,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,d2e1a3bb-3c0a-4ed9-bab4-ce502e3c2549,1624826520835,-16.8282782,32.6448949,1.7770106,0.031245053,0.051101685,0.1647973,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,c4cad14e-bfc6-425d-bb13-9949e8e601d9,1624826520868,-16.8282782,32.6448949,1.7770106,-0.014445573,-0.009432793,0.055990696,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,89a30869-8cf6-4b36-b714-db0732d1e37f,1624826520903,-16.8282782,32.6448949,1.7770106,-0.057493567,0.038912773,-0.106395245,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,978145ff-2a97-4e2e-b2d0-3d8e61a207b8,1624826520933,-16.8282782,32.6448949,1.7770106,0.0037318468,-0.043402195,-0.09023142,other,other,False,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,49c6faf2-7eca-48e4-bdef-c139e7412b64,6b896b74-7053-4cf8-803d-5300b422c6f7,1624826520967,-16.8282782,32.6448949,1.7770106,-0.005899489,-0.018288136,-0.0068621635,other,other,False,mixed,mixed
