bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,a7c60660-8a8c-405b-b277-3451f3c6e313,1636124501287,13.3965168,52.4728534,5.7601357,0.0043438375,3.344245,-0.05411434,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,5ac4580f-933e-4095-9f79-47dd90c2adf0,1636124501337,13.3965168,52.4728534,5.7601357,-1.8997793,0.5092354,0.61721134,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,3b1b3062-2733-476c-ba25-b816f6ac4c5e,1636124501387,13.3965168,52.4728534,5.7601357,0.6970994,-4.9059496,1.5965204,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,5de59a43-584c-49c5-aa88-ff49382a463c,1636124501437,13.3965168,52.4728534,5.7601357,-0.052945465,-0.4344561,-0.8910036,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,a3332889-c822-4009-b3fa-94c7d26ff804,1636124501489,13.3964267,52.4728489,5.740077,-1.385371,-0.35224867,-2.2585936,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,e5a07d3d-bff0-46fc-9e06-6b9c68e67fc4,1636124501555,13.3964267,52.4728489,5.740077,0.51669014,-0.7408254,-1.6529937,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,5e8616ac-6839-4b32-b228-ade3ffb0b60c,1636124501605,13.3964267,52.4728489,5.740077,0.9721372,-1.0656946,-0.7166023,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,a486e833-81cf-4996-b705-c588613d17c6,1636124501656,13.3964267,52.4728489,5.740077,0.5004113,-0.5245205,1.5571756,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,fac6bb90-2c65-4239-8ada-9ad7acb46379,1636124501708,13.3964267,52.4728489,5.740077,-0.29961044,0.7611947,-2.6723914,on bike mount,cyclo cross,True,paving stones,good
927766dd-291f-4fb3-bc4e-fc280ab77321,1822e3d5-2398-48cd-8ca0-1f710291f4b8,53d13a57-305e-416e-8d4a-092a79e8cf29,1636124501772,13.3964267,52.4728489,5.740077,1.4336499,-3.2858214,0.9933729,on bike mount,cyclo cross,True,paving stones,good
