bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,cd3b3084-9c86-4dc1-b32b-2147f8ebdb01,1644076465777,13.429929,52.4935188,6.2813435,2.5940032,1.449328,-16.994215,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,887060ea-b323-4948-874a-cd0d1186d391,1644076465832,13.429929,52.4935188,6.2813435,6.486376,-13.978022,-10.718474,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,a6e1a2c2-8484-48f4-85bc-e7c8f63b9d0c,1644076465888,13.429929,52.4935188,6.2813435,-1.1949192,-6.61057,-3.4143162,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,4be2e31c-daaf-451d-8410-bbb7e2a187c7,1644076465943,13.429929,52.4935188,6.2813435,-0.55683136,-18.454367,16.875626,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,9ba715e4-35b6-46ed-bd70-6ad0d58762d5,1644076466002,13.429929,52.4935188,6.2813435,0.12438285,9.670412,-9.437933,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,0c67e620-2e77-46d8-aec3-751a57b808b3,1644076466055,13.429929,52.4935188,6.2813435,-4.385334,-11.650576,22.075422,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,a453a5bc-0fc5-4a58-aa92-5586e02c2f09,1644076466111,13.429929,52.4935188,6.2813435,7.17788,-2.1354735,-12.541697,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,78ed2088-0fd4-4e98-9495-b69760b78dd6,1644076466166,13.429929,52.4935188,6.2813435,-4.8096285,-18.64289,88.95735,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,ebb8abd4-670b-457e-8914-2928d69c4c80,1644076466221,13.429929,52.4935188,6.2813435,-0.08503932,-14.4043255,-0.5521412,on bike mount,cyclo cross,True,sett,intermediate
94848291-95e4-48c6-b9a2-f5e080f0669e,839d2f2f-c793-4293-8225-4feedc9adeb5,31d0a3ea-ce41-4599-aaee-4b92e2bc9dec,1644076466277,13.429929,52.4935188,6.2813435,-3.249376,-7.4469604,4.3756924,on bike mount,cyclo cross,True,sett,intermediate
