bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,0ebb3f96-9bf7-4744-aefd-20978e39e9d3,1627405068283,13.4152938,52.4839431,7.7187247,3.7521455,-5.7503,-3.4489079,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,dcc4d828-542f-40bb-a649-b51171471116,1627405068350,13.4152938,52.4839431,7.7187247,-0.031568825,2.306744,-7.2615867,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,16187f6d-d306-4367-8161-4e31907e92bf,1627405068400,13.4152938,52.4839431,7.7187247,-2.848811,-1.1033293,-6.696865,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,2b28f9d1-4251-4b47-b3de-dd129bf3398c,1627405068450,13.4152938,52.4839431,7.7187247,0.82893026,-2.5125983,6.4876595,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,2d72658a-5251-48e6-bb25-561f936a1bf2,1627405068516,13.4152938,52.4839431,7.7187247,-2.2387915,5.978447,-4.238801,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,9d838a3b-a168-473a-ab94-75367c2ee7b0,1627405068567,13.4152938,52.4839431,7.7187247,-1.4388412,0.77870274,0.12138176,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,f8b7f9ab-4d24-45fc-8ae8-1de5a26ace18,1627405068616,13.4152938,52.4839431,7.7187247,0.8202003,0.3630538,-4.098984,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,833004ee-8d8d-4d9d-880f-e88972eea4a0,1627405068667,13.4152938,52.4839431,7.7187247,-4.0059657,1.1776605,-3.2699914,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,0a4d9c2a-01bb-4c78-9256-6f6047a4f19a,1627405068734,13.4152938,52.4839431,7.7187247,0.97108454,0.0039606094,-1.3207278,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,c1da248a-e8a7-4380-a854-f1dafa1c7787,1627405068784,13.4152938,52.4839431,7.7187247,1.3682959,1.0697105,0.6560955,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,b5e72cf8-f877-42ea-8a1d-9c046087a3b2,1627405068851,13.4152938,52.4839431,7.7187247,0.73727065,-0.49173856,2.4428778,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,aad8f421-2c4c-4b44-914e-f55e384e7b99,1627405068918,13.4152938,52.4839431,7.7187247,-0.67622006,0.2459321,-1.2527957,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,e2276739-1a64-47a1-b79c-96bf63362971,1627405068985,13.4152938,52.4839431,7.7187247,-0.8898801,3.5526714,-8.5562525,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,3c3a7ad2-2f2d-4422-be3d-ca7d30168eb0,1627405069050,13.4152938,52.4839431,7.7187247,1.221253,-0.38041782,-0.09354687,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,957839fa-cd06-4981-b6f9-d189cf7c756d,1627405069101,13.4152938,52.4839431,7.7187247,-1.3711792,8.705696,-3.6980677,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,7ecc417e-1cae-4be1-ba1c-7313667ba906,1627405069167,13.4152711,52.4840155,7.733746,-0.35667372,-7.812206,6.6795483,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,b7ddf014-94a7-4e8f-ab5c-44fb08426f06,1627405069234,13.4152711,52.4840155,7.733746,-0.46185762,0.08397722,0.79202366,on bike mount,cyclo cross,False,asphalt,good
96cfbbfa-d1ca-44ed-848b-f98fbefe7312,df7fa300-166c-4188-b75a-b285c1661439,076fd2a6-63bb-476f-b980-5f780b781b13,1627405069301,13.4152711,52.4840155,7.733746,-0.2920356,-0.6052673,1.9040022,on bike mount,cyclo cross,False,asphalt,good
