bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,822d88a5-30b4-4f86-87b7-c6895c061082,1633165565401,14.1253522,52.3509291,7.560716,1.4598856,0.06468558,-0.86056995,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,6760fa52-0dc2-4903-ae05-4a969835ebc7,1633165565467,14.1253522,52.3509291,7.560716,-0.056360096,0.15493417,0.5377426,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,92f87925-5a43-475a-ab2f-181bd83b4139,1633165565518,14.1253522,52.3509291,7.560716,-0.40281874,-0.35893703,0.19007778,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,c348f1ea-00f2-4329-a4a0-aa21c28db9b4,1633165565568,14.1253522,52.3509291,7.560716,-0.18198119,-2.8021224,1.1792402,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,92ac62b0-d56a-4de4-a232-a37906f3acff,1633165565618,14.1253522,52.3509291,7.560716,-0.18307188,0.74601007,-1.2270737,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,ed1cc232-5369-4d27-93b8-00a97a193644,1633165565685,14.1253522,52.3509291,7.560716,0.28196216,0.08183551,1.3582096,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,d961dee5-e93f-48d1-8137-3dcc4b57a5bc,1633165565751,14.1254655,52.350953,7.582225,-0.71659636,-2.4225485,-0.36392117,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,f4a70a64-86b7-4555-9b9a-901a7290c9ab,1633165565802,14.1254655,52.350953,7.582225,1.6301726,-0.5555794,0.8314438,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,39390fbf-1ec4-42d2-a54b-87170e9c3197,1633165565852,14.1254655,52.350953,7.582225,0.17651021,-4.268735,1.8587046,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,631698cf-d0fd-4b30-838a-7be260ef44ce,1633165565919,14.1254655,52.350953,7.582225,-1.3084301,-2.0662565,2.4383554,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,a0c4adc8-057a-4c07-99a6-2eea4a0e4d36,1633165565986,14.1254655,52.350953,7.582225,0.99338627,-1.9873943,0.74844265,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,a9bd6d43-6671-4a3b-8c8d-d604cbea7742,1633165566052,14.1254655,52.350953,7.582225,-1.3145288,1.3074477,-0.3438635,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,38cc40c6-8bb9-41f4-8b44-d7eb4c47557b,1633165566119,14.1254655,52.350953,7.582225,0.13199005,1.2006965,-0.5265217,on bike mount,cyclo cross,True,asphalt,excellent
976d1629-d868-4990-837a-4f6ec315a162,ebea0fc2-7b45-4fa4-a23d-1e7d8f87fd92,98a3df94-4226-42fa-b80c-924bcc2250b2,1633165566186,14.1254655,52.350953,7.582225,-1.2252363,-0.109665394,0.5889244,on bike mount,cyclo cross,True,asphalt,excellent
