bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,56603b00-0b2e-4e0b-8e93-074f632645b8,1634109757783,13.3974117,52.4726955,5.0771065,0.34576446,-2.3170865,2.053893,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,1fe8445e-b088-498f-9ea2-d9430040fc29,1634109757833,13.3974117,52.4726955,5.0771065,-0.6329459,-5.646474,0.2164545,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,58fb63b0-5ca0-425e-b1d0-c46c42522efd,1634109757883,13.3974117,52.4726955,5.0771065,-0.2691043,-2.535164,-2.013514,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,8e6763e4-62e3-4806-9235-01b30c176b8d,1634109757933,13.3974117,52.4726955,5.0771065,-0.48882383,-2.4038951,0.6538677,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,8fb329f4-5d50-493b-8e10-5237daa81bc8,1634109757983,13.3974117,52.4726955,5.0771065,2.2503653,-0.6664181,3.4265442,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,c45790b9-bbc4-46ab-a3a0-ef8c407313c0,1634109758033,13.3974117,52.4726955,5.0771065,0.56690466,-2.1067524,0.13345909,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,b8ee8b5c-2703-42c3-881b-c2f012b992a3,1634109758083,13.3974117,52.4726955,5.0771065,-0.077668965,-2.235699,1.4330301,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,dc70c305-46df-433e-8b38-c56a2f6b314a,1634109758133,13.3974117,52.4726955,5.0771065,-1.891367,1.0490644,4.0110245,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,2bbf15d2-6c9f-49d9-8f5a-7584fff6558c,1634109758184,13.3974117,52.4726955,5.0771065,-1.8702935,0.5255773,3.036519,on bike mount,cyclo cross,True,paving stones,good
986c3e9a-e0bf-4ad5-bfd4-d9ee2b16ecfb,204119d0-dde8-4574-b945-ff1aed78e780,a483d274-f9e1-46fd-a090-bf5194f8a69f,1634109758251,13.3974117,52.4726955,5.0771065,1.5850747,-0.9353225,-1.0270195,on bike mount,cyclo cross,True,paving stones,good
