bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,ef22697a-076b-4113-8ce2-5c0a61305e1e,1643973433763,13.3977153,52.4725436,6.475986,0.32168847,-4.6226215,-8.645243,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,a51a3a8f-2f7a-4b2a-9aaa-89c8bdfc09a8,1643973433829,13.3977153,52.4725436,6.475986,0.9455133,5.7473,-5.0116286,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,6b74893c-8704-4656-aa71-cce0b7d82c93,1643973433886,13.3977153,52.4725436,6.475986,-1.3739667,-3.8583503,0.48452187,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,6dba9396-e074-4fdb-a72a-5d81fd49666b,1643973433963,13.3977153,52.4725436,6.475986,-1.2058009,0.6440835,1.374299,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,b88145d4-c39f-4e35-ad8b-3e6d6ff80844,1643973434017,13.3977153,52.4725436,6.475986,-1.8798101,2.2031894,-6.642496,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,17b7932d-36de-4da4-8abc-a2603407f8c4,1643973434067,13.3977153,52.4725436,6.475986,-2.0322814,-2.2441072,10.575102,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,de4a7262-c7e9-4f18-9e1b-6faa5853a4a2,1643973434126,13.3977153,52.4725436,6.475986,-2.937587,1.6016548,5.057023,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,365e75d2-bedc-4470-9ecd-24438de3d8fe,1643973434196,13.3977153,52.4725436,6.475986,-0.66346073,-2.103622,3.2972383,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,ed4a6eb2-6add-4975-8eb0-50ea85e49e70,1643973434263,13.3977153,52.4725436,6.475986,-1.0868894,2.3693132,3.4461298,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,7a336756-9bfa-4321-808c-299814fbfe26,1643973434328,13.3977153,52.4725436,6.475986,-1.4811656,10.499808,-7.5491266,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,8f551821-7bb8-4c0f-8006-1731d95b2dd5,1643973434382,13.3977153,52.4725436,6.475986,-1.515488,-6.845577,13.072122,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,31982913-218b-4d5a-bffb-0d4c94f95ed7,1643973434448,13.3976434,52.4725803,6.52684,2.941461,3.6192083,-5.8092146,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,9988c500-78b0-4d94-b1b1-eeaa207d4cf2,1643973434501,13.3976434,52.4725803,6.52684,0.08069754,0.91464233,-2.911467,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,b98a2b1c-25de-46aa-a573-76eb4193e82a,1643973434552,13.3976434,52.4725803,6.52684,1.6446598,5.0858536,-0.83250046,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,ca9d4d9f-95f5-47e9-8ee8-9254698d03d5,1643973434619,13.3976434,52.4725803,6.52684,0.69063306,6.061931,-9.80204,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,c3ac40a7-c0d4-41f3-a558-44847ae1a122,1643973434695,13.3976434,52.4725803,6.52684,-1.8543994,-9.601207,8.151005,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,42b93ff2-086f-4a6c-9854-156b20b15b7b,1643973434753,13.3976434,52.4725803,6.52684,-0.8130912,2.0052688,-1.8345742,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,91a1a08b-0ba0-43e1-876f-43f940011a51,1643973434803,13.3976434,52.4725803,6.52684,-2.0053432,0.8978009,11.842687,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,f4eb32ef-a7fb-4398-b3ea-cad52acda38b,1643973434853,13.3976434,52.4725803,6.52684,-0.33968538,8.888433,2.3155155,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,5070d985-3c9a-487f-959d-e69d65303cc1,1643973434915,13.3976434,52.4725803,6.52684,-1.267618,-3.4084764,12.662368,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,b348cb18-f7af-4de0-b3f4-1debdd7761c3,1643973434971,13.3976434,52.4725803,6.52684,-0.3245527,-0.16853642,-3.9374113,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,294e33fc-303e-49eb-9fc2-0102739a351a,1643973435037,13.3976434,52.4725803,6.52684,0.72747755,-1.0324568,-6.85571,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,60e67671-0bc7-47ac-9c71-f013a9356b62,1643973435100,13.3976434,52.4725803,6.52684,-0.056879997,0.0055663586,-2.8071785,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,8a3568a9-b316-469f-813a-59cbe7299dca,1643973435156,13.3976434,52.4725803,6.52684,2.896459,4.898551,-14.800342,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,356842da-50cf-4cdb-8df1-e94506f7db87,1643973435219,13.3976434,52.4725803,6.52684,1.1534653,-0.8357062,0.43568993,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,d5e67446-b791-4297-9e3c-3cf84b7ec752,1643973435285,13.3976434,52.4725803,6.52684,-1.5657587,4.61073,-2.7183747,on bike mount,cyclo cross,True,paving stones,good
9b5cbd93-c65c-480f-9fab-bdcfc2b68d07,86636537-54ee-4e47-9ab0-c21122ede035,7a14c884-3395-4981-b4f0-7029b1498b0d,1643973435351,13.3976434,52.4725803,6.52684,-3.4122229,-9.857588,17.159185,on bike mount,cyclo cross,True,paving stones,good
