bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,aa368e6c-7062-48ea-854f-8d73176d2c33,1634143743050,13.4008048,52.4724099,7.04009,-0.8450324,0.0081038475,-1.7114053,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,1d3d819e-d20d-4f9c-b1de-d30dd4ff7591,1634143743100,13.4008048,52.4724099,7.04009,-0.9033743,0.45761156,1.8611879,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,11c33f32-dc9a-4fa8-b7ec-7ea78989d2df,1634143743151,13.4008048,52.4724099,7.04009,1.2987326,6.0560784,0.3905754,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,898eca46-d66d-4149-9684-324201d9bfb4,1634143743216,13.4008048,52.4724099,7.04009,0.5775832,-1.173444,2.486928,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,fad94a34-3396-4f85-8ef3-9f5505833609,1634143743266,13.4008048,52.4724099,7.04009,1.8777252,-4.394299,0.3295231,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,0e5f61dc-22aa-4a14-a2b1-7a7727cdcbba,1634143743316,13.4008048,52.4724099,7.04009,1.8992274,-5.32036,-4.02685,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,d3f96272-31ee-4751-8850-376406e66003,1634143743367,13.4008048,52.4724099,7.04009,0.5055742,-3.611411,6.3111467,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,16f0ac76-1517-46a6-9866-b5d6d51806a4,1634143743418,13.4008048,52.4724099,7.04009,0.40855283,1.00105,-7.6987023,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,8222eeef-dab6-4f8f-a37c-31daadca2a87,1634143743469,13.4008048,52.4724099,7.04009,-0.2538206,-1.197484,4.0505667,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,5baa8fe3-f163-42eb-9d7c-287aa3fa684b,1634143743533,13.4009104,52.472411,7.3098655,-0.92008525,-1.2746607,-6.1858406,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,617373de-ceb5-4654-a6aa-e0c5f6019d26,1634143743584,13.4009104,52.472411,7.3098655,0.59863645,-8.574821,18.949043,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,d0b5f8e7-09ff-48bb-82e7-ee2dfc4b42a7,1634143743636,13.4009104,52.472411,7.3098655,-1.7354071,4.7662864,-1.4278622,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,0f9de4a0-d5f9-431d-8184-a8e05b7d06ce,1634143743686,13.4009104,52.472411,7.3098655,0.10522309,0.07339549,-1.211565,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4f980b79-acc4-4b34-b741-2685bbeb1342,88d71430-b9e3-4189-aded-e14c1c818619,1634143743735,13.4009104,52.472411,7.3098655,0.34949666,2.3559575,3.7428875,on bike mount,cyclo cross,True,paving stones,good
