bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,7eca8ac4-ee6d-4334-b57f-8b6811895441,1644076030612,13.4382843,52.4932184,4.8014035,-0.32722887,-5.578165,5.9402313,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,4a6fcf01-22c3-4bbf-8377-5330c5d07909,1644076030667,13.4382843,52.4932184,4.8014035,-1.9453976,6.7220507,-9.27338,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,d90c584d-cea5-4374-8291-1ce37b8b9cff,1644076030722,13.4382843,52.4932184,4.8014035,3.0672426,4.8257008,4.008316,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,3eae176b-08bb-447b-af81-3c673eadbdfe,1644076030778,13.4382843,52.4932184,4.8014035,-0.6076948,-3.152806,-7.86262,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,50268130-1ab5-4b9f-adc0-1c81f35193da,1644076030835,13.4382843,52.4932184,4.8014035,-0.078658625,-0.5747459,2.8129768,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,d12fce8d-860c-49bb-9d48-ae1360dfef5f,1644076030889,13.4382843,52.4932184,4.8014035,1.3305509,-2.415104,-2.9540935,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,c7fde6f6-865d-41e9-a214-b3eb9ecda029,1644076030946,13.4382843,52.4932184,4.8014035,1.121457,3.1844969,-0.46967173,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,b6041785-5bee-49e6-813a-f1aeac64f496,1644076031000,13.4382843,52.4932184,4.8014035,2.2206514,-0.068196535,-3.2631211,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,046d65a8-67ba-43a4-b5cf-f22f549eb89c,1644076031056,13.4382843,52.4932184,4.8014035,1.1776581,0.33745265,-0.9968629,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,b33442d2-6c04-4e5c-b4d9-7d62f613ecf7,1644076031111,13.4382843,52.4932184,4.8014035,-1.0585698,0.76608896,0.90625,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,a3855025-07c1-403c-9b8f-c2dab4c64fc7,1644076031166,13.4382843,52.4932184,4.8014035,-0.55374986,-3.5587614,4.0120516,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,29395119-132a-4968-a7b3-61ad87f6d727,1644076031222,13.4382843,52.4932184,4.8014035,-0.38131106,-2.0993767,-5.9524937,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,b50e2b93-2b95-4ad8-9d8c-e29a8fb8f05d,1644076031278,13.4382278,52.4932367,4.784668,-4.116974,2.4992175,-0.6775446,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,7547b4d3-d102-47b8-ad78-2565b802075b,1644076031334,13.4382278,52.4932367,4.784668,0.46773064,-13.989684,18.06033,on bike mount,cyclo cross,True,sett,intermediate
a9e90f8f-f1c2-4442-816e-599747b498ae,6252a08e-7ff6-41e0-8af3-484558e65632,35d2c1cc-95fd-43f0-9f58-6a0f19541352,1644076031390,13.4382278,52.4932367,4.784668,-0.6297188,0.30004644,1.8564682,on bike mount,cyclo cross,True,sett,intermediate
