bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,96617575-72da-4383-8ba0-2a40c68ccb75,1635697542089,13.3934635,52.479447,5.857206,1.7761459,-1.4306278,-1.7197595,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,005cbb8c-804d-4d84-8b33-94d5fb079d80,1635697542155,13.3934635,52.479447,5.857206,-2.0936704,1.1816444,-2.9676247,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,ba90d596-3656-40e3-aa0e-789e7c9c298b,1635697542205,13.3934635,52.479447,5.857206,0.040285897,-0.8920007,1.3945446,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,1438ec29-2903-48f3-86c1-ec25ee5c012e,1635697542256,13.3934635,52.479447,5.857206,1.24075,-1.652581,-0.81906796,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,03ea3f3e-9d67-4b14-ae30-2b1f6e797d48,1635697542323,13.3934635,52.479447,5.857206,0.6055317,-2.1226902,0.12859249,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,e0a4d9d4-6ecf-42da-b27f-5907824eb7d4,1635697542373,13.3934635,52.479447,5.857206,-0.7937483,0.97532535,-3.715681,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,9395fc3e-5dc0-4222-a5ac-c0892b4894de,1635697542424,13.3934635,52.479447,5.857206,-0.39293995,-0.120229006,1.9210634,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,d55892f4-8abc-4a2d-a97c-57d0b8c69172,1635697542488,13.3934635,52.479447,5.857206,0.07074279,-1.2537323,1.4121027,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,7af816ca-ab90-42fa-a59d-4964fec650de,1635697542539,13.3934635,52.479447,5.857206,0.4619104,0.80922127,2.581215,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,c597e383-45e5-47d0-bfe5-f64db0d3c49b,1635697542590,13.3934635,52.479447,5.857206,0.8786758,2.8366873,3.0427217,on bike mount,cyclo cross,True,concrete plates,good
aa460e9e-5072-4184-b5d4-d40d99b4c733,952c2cdf-a020-4279-aa2c-5e892a09b34f,ff09a602-f098-4704-8c02-8e89cdf0cea0,1635697542641,13.3934635,52.479447,5.857206,-0.57020694,1.5776472,2.9408407,on bike mount,cyclo cross,True,concrete plates,good
