bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,375b7cfe-ad02-4455-a8d5-d96e0f0ece7e,1633159773741,13.7293104,52.4303202,7.2128925,-1.0522192,-1.3809694,-0.34493542,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,c9d43f05-3362-49dc-8b9f-fe9a74a8cf35,1633159773791,13.7293104,52.4303202,7.2128925,-0.21700434,-0.22511601,-0.19040489,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,c261736c-c63d-41ee-bca1-359d51ec7cb2,1633159773841,13.7293104,52.4303202,7.2128925,0.16612887,1.6146247,-0.22513771,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,f126082d-073f-416f-a5bd-dce87055e439,1633159773891,13.7293104,52.4303202,7.2128925,-0.103832796,1.0400562,0.9584837,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,43a93e48-902f-400f-a674-d9801efe86ec,1633159773941,13.7293104,52.4303202,7.2128925,-1.1969774,0.19318342,0.68659115,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,75aa4de1-dfad-4649-914a-d4c59f5a715e,1633159774006,13.7293104,52.4303202,7.2128925,0.997398,1.3175621,-1.6572542,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,fc4a15db-7e3b-404f-af19-3e840d0d8a6b,1633159774057,13.7293104,52.4303202,7.2128925,0.34880525,-1.7675976,0.03908825,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,3b59f55a-2d55-44fc-a736-6e61528990e7,1633159774107,13.7293104,52.4303202,7.2128925,1.3795826,1.024267,-2.1199193,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,a0514201-8776-4dba-b6a1-46d710b8fb5a,1633159774157,13.7293104,52.4303202,7.2128925,0.19740951,-0.055070877,-1.9092002,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,26bdedf9-35da-4197-9b0a-cdca9c0d45e0,1633159774208,13.7293104,52.4303202,7.2128925,0.06611706,-0.65333366,0.6182556,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,9691adf1-4ae0-4873-8b4f-0117d3ec8957,1633159774258,13.7293104,52.4303202,7.2128925,0.3645985,-0.18521118,0.008276939,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,f5aaa3ea-1aaa-4b05-915a-ca11fefa5d6d,1633159774309,13.7293104,52.4303202,7.2128925,0.23016793,-0.11454916,0.3468094,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,c11d9f7a-cc51-4aa6-892a-4d655f66eec3,1633159774374,13.7293104,52.4303202,7.2128925,-0.15096922,-1.2579886,4.1789427,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,f651b09f-8a18-4bcd-91a3-f70d63dad138,1633159774425,13.7293104,52.4303202,7.2128925,1.1835,0.43238568,0.5938101,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,7be089d9-77da-4ccf-85fb-112e2efb262c,1633159774476,13.7293104,52.4303202,7.2128925,-0.13326985,1.1489029,2.201129,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,e0a48414-8180-43e8-8efb-0d14b148d8e4,1633159774526,13.7293104,52.4303202,7.2128925,-0.6505165,-0.4480865,-0.68630314,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,931cbbe8-50d4-477b-a225-0e1c90d1f2a8,1633159774576,13.7293104,52.4303202,7.2128925,-1.4190657,-0.39549828,-0.42318058,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,0baa8707-6a0a-4ccd-a292-722cdd1d69ca,1633159774642,13.7294156,52.4303123,7.2078805,0.38620305,0.11276245,-0.30359268,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,049b5162-09c4-4aa4-a965-551e86946b5a,1633159774693,13.7294156,52.4303123,7.2078805,0.15956137,-0.8636559,0.6467171,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,2cc78a26-b521-47c9-9cad-ce074fb61193,1633159774743,13.7294156,52.4303123,7.2078805,-1.5172164,0.6335776,-1.3577209,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,7fcb09e9-9521-42ca-83ed-f9e803b2a2dc,1633159774793,13.7294156,52.4303123,7.2078805,1.385554,-0.039448977,-0.6736193,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,73aceeb0-d7c3-4d41-819b-a5a3d0c68593,1633159774843,13.7294156,52.4303123,7.2078805,0.32659304,-0.3835156,1.2290831,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,4d4e2b2f-3ebf-4bac-8ea8-b782ef387f0a,3e278075-f72a-4d5c-a180-20bfc186017f,1633159774893,13.7294156,52.4303123,7.2078805,-1.5367239,0.49142146,-2.5691843,on bike mount,cyclo cross,True,asphalt,excellent
