bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,14108470-847c-4f8b-b0a3-f4b47c9a9394,1633625095294,13.4173399,52.4923686,4.9444737,-4.710204,13.287985,-13.053949,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,0d05fd5b-bd52-44c0-b1ff-c692c93a27d2,1633625095346,13.4173399,52.4923686,4.9444737,-4.1285896,-23.278593,6.7724113,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,892f1c9b-a0b6-4339-9ded-78438492e130,1633625095411,13.4173399,52.4923686,4.9444737,-6.823043,16.809742,-15.784254,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,5eab81bc-2720-4529-bbdf-3f9b9b484c83,1633625095478,13.4173399,52.4923686,4.9444737,1.3810883,6.3624773,-18.231205,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,72c1795d-3534-429a-92ea-8e3973dc93f2,1633625095544,13.4173399,52.4923686,4.9444737,1.560739,-5.3486633,6.2807713,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,c6914d97-f91e-4491-bf90-07e41fa71e47,1633625095594,13.4173588,52.4924137,5.0175405,-3.156803,0.06567049,-14.115194,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,03107fe9-a282-41f5-b0f1-3ad212a63671,1633625095644,13.4173588,52.4924137,5.0175405,2.1262639,3.5695648,-1.6284571,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,b188b1b9-ce68-4586-ab9e-c26983002583,1633625095695,13.4173588,52.4924137,5.0175405,-2.342579,1.67313,19.871021,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,c9bf818f-9507-42f0-b1cd-9efbc35ebd1d,1633625095761,13.4173588,52.4924137,5.0175405,-2.7253556,32.614956,-0.3392973,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,35aabb00-6c83-4f16-ad59-368328c7ee0d,1633625095812,13.4173588,52.4924137,5.0175405,-1.4980135,-6.9515443,19.627735,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,eb6fc00c-5265-43a8-a831-9ae7c8cd400c,1633625095863,13.4173588,52.4924137,5.0175405,-2.7893984,-15.757381,1.3603153,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,b0be5945-7b5e-48d9-afe0-f9c19f6186d9,1633625095928,13.4173588,52.4924137,5.0175405,-0.045730494,-5.1197815,11.146793,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,6c0d76af-fa4f-4e0e-9370-66333e20c46f,1633625095978,13.4173588,52.4924137,5.0175405,-6.2141786,-15.261857,2.3025599,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,5d994366-3d4e-4e73-9545-9f135aceb8cb,1633625096029,13.4173588,52.4924137,5.0175405,-0.037684277,0.7690277,-6.391858,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,bfe31273-7478-48a8-8f92-92e9dc3a034a,1633625096080,13.4173588,52.4924137,5.0175405,3.3457212,-1.181819,11.002972,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,ceb5cfda-79d5-4671-bf55-c8cc887418d7,55129627-524a-4aee-b37e-797abbc4e659,1633625096130,13.4173588,52.4924137,5.0175405,-0.47629684,-14.977068,18.43201,on bike mount,cyclo cross,True,sett,intermediate
