bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,3aff2d68-bcd8-44ed-90ab-70ebdc728c7a,1643973372715,13.4026089,52.4724252,1.4044585,0.4878609,-0.17178822,-0.02954483,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,6b54f5c3-8c26-4f07-b179-b587c086970b,1643973372771,13.4026089,52.4724252,1.4044585,-0.9241322,-0.7314522,-0.31997108,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,57aee9fd-6da3-4d28-a241-ca30103c7d9d,1643973372826,13.4025837,52.4724272,1.6807514,0.24384743,0.47836876,-1.0357432,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,40afaa8f-f5f6-4b80-a9be-d41f8c84f031,1643973372882,13.4025837,52.4724272,1.6807514,0.4842715,0.52600384,-0.3165655,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,59df3cff-2cbb-42b3-94be-bdb9dfce88b2,1643973372938,13.4025837,52.4724272,1.6807514,-1.2094433,-2.2893372,-0.5573597,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,c4f95c75-fe86-4514-866a-0af9f02a5482,1643973372996,13.4025837,52.4724272,1.6807514,0.10481799,0.089357376,-2.3175135,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,99da4e1c-0029-4e13-aed7-bd4e8dcf3219,1643973373049,13.4025837,52.4724272,1.6807514,0.54991555,1.0596807,-0.47300243,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,178bdf58-39b4-4b05-9e3b-250282ec58cc,1643973373105,13.4025837,52.4724272,1.6807514,0.053466648,-2.57792,0.08434296,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,695b984d-1403-4fea-b5b9-542476c58dab,1643973373160,13.4025837,52.4724272,1.6807514,-1.3821877,1.9517298,0.22183704,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,bb18b212-2b8a-46f2-bf2c-0ba0d747d7a5,1643973373215,13.4025837,52.4724272,1.6807514,-0.0796943,-1.4114136,1.4172497,on bike mount,cyclo cross,True,paving stones,good
