bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,59b378b1-4962-4777-940c-12e70f77aa33,1644074069658,13.4352089,52.4918303,3.7386317,-0.95564115,-3.2508428,5.277156,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,1c3ef4f9-e55d-4393-b7ed-cfea82a209ab,1644074069714,13.4352089,52.4918303,3.7386317,0.92619526,-2.2101765,2.5171242,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,693f9634-5de8-48c1-ace0-3018e2f15c83,1644074069770,13.4352089,52.4918303,3.7386317,-1.2998914,0.7593756,-4.8295903,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,1a6c78be-808c-4098-824b-83f2b088be21,1644074069825,13.4352089,52.4918303,3.7386317,-0.4642799,-4.007208,3.7793083,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,06dea563-696f-4d53-9434-55b182d76627,1644074069880,13.4352089,52.4918303,3.7386317,3.434931,4.031272,-5.215144,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,902ce41b-f811-4fe7-ae49-5be754711175,1644074069936,13.4352089,52.4918303,3.7386317,-2.7010865,-4.438653,9.131735,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,5b6ad189-24af-4146-9c5f-64d9484c35b4,1644074069993,13.4352089,52.4918303,3.7386317,1.835738,-1.1352766,8.302663,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,a2c65da4-0850-491e-aa62-04a533037942,1644074070047,13.4352089,52.4918303,3.7386317,-0.93787515,-6.4119954,-3.1884375,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,fff85129-e568-4174-80be-355e09c4f6c9,1644074070104,13.4352089,52.4918303,3.7386317,2.2602878,0.8180332,-2.9907064,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,3a2796bf-2c17-4e92-904c-a4454dc8d83b,1644074070158,13.4352089,52.4918303,3.7386317,-0.41376713,-0.6938729,-9.73761,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,e61b8671-984a-4fbb-b0e6-2c7085125967,1644074070215,13.4352089,52.4918303,3.7386317,-3.2966065,-1.2456357,-0.8226609,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,c83082ab-8fba-4d9b-abc0-02ae86f15f43,1644074070269,13.4352089,52.4918303,3.7386317,1.6838899,-1.8089507,8.040827,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,7923f07e-4cb2-44e9-a63f-c19cf5406a8f,1644074070325,13.4352089,52.4918303,3.7386317,1.6923723,-1.8516088,-2.6049433,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,ab7552d7-29bb-4e4e-a282-c6ac221b78a9,1644074070380,13.4352089,52.4918303,3.7386317,-3.9157076,-4.6059923,9.80695,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,57469028-c442-4ce4-ae31-2984ed9faaeb,1644074070437,13.4352089,52.4918303,3.7386317,-1.4489285,-1.6051795,2.1760416,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,f956fa9a-4f1c-4581-9bfc-ec939732bb37,1644074070493,13.4352614,52.4918122,3.5820763,-1.7638413,-5.2773957,5.712014,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,17b6a3c7-4593-4bf4-8931-1f649cfef860,1644074070548,13.4352614,52.4918122,3.5820763,-0.12666215,-0.49657512,1.8742523,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,1c1b1797-8d4a-4da5-9239-756220de918f,1644074070603,13.4352614,52.4918122,3.5820763,0.6396023,0.8086219,0.116443634,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,05ae06d3-b39c-411b-9b1f-ba66c7563e44,1644074070658,13.4352614,52.4918122,3.5820763,-0.33222967,3.729169,2.2184982,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,a8235d32-ef6c-471d-bab4-90b4d323692a,1644074070717,13.4352614,52.4918122,3.5820763,4.9697227,1.2981238,-0.9799309,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,58709da9-29ea-41b1-a9b6-5873c0c5a560,1644074070770,13.4352614,52.4918122,3.5820763,-1.3864689,3.2251925,0.098106384,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,68b9eb49-2d61-4bfb-a5c8-9ed3e5d83d38,1644074070825,13.4352614,52.4918122,3.5820763,3.091561,-0.27462888,-5.5840364,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,1c063c1d-a89d-4e9a-8d2b-ea7d6c9bd5e6,ff8ef454-2966-4fcd-b48a-6fce00601b21,1644074070880,13.4352614,52.4918122,3.5820763,0.7205678,6.176735,-0.60796547,on bike mount,cyclo cross,True,sett,intermediate
