bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,e88615e2-0ac0-4471-9cd5-7d0c13d876f7,1633162725658,13.9453633,52.3903608,6.9779963,-0.8348696,0.59849477,-3.116994,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,728da34b-2b84-4a8d-923a-3493ae532133,1633162725708,13.9453633,52.3903608,6.9779963,0.81841016,-1.23162,2.4024696,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,d77675a8-8dbf-4870-b796-ffb1b38cf4bb,1633162725759,13.9453633,52.3903608,6.9779963,0.26858976,-3.1569302,-3.6626186,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,3046371a-461f-46cd-8386-0ccdafccca67,1633162725825,13.9453633,52.3903608,6.9779963,-0.7544814,2.250342,-0.20300579,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,22c25187-3f0a-4300-bcca-3e07cadb674a,1633162725875,13.9453633,52.3903608,6.9779963,-1.4325734,0.5264168,0.60758877,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,cc46a746-08c1-479f-9ccf-31c4c4390136,1633162725926,13.9453633,52.3903608,6.9779963,0.9319787,-0.094866514,2.6328259,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,305cda03-b60f-42e8-a2af-ca78f30802f1,1633162725992,13.9453633,52.3903608,6.9779963,-0.1431019,0.98326755,-1.9820266,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,95d3a67a-5d87-499d-af28-d290fdf92c2a,1633162726043,13.9453633,52.3903608,6.9779963,-0.3554401,0.42612982,-3.9593384,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,472d896c-c8c1-47f7-b4d1-78beb129c4bd,1633162726110,13.9453633,52.3903608,6.9779963,0.16303167,0.23101497,-0.2777977,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,f3e9efb5-0a8b-48ee-a652-d0cfcd89aaa0,1633162726176,13.9453633,52.3903608,6.9779963,0.07802231,0.3179505,-3.4937716,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,030659fc-c95f-4793-8886-cd1be88cf100,1633162726226,13.9453633,52.3903608,6.9779963,0.16995679,-1.0762008,-0.7155256,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,802c9953-7e5d-4cdb-8bb4-cb4012749fbf,1633162726276,13.9453633,52.3903608,6.9779963,1.3356607,0.5941746,4.198798,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,b4d6b738-c9bc-44d4-8f39-4932fecee36a,1633162726343,13.9453633,52.3903608,6.9779963,-0.46022364,-0.46979952,6.9102726,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,0f274b5b-518a-44e1-b335-d91e67a75e43,1633162726410,13.9453633,52.3903608,6.9779963,1.7453289,-4.404067,0.1502533,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,01606b31-075a-4306-bb28-4fa0c406ae26,1633162726460,13.9453633,52.3903608,6.9779963,0.75376564,-3.8995314,1.4606457,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,355e1904-09aa-4c5d-a853-6945e166dd43,1633162726510,13.9453633,52.3903608,6.9779963,1.2200637,0.09488201,0.07577515,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,0f1340b5-ffea-49b4-ac2e-1d4b9bf55fe2,1633162726561,13.9453633,52.3903608,6.9779963,-0.60624295,-1.4896286,0.44050026,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,a623a7b7-c9b1-46d1-9fc7-8460b2de4eb2,1633162726628,13.9453633,52.3903608,6.9779963,0.06693389,0.38718605,9.686363,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,e9b41947-f381-4ed7-a9be-bae9fc6bb076,1633162726694,13.9454392,52.3903275,6.9402604,0.5500423,0.042885303,1.1378565,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,ab73f701-81a6-46ec-8901-210b38c1c53b,1633162726761,13.9454392,52.3903275,6.9402604,1.1466037,0.23141527,1.9656401,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,e858bae0-fcf9-468e-b95f-52a10d957b6d,1633162726828,13.9454392,52.3903275,6.9402604,-0.75868976,-1.4030142,2.806755,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,517a0c74-8df0-418d-9a52-a790d16318d7,1633162726895,13.9454392,52.3903275,6.9402604,1.0136935,-2.1147156,1.2105331,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,edd4d9fc-387c-49ab-a570-cc5cd86039d5,1633162726962,13.9454392,52.3903275,6.9402604,-0.88198996,0.26097846,-1.1801615,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,c65123fd-113a-4803-a78c-30f3be0c2938,1633162727028,13.9454392,52.3903275,6.9402604,-0.5456016,-0.973911,1.8066254,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,60b3ca7d-7fd4-4536-9256-c95f9823c874,1633162727078,13.9454392,52.3903275,6.9402604,0.19923513,1.6190724,-0.04710388,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,05180e80-e616-47e9-9706-fc63251eccef,1633162727145,13.9454392,52.3903275,6.9402604,-1.6461108,0.020755053,3.3798857,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,25add594-b3f0-4993-afff-037b723ce900,1633162727195,13.9454392,52.3903275,6.9402604,-1.8097987,-0.24917936,1.7658739,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,b070a811-a413-417a-aa23-8ee0c44e170c,1633162727245,13.9454392,52.3903275,6.9402604,1.4904293,-3.6439214,-0.7353182,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,bad25de7-64d9-4705-a00e-27ac3ccd0ed7,1633162727312,13.9454392,52.3903275,6.9402604,-1.4589732,1.3076272,-2.9229894,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,fc6eb1a4-81ac-4f6f-8e04-32a337580cf0,1633162727363,13.9454392,52.3903275,6.9402604,-1.1871226,0.65296245,0.9470043,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,a0a3de89-4f42-4a47-bdf6-a2094c37ffeb,1633162727429,13.9454392,52.3903275,6.9402604,-0.98811346,0.44562244,-3.7988505,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,a8978567-d434-4807-a9a3-c1a5ad417c25,ff0313c3-6216-4db2-a9a0-8274878e0a8c,1633162727479,13.9454392,52.3903275,6.9402604,0.012603886,3.5001392,-3.1085792,on bike mount,cyclo cross,True,asphalt,excellent
