bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,28ecc573-aba5-4081-a8c8-882271552225,1635687374440,13.414354,52.487054,4.746425,-0.7976925,-1.0405266,1.0367041,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,b7ac1602-64b8-4537-81f7-ef5a287c88ff,1635687374490,13.414354,52.487054,4.746425,-1.3551136,-1.1706626,1.832633,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,29b2e807-c067-46c2-a480-c291dd1448bd,1635687374540,13.414354,52.487054,4.746425,0.9253141,-2.3965282,-0.41606712,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,1e3de769-cf95-4bb4-aac4-7eb842f4bd7f,1635687374592,13.414354,52.487054,4.746425,0.31327692,1.730155,0.056819916,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,c34de07e-c2ee-455d-a798-012b8943cebe,1635687374642,13.414354,52.487054,4.746425,0.82960385,2.731845,-2.5903125,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,b7e7d709-79ed-4673-9d27-ca4a19d10be7,1635687374693,13.4143787,52.4870092,5.549568,1.9676268,-2.3114457,0.63725567,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,26d24db9-72b4-48ba-9cd7-595413748e85,1635687374757,13.4143787,52.4870092,5.549568,-0.6561103,-0.6785984,-0.07011509,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,8a7d52da-8883-4e98-8811-6166c587e90e,1635687374808,13.4143787,52.4870092,5.549568,-2.6187437,0.6534333,0.5167799,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,dc25bbf1-6f2d-4506-9772-ef0604331b9f,1635687374859,13.4143787,52.4870092,5.549568,0.71367574,-1.4617188,1.848753,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,f23bff28-673c-4c48-890b-c59071433915,1635687374925,13.4143787,52.4870092,5.549568,-3.141679,2.5164843,-4.014218,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,595bccd9-e7e1-4c7f-97e1-4a66f42f5da4,1635687374977,13.4143787,52.4870092,5.549568,-5.324631,-0.784714,0.32276726,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,f7fb7b5e-6a5a-4ade-9a09-ccad1307641a,1635687375043,13.4143787,52.4870092,5.549568,0.65120673,-2.4249823,0.092803,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,f368098d-88e9-41e8-96f2-c2b90af022e5,1635687375093,13.4143787,52.4870092,5.549568,2.017387,0.5095792,-0.26083374,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,2d38acb2-6bed-4be4-88e9-1b4df8268aa6,1635687375144,13.4143787,52.4870092,5.549568,-5.0317526,-1.2946348,-4.877329,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,fdb15c11-b958-4a99-a7e1-0f6a651faa71,1635687375194,13.4143787,52.4870092,5.549568,-7.036161,5.567981,0.11720753,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,c72f9032-7368-4f71-9cab-7110c3bfc19d,1635687375244,13.4143787,52.4870092,5.549568,2.404338,2.508215,1.8054123,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,a6432a4c-b5f6-4d4f-a7d2-3d20212a55da,1635687375294,13.4143787,52.4870092,5.549568,1.29425,0.17099452,1.7356119,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,54039313-b6b6-4650-b2c2-ee1b48ecd35c,1635687375360,13.4143787,52.4870092,5.549568,-1.1297821,10.106183,0.75077724,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,141b8423-fa21-42eb-87a3-bb4088c6eef7,1635687375411,13.4143787,52.4870092,5.549568,0.995272,-1.1342988,-0.47561073,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,d4743b9e-058c-47f7-81af-e906d6b2c8e3,1635687375460,13.4143787,52.4870092,5.549568,0.5566133,-4.2288637,0.8812208,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,732448d6-24f7-4d57-a544-5aad02b99eaa,1635687375509,13.4143787,52.4870092,5.549568,0.40420038,-0.2907622,0.90245724,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,1f21d16f-2e17-4fa9-8f32-92ef4b1e729b,1635687375560,13.4143787,52.4870092,5.549568,-0.29772145,-0.15656924,0.447114,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,d7f347c5-2808-43ef-91e1-b19df78aaa33,1635687375612,13.4143787,52.4870092,5.549568,4.0505667,-0.9767382,0.14111233,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,653d29bb-3d44-44fd-a929-0bcc97692f90,1635687375664,13.4143787,52.4870092,5.549568,-1.384428,0.24824047,3.1868725,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,dfb1f360-128e-4ae3-87fd-fa90baf8d9a8,1635687375727,13.4144332,52.4869522,5.193697,-2.52438,-1.8248907,0.75460815,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,d533669d-b4ac-4574-bad3-8c7a206ac05f,1635687375777,13.4144332,52.4869522,5.193697,-0.7773352,-3.5142355,-0.75141335,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,739c9619-dfe1-48d7-a3ff-3b032f3f3783,1635687375827,13.4144332,52.4869522,5.193697,-1.6744671,-0.7438626,-0.40576458,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,d53a9277-0c1a-4f84-9fd0-7aa8028964d7,1635687375878,13.4144332,52.4869522,5.193697,1.8002651,0.84416676,0.38497925,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,e1d5bd9d-906d-4983-959c-ddb13a122a2b,1635687375930,13.4144332,52.4869522,5.193697,-0.5511076,-1.5905694,1.3557549,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,08038d48-18dc-47e9-ad2f-260c58af0c23,1635687375979,13.4144332,52.4869522,5.193697,-0.8393441,0.265985,0.46967793,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,4f4d19bd-6ff0-46bf-be62-1ee94f08cf80,1635687376045,13.4144332,52.4869522,5.193697,1.0921371,1.3116612,-0.119968414,on bike mount,cyclo cross,True,asphalt,excellent
c30021c9-29a0-469f-8f0c-1e4cb6e47c66,6c792f98-9451-49cd-9330-6ff7176acfa2,5f0c78e4-6bb5-4d0a-8703-68a30a1803b7,1635687376096,13.4144332,52.4869522,5.193697,0.20631677,4.269961,0.66694164,on bike mount,cyclo cross,True,asphalt,excellent
