bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,83d361c4-b663-48e3-a463-baf20a51d362,1625682254225,13.4745112,52.4882264,6.6145773,1.660008,-0.27549458,1.1403427,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,2b458841-e87e-4d14-b8af-c5dae3bf2c2f,1625682254276,13.4745112,52.4882264,6.6145773,1.1016068,0.7988844,0.34843588,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,d01c5537-8169-433a-b621-1619cf8b7f02,1625682254326,13.4745112,52.4882264,6.6145773,0.25281763,-1.466681,0.2879281,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,e68ef77c-71ac-407f-a35c-a3c4d7c902ea,1625682254376,13.4746054,52.4881848,8.113591,0.42597818,-0.36330605,-0.28625536,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,0dab71a9-a294-4fcb-981e-4cefdd9fde82,1625682254427,13.4746054,52.4881848,8.113591,0.3268609,1.9523826,-1.6998968,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,5986e089-117d-4c22-8a3e-e42cd98e7a70,1625682254477,13.4746054,52.4881848,8.113591,-0.884655,-0.31393862,-0.7645607,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,a44a1bff-d3c5-4ee5-aea5-9d563050bb9a,1625682254527,13.4746054,52.4881848,8.113591,-1.2843388,-0.27423906,0.874146,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,f1d1d751-01fb-4645-abdf-8948f402253c,1625682254577,13.4746054,52.4881848,8.113591,0.0063061714,0.5247946,1.3855743,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,308f5755-4f8d-43bc-b56b-84414c56b5e6,1625682254628,13.4746054,52.4881848,8.113591,0.6376612,1.9162407,2.1004128,in backpack,cyclo cross,False,mixed,mixed
c788515a-89a8-42a5-9546-82bc5a7be065,c4d55f97-b291-4dba-8761-e40d69e85cb3,7107b9c1-2715-4293-b824-f06ed045430a,1625682254677,13.4746054,52.4881848,8.113591,0.35094738,1.5539122,1.3067994,in backpack,cyclo cross,False,mixed,mixed
