bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,6504dc1c-63e6-4917-a947-663a57af8ef1,1633159515879,13.7025205,52.4348974,7.205878,1.3346983,0.026138544,-0.38075638,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,08d940ad-60e1-402e-b735-de6178b85172,1633159515930,13.7025205,52.4348974,7.205878,0.3701184,1.4695649,0.2861309,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,40569785-79a8-401d-827c-8b23f7d566e1,1633159515980,13.7025205,52.4348974,7.205878,0.61393785,-0.93080175,2.1714478,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,deb23eae-6018-4da8-9aed-78451769678a,1633159516030,13.7025205,52.4348974,7.205878,-0.10434079,-1.6035888,-0.7072401,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,8c834a2b-5b7f-45e5-97db-e470cdee4cc8,1633159516080,13.7025205,52.4348974,7.205878,-0.78069496,0.4115615,0.6461115,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,4a8ffaa8-7a93-4a1e-a5f9-da9bb405b91f,1633159516130,13.7025205,52.4348974,7.205878,1.1241874,-0.32088208,0.61131287,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,2cc09082-3133-45b0-bce4-6d73f8480fa2,1633159516181,13.7025205,52.4348974,7.205878,0.7372197,0.4799211,-0.9688225,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,e70af563-04e4-4f64-8cab-593bcd0eb7fd,1633159516231,13.7025205,52.4348974,7.205878,-0.03779614,0.054148436,-1.553999,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,54c80f26-0637-4e6f-a999-c6f56b77c448,1633159516281,13.7025205,52.4348974,7.205878,-0.46287948,1.9963322,-0.556674,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,459e24f2-40ec-47df-800a-a9db6e5be048,bd415602-8b70-4b6f-b302-4c0aac020163,1633159516331,13.7025205,52.4348974,7.205878,1.0242312,0.6136291,0.8203964,on bike mount,cyclo cross,True,asphalt,excellent
