bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,03888457-31d8-4918-bad0-1d24dcc2f6e4,1633169041979,14.2880757,52.2673627,6.498323,-0.32512903,2.1917577,-3.1091242,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,bdca5e8a-59ba-42df-b09b-d59d3814c1ee,1633169042029,14.2880757,52.2673627,6.498323,-1.0440632,-1.6035243,1.2760754,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,94029df1-9e77-48b9-bce6-29a6ec10fa2b,1633169042079,14.2880757,52.2673627,6.498323,1.0118941,-1.3297505,-0.18986511,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,78a227f7-d0a9-4163-8a74-25baff4e79f5,1633169042129,14.2880757,52.2673627,6.498323,-0.03780034,1.3310876,1.8392429,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,ef107d1c-520f-4283-b90f-529c130bc1f8,1633169042179,14.2880757,52.2673627,6.498323,-1.3624389,-0.6804652,-1.3407702,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,f69a8c3d-a256-4ece-8e7e-a0298edb9cbb,1633169042229,14.2880757,52.2673627,6.498323,-0.34653237,-0.022033453,-0.24270916,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,ce80ee50-3140-46f5-a6d7-d410854b4656,1633169042279,14.2880757,52.2673627,6.498323,0.032465518,-0.8736787,0.68420696,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,64a1cb17-2c16-4475-958e-8036877b8a7b,1633169042329,14.2880757,52.2673627,6.498323,-0.20732853,-2.1238852,-0.8836756,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,dc464110-6367-4dc2-943d-bf639438978a,1633169042380,14.2880757,52.2673627,6.498323,-0.68755347,-1.035652,-1.3756685,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,80785ca4-a59d-4c6d-a249-6c1630a48072,1633169042430,14.2880757,52.2673627,6.498323,0.4359921,-1.6379924,1.090519,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,33d011d8-b73f-4205-a423-488fd886216f,1633169042480,14.2880757,52.2673627,6.498323,0.80262727,1.1359253,0.3945856,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,cee191b6-0716-4ea3-9a00-e113c2d40156,1633169042530,14.2880757,52.2673627,6.498323,-0.18849346,-0.810446,-0.87762356,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,370d62cb-a96b-46f2-b403-7794a8e04626,1633169042580,14.2880757,52.2673627,6.498323,-0.50595963,-0.87384796,3.3182,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,b7daab60-2f89-4660-8bec-522ed3984f9a,1633169042631,14.2880757,52.2673627,6.498323,0.58551085,-0.64500356,-1.796123,on bike mount,cyclo cross,False,asphalt,excellent
eba7842f-df33-4dd3-bc50-1aaf3bc2f083,3f9cc422-8813-4227-b06f-dca314f9b5a0,f5b3b7c5-26d2-42e4-a14d-63c705e907d9,1633169042680,14.2880757,52.2673627,6.498323,-1.2107444,-1.0476297,1.2191668,on bike mount,cyclo cross,False,asphalt,excellent
