bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,e435d5d7-9dce-4284-8c2c-77b54f97601d,1633682648947,13.3970095,52.4728389,7.1962285,-1.9707272,4.9962835,4.391959,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,2312fa81-7144-42b2-ac44-ab2d2ffd6a17,1633682648998,13.3970095,52.4728389,7.1962285,-1.4598256,-1.1713622,-4.1312466,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,de090abb-a06e-4e8e-874e-7000703dfae2,1633682649064,13.3970095,52.4728389,7.1962285,-1.5089557,2.804462,4.743844,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,20e0d0e7-9486-41ff-aa67-763504b522b5,1633682649131,13.3970095,52.4728389,7.1962285,-6.9793572,-18.870668,40.655617,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,1f02f1b8-b20c-4f47-890d-af054f70f0b2,1633682649198,13.3970095,52.4728389,7.1962285,-2.9250133,-16.241852,15.59514,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,698b3b4c-0d03-4fcf-a419-5bd91c79359f,1633682649248,13.3970095,52.4728389,7.1962285,1.4314445,-7.314221,0.56425285,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,dc945326-ef27-4366-97df-28ea2751e0a5,1633682649315,13.3970095,52.4728389,7.1962285,-5.766878,12.2045555,-17.363598,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,2c619095-5907-4fbf-a4aa-bc4ce9a5828d,1633682649365,13.3970095,52.4728389,7.1962285,-4.4171767,-9.46936,8.202932,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,231e66d0-95b8-4b75-96da-8f9804db0dd0,1633682649431,13.3970095,52.4728389,7.1962285,2.6408298,9.304234,-2.6016715,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,6d40ee81-09de-4d5d-a208-d1ff0f7b83b6,f4561ee1-523b-453d-a1f3-9059bb00f6fa,1633682649482,13.3970095,52.4728389,7.1962285,5.076416,0.5738674,0.21431279,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,0148773a-cfe4-44ca-bb35-396b32f062ca,071e5d5b-b9cd-4e97-97a6-946dd8488fd3,1633682645058,13.3973576,52.4727134,7.165624,0.6668636,-4.828191,3.3777475,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,0148773a-cfe4-44ca-bb35-396b32f062ca,5a2a612c-9c3a-4f84-8ea6-d8d6619065db,1633682645124,13.3973576,52.4727134,7.165624,-0.04196304,-2.8197331,3.428772,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,0148773a-cfe4-44ca-bb35-396b32f062ca,48e9e9cf-6124-4064-ba21-fa753587ba6c,1633682645191,13.3973576,52.4727134,7.165624,0.22728515,1.019299,0.117791176,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,0148773a-cfe4-44ca-bb35-396b32f062ca,2da4dd2d-b7f1-46b4-8fef-b83400954221,1633682645241,13.3973576,52.4727134,7.165624,1.338762,-0.7124927,8.075118,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,0148773a-cfe4-44ca-bb35-396b32f062ca,ebfc6ff3-0012-4193-9f0b-c7470ac13c59,1633682645291,13.3973576,52.4727134,7.165624,1.538326,-0.48371863,-5.1495905,on bike mount,cyclo cross,True,paving stones,good
