bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,c147589e-ee0a-4598-9cb6-8045c989fe61,1632123322524,13.3915948,52.4776228,8.280031,0.057453066,1.4449215,1.6702509,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,e296224b-25fa-4748-99a3-f09d70f22ff4,1632123322591,13.3915948,52.4776228,8.280031,1.5380849,-3.6796556,0.5690708,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,85e2f68f-1c0e-4dd8-8e2e-f23e23fcf42d,1632123322657,13.3915948,52.4776228,8.280031,-0.69561654,-1.7886553,0.35354328,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,295ec512-684f-471a-9161-73cde3652f83,1632123322724,13.3915433,52.477555,8.419591,-0.51615214,3.2533884,-6.603288,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,7a694327-d575-4505-bb67-9e4a444a204a,1632123322791,13.3915433,52.477555,8.419591,1.7503222,-0.82068896,-0.32877445,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,a0491a61-1be0-4426-b004-3469ea608e0e,1632123322857,13.3915433,52.477555,8.419591,-0.4107743,-2.3030164,-8.468812,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,9556d5c1-a3be-42b4-bfd0-3550aa044112,1632123322908,13.3915433,52.477555,8.419591,-2.7040768,0.14118314,2.6674328,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,82a815bb-a587-4c9b-9ed0-c1873970ae4d,1632123322974,13.3915433,52.477555,8.419591,1.2343621,5.5521593,-1.4818268,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,c3f3dc14-9fc8-4f18-aac7-ab4922c52461,1632123323025,13.3915433,52.477555,8.419591,-1.9453443,1.7106833,2.2588196,on bike mount,cyclo cross,True,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,f7d026aa-4cdd-45a8-a852-464b9d5dc929,a68c9721-7a6c-449d-a120-35860067b38e,1632123323091,13.3915433,52.477555,8.419591,2.056448,9.3074465,-1.8256125,on bike mount,cyclo cross,True,concrete plates,good
