bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,474bef52-9c89-46ad-aea3-8bd9dfada6fc,1627365920676,13.4010072,52.4800473,7.3157063,-0.4656133,-0.96909976,-1.1902475,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,91d274da-d579-4f64-a579-6cfb03fb0c60,1627365920726,13.4010072,52.4800473,7.3157063,-1.3942047,1.6232107,1.0340672,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,f96db04f-cbb3-49c1-9657-b7735db99cb4,1627365920776,13.4010072,52.4800473,7.3157063,0.6161249,-3.013919,-0.75663376,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,40bbfc27-fc6a-4a48-b6e0-fdcd5079c8f5,1627365920826,13.4010072,52.4800473,7.3157063,-0.97561026,1.1709373,-0.24792767,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,744a4550-6007-4c71-9fe9-4cc4dae43f89,1627365920876,13.4010072,52.4800473,7.3157063,-0.37202054,1.2530532,-4.0210648,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,a00448a1-4ffd-4b8a-ba78-d6121372e8f3,1627365920926,13.4010072,52.4800473,7.3157063,-0.0598851,-5.1854753,3.6136408,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,14de4015-9335-4c32-9fea-93256e75752e,1627365920976,13.4010072,52.4800473,7.3157063,0.80986255,1.3372746,0.2652254,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,c27893eb-73c7-4c35-9789-034cd2a18b09,1627365921026,13.4010072,52.4800473,7.3157063,-0.73322654,-0.2952845,0.96999836,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,3cdca46f-8393-4c24-a101-819ddc243d18,1627365921076,13.4010072,52.4800473,7.3157063,2.319664,5.742679,-2.6644301,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,3c9ccaa1-d520-4eac-af2c-e880563f2e59,1627365921126,13.4008973,52.4800531,7.3001366,-3.633371,-3.4879751,-2.6763306,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,1d07f3a9-0d9f-4c85-a30a-f4666af47c71,1627365921178,13.4008973,52.4800531,7.3001366,-0.45865953,2.9141188,-5.4458942,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,d32beac2-9231-44a4-967a-a61a4f67d124,1627365921244,13.4008973,52.4800531,7.3001366,2.9076836,-0.68694603,-2.9398065,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,d1469c78-3150-4d93-ba4c-839d83497564,1627365921295,13.4008973,52.4800531,7.3001366,-0.67150223,3.0566049,1.0789108,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,c4f158ad-616b-4e2d-b64c-ef2b4de787a2,1627365921345,13.4008973,52.4800531,7.3001366,-0.38365674,-0.75027514,-0.5992327,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,ad71d36c-95a5-4653-b6ff-c407d711f7e8,1627365921395,13.4008973,52.4800531,7.3001366,0.031265445,3.356832,-1.789545,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,daa498cf-0972-4a03-a3ab-752d4e43eb57,1627365921445,13.4008973,52.4800531,7.3001366,0.469822,-2.99825,2.964692,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,50b3719b-5d70-44b5-b0cb-088f835bbdd9,1627365921495,13.4008973,52.4800531,7.3001366,1.3390851,-0.816396,-0.71370125,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,c89fb2c1-8b41-4e94-9b27-6b9d6684b54a,1627365921545,13.4008973,52.4800531,7.3001366,-1.7974522,0.6968639,-3.215702,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,f9f38059-13d3-4e23-87be-276303e3424b,1627365921595,13.4008973,52.4800531,7.3001366,-0.36446005,1.6470251,-0.9545517,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,50be61a9-c269-4950-be7d-1611c53fd077,f2719735-1ce3-4483-aad2-1c2768a5ee39,1627365921645,13.4008973,52.4800531,7.3001366,0.9270595,-5.609018,0.4781208,on bike mount,cyclo cross,False,asphalt,good
