bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,d21c382c-16b1-4be5-b57b-502dc70ded8b,1644073392211,13.4387576,52.4924224,4.1591244,1.4815087,-5.4733276,1.9384394,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,16bea34b-6127-4cef-99d1-16008eb20cc0,1644073392266,13.4387576,52.4924224,4.1591244,0.5804574,0.14849663,-3.3689985,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,8a03221d-0f42-4892-aed4-44bf6b5dd91e,1644073392322,13.4387576,52.4924224,4.1591244,-0.15427919,-1.1630266,3.5086336,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,d935d8a9-ff30-476d-954a-7376f7139beb,1644073392378,13.4387576,52.4924224,4.1591244,-1.9729602,-0.40008497,4.370056,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,1d939122-ab7f-4acf-b782-e126ac44cf1f,1644073392433,13.4387576,52.4924224,4.1591244,-5.5927477,0.5537698,9.143513,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,67839cfc-c926-4ebc-8ba0-588842e3a0d9,1644073392490,13.4387906,52.4924558,4.363758,2.5787373,-5.4024534,4.1241055,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,16c09ead-7b3f-4175-9de5-3f1c5c68387e,1644073392545,13.4387906,52.4924558,4.363758,0.38418144,-2.0685697,13.885132,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,eb107c1c-1d82-4ccf-af3e-f164f91f66b3,1644073392599,13.4387906,52.4924558,4.363758,0.012587145,3.7178993,-6.3173933,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,88876bdb-33dd-4fd8-b1da-643774103bd0,1644073392656,13.4387906,52.4924558,4.363758,2.0520086,1.5516348,0.23033237,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,52d6761f-8c3e-4c68-9a06-6213cff8cf18,0b0d90a5-7224-4b6d-a1cc-56d0eb5cdb52,1644073392712,13.4387906,52.4924558,4.363758,2.4742253,-1.7059948,3.1610374,on bike mount,cyclo cross,True,sett,intermediate
