bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,63102f2c-caa2-4d21-8e94-fd303c5633b6,1633625535490,13.4403194,52.4926238,4.995439,0.80288506,-3.7830067,-7.0811567,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,3694ea39-8ca2-4dcb-8a6e-cb5d1ff685ea,1633625535547,13.4403194,52.4926238,4.995439,0.21833976,-8.452205,10.61263,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,5710f928-9e56-492e-8f02-faaddbb052e8,1633625535609,13.4403936,52.4926118,5.0533066,1.5968416,17.998678,-21.359495,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,c30e8952-d73f-4c53-8096-34aca6c33fe8,1633625535672,13.4403936,52.4926118,5.0533066,0.20177817,4.036295,-9.04865,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,5124874f-030a-43be-8333-50bfdf4dec2f,1633625535724,13.4403936,52.4926118,5.0533066,-2.4823334,41.23178,9.15758,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,7c8ce1b7-9a93-4c20-802c-db561473cbf8,1633625535791,13.4403936,52.4926118,5.0533066,5.7278395,-3.8664665,-6.147922,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,0d2bc76f-208a-4de3-9654-94b75cfc07d2,1633625535842,13.4403936,52.4926118,5.0533066,5.43982,7.818845,-1.7180681,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,4e267786-08f3-431f-855e-20536286c665,1633625535907,13.4403936,52.4926118,5.0533066,-5.6340184,-6.247979,-3.0098605,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,fbb7096d-ad42-4d7c-ac6b-d792d39f4097,1633625535957,13.4403936,52.4926118,5.0533066,0.021087766,-45.256966,27.836761,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,e7768bbf-f17a-4b54-ad32-70e44a3e1e24,1633625536007,13.4403936,52.4926118,5.0533066,-3.123648,0.6449733,9.0198555,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,91950058-5e65-40a7-8b7a-6a62223a30f9,1633625536058,13.4403936,52.4926118,5.0533066,0.01150921,4.869417,-13.4260235,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,bc741810-d0ec-454b-9eb2-25f069f8457b,1633625536109,13.4403936,52.4926118,5.0533066,0.5453949,3.173203,-5.697127,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,849b6e6e-c097-4450-ac15-840a13d64d2e,1633625536158,13.4403936,52.4926118,5.0533066,3.42167,9.812538,-14.246826,on bike mount,cyclo cross,True,sett,intermediate
00de889a-8fed-474d-aa52-1bd7be3b2516,de0aa65d-8afb-483d-a599-2a58f2616790,3687e4b3-d1cb-4684-a7dd-8186a49dfdbe,1633625536209,13.4403936,52.4926118,5.0533066,9.274378,19.624037,-7.351391,on bike mount,cyclo cross,True,sett,intermediate
