bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,1c18b82d-b287-459d-8dd0-1c5551ef3c8f,1644237189673,13.355872,52.5106815,3.9385815,1.7423432,-3.5524702,11.0192,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,4c143699-ec13-431c-881d-b3a47e9fada1,1644237189730,13.355872,52.5106815,3.9385815,0.09396556,1.3095531,1.2256794,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,1258b8fe-cf3a-4bb4-9b32-5b4c0e74e93f,1644237189786,13.355872,52.5106815,3.9385815,-3.9135325,4.408997,0.91273785,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,944ec601-9517-4b8b-ba50-0255d731a5d6,1644237189842,13.355872,52.5106815,3.9385815,1.1474949,8.281967,-2.6221805,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,d9f682d6-6055-4262-a0a9-9843f6c519f1,1644237189898,13.355872,52.5106815,3.9385815,1.9892128,-1.57754,-5.8692484,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,d5fab05c-2151-4b08-a5c8-16f5f4d46594,1644237189951,13.355872,52.5106815,3.9385815,-3.2844062,-14.557029,5.885277,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,847e1420-66df-4b00-9cd8-ce03c9362da3,1644237190008,13.355872,52.5106815,3.9385815,0.97315574,12.240713,-18.324556,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,8469b6f5-eebc-4144-b7e0-bed7a5694ace,1644237190063,13.355872,52.5106815,3.9385815,16.520145,17.218252,-6.34878,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,c34faee7-071c-4b40-a899-c05749022f30,1644237190119,13.355872,52.5106815,3.9385815,0.8312191,-8.302333,26.775097,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,03ac3a2a-ec34-4a8e-a95b-40c3cb3c9a98,1644237190175,13.355872,52.5106815,3.9385815,-3.4935086,0.500788,20.357868,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,14510d92-458a-4449-8595-7e187c6e1bdf,1644237190232,13.355872,52.5106815,3.9385815,0.68273365,-0.29365754,-9.96488,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,9d8fe7de-5d72-44ff-8da0-3d04c3c15671,1644237190286,13.355872,52.5106815,3.9385815,1.0670444,0.8564856,-11.706169,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,8d8af6c2-c726-4f37-a774-d40d373dedaf,1644237190342,13.355872,52.5106815,3.9385815,6.426195,-0.24617219,1.9391088,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,3f57ffe6-189b-4e59-9c1e-8fa2ec0b2a54,1644237190397,13.355872,52.5106815,3.9385815,-4.7070336,-1.1483145,-11.283452,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,c7ab08a1-d4dc-48ec-b830-e363ce112953,1644237190452,13.355872,52.5106815,3.9385815,3.0285764,5.938584,-4.766363,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,db23e627-520b-4f51-b2b8-47edf637338c,1644237190510,13.355872,52.5106815,3.9385815,3.4786608,5.195863,0.48601723,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,89a76528-004b-4e74-85fa-de05f6803a46,1644237190567,13.3559333,52.5107059,4.1615705,-0.90706134,4.324034,-1.0261817,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,3bd788c3-90e5-4582-af6c-b71f4c8bd3f3,1644237190619,13.3559333,52.5107059,4.1615705,0.5368719,-8.089215,-2.883967,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,446d56f8-5533-441a-a255-066a86a391d0,1644237190673,13.3559333,52.5107059,4.1615705,-1.9967009,-4.382162,-7.1132607,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,2a93b02d-0aea-4aa8-8e69-479563b00283,1644237190729,13.3559333,52.5107059,4.1615705,-0.5353905,-0.0018906593,1.0711346,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,86325b26-40ab-4a06-9f5e-e3d02e77ad8e,1644237190784,13.3559333,52.5107059,4.1615705,0.3982088,-2.6897905,7.021782,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,bf35261c-6c70-4b8f-ab12-9645127f793f,1644237190840,13.3559333,52.5107059,4.1615705,-3.2773998,2.6713881,-8.522133,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,fe29b920-ab38-4f75-b4cc-023236e85aa5,1644237190900,13.3559333,52.5107059,4.1615705,0.71923536,-7.3887362,4.187538,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,de6bb0f1-28be-4ce0-9b0f-39828cef12ae,1644237190953,13.3559333,52.5107059,4.1615705,0.59910524,-4.9317026,5.954054,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,aec3f2f2-c7ef-4a5d-b751-627de80a563b,1644237191009,13.3559333,52.5107059,4.1615705,-3.8967164,0.69844604,5.329817,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,50d5225e-2fb0-4b08-9e89-6f89de24a638,1644237191063,13.3559333,52.5107059,4.1615705,-2.2773004,-6.1299458,2.932045,on bike mount,cyclo cross,True,fine gravel,good
06644c66-65ee-40a7-ba9a-29b7ad2aa6a5,d93e6ccf-d897-4a47-a21d-8f0932e2c9c7,b47c9d15-7a01-45c6-a9c2-881c16f2a134,1644237191120,13.3559333,52.5107059,4.1615705,-1.9822586,-0.8221166,0.47802734,on bike mount,cyclo cross,True,fine gravel,good
