bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,ae32efdf-def6-4216-8be0-bc6a234b1579,1626969510376,13.6559338,52.4649141,5.877978,-0.6930721,3.161212,4.175108,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,7c43c3da-fe6e-4964-a76b-5308c8b07f34,1626969510426,13.6559338,52.4649141,5.877978,0.6856919,2.0042028,-8.644594,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,00236013-27f9-41bd-ae62-c5f89be5e58e,1626969510477,13.6559338,52.4649141,5.877978,-9.291822,-7.9578247,16.81936,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,53edfc0d-8e56-4849-8680-47f4662dc7a5,1626969510527,13.6559338,52.4649141,5.877978,-0.8360255,2.640601,-3.1016645,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,c57cd213-81e3-404f-9dbd-37c806bd0695,1626969510578,13.6559338,52.4649141,5.877978,2.9445357,-5.40784,6.4272327,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,83016299-b986-474f-94f8-cd23ac940c0a,1626969510628,13.6559338,52.4649141,5.877978,-2.44351,2.6652434,-10.316455,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,b6cf451e-ab4f-45eb-bdf6-32b11c661ffb,1626969510679,13.6559338,52.4649141,5.877978,-4.1121845,-0.14755253,-0.6211281,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,d8c86b8f-bd86-48ec-83cb-6ac13a640ce6,1626969510731,13.6559338,52.4649141,5.877978,1.9391667,2.556872,-3.8208318,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,d5066d87-af0b-4339-8315-9420a3f7e600,1626969510782,13.6559338,52.4649141,5.877978,-1.5409353,0.16846597,1.2086315,on bike mount,road bicycle,False,grass,bad
0ddfce99-23f1-40a4-b539-f8ab0d235c1c,57d53202-eb40-416a-ad95-1e98a11532cf,2987cc83-063c-417a-9eac-0d0da821d1e0,1626969510833,13.6559338,52.4649141,5.877978,0.84094954,-2.3951497,-5.8643193,on bike mount,road bicycle,False,grass,bad
