bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,ab92170a-fff8-446f-946a-bd3202a3e6fb,1643888801439,13.4024262,52.4724402,6.2951784,-0.0553599,3.1171007,0.10028744,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,99feb5a0-056b-499e-804a-5bcce8e3e885,1643888801493,13.4024262,52.4724402,6.2951784,-0.8921773,0.6765816,0.2690897,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,bc260747-af78-430a-ae52-8615dfeeb66b,1643888801549,13.4024262,52.4724402,6.2951784,-1.7092673,-1.6014172,-1.4119396,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,c61e19a0-d09e-4899-8912-4903fa4c27ec,1643888801604,13.4024262,52.4724402,6.2951784,0.5020176,0.2036202,3.058155,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,db1daab5-d069-4709-952d-dafe71f6c4cc,1643888801660,13.4024262,52.4724402,6.2951784,-0.8845448,1.0040603,-1.79072,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,fd6b9316-4496-4c06-8c4d-5b13237c7845,1643888801715,13.402518,52.4724401,6.345876,-0.5668913,-1.5727358,2.5775023,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,34d651d0-8b5d-4c58-b811-9341b3d73b64,1643888801772,13.402518,52.4724401,6.345876,0.90174854,-1.1553333,3.669013,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,63ae456f-3496-4675-8357-364e8c10ca8e,1643888801827,13.402518,52.4724401,6.345876,0.14187837,0.9587958,2.7014217,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,e3fae8e2-3c6c-4fd9-aa56-7d11fe8f6e00,1643888801883,13.402518,52.4724401,6.345876,1.5454471,-0.9644146,-4.646516,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,1ac79bfd-c671-4017-a017-a7c442973178,1643888801939,13.402518,52.4724401,6.345876,1.6018397,-1.255708,-0.3149805,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,de5ee714-0fcc-4a1a-afcf-6d73fd8cf974,1643888801993,13.402518,52.4724401,6.345876,0.51184255,1.1208477,-0.8403473,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,2d152a6c-3d74-4735-9804-1538fd17d722,1643888802049,13.402518,52.4724401,6.345876,-1.2562742,0.9681368,2.4036837,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,186243f3-d207-41d6-bff2-224a8e84ba82,1643888802106,13.402518,52.4724401,6.345876,-0.25195563,-1.7102654,-0.1479845,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,b277272e-93e1-4375-ac38-c88979226723,1643888802161,13.402518,52.4724401,6.345876,0.17318222,-1.737636,-1.5331597,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,0468e97d-2ac5-4065-bbf9-844ba9e8b971,1643888802216,13.402518,52.4724401,6.345876,-0.15304868,1.5955286,-3.8837438,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,d3e2fdeb-a3a9-49c8-ab84-d9795d2a7c32,1643888802272,13.402518,52.4724401,6.345876,-0.25476784,-1.6857458,3.3790197,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,25ef4b23-a8dc-4468-ab49-313a81dd2488,1643888802327,13.402518,52.4724401,6.345876,-1.0835729,-1.1539116,-5.471655,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,0e906206-df9b-4a86-8156-41bcf291e40c,1643888802384,13.402518,52.4724401,6.345876,-0.26049197,0.54038,-0.8331175,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,38935fe1-87e9-45e4-aea1-e833f0e48b74,1643888802439,13.402518,52.4724401,6.345876,0.13979979,3.7759852,1.7631598,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,bab21b0f-7403-4f73-a530-34bf7ffa644c,1643888802495,13.402518,52.4724401,6.345876,-1.0662892,-1.0989147,-1.1820412,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,75372125-4442-4b15-bcb2-7e3b3eb36aa3,1643888802550,13.402518,52.4724401,6.345876,0.11200276,-1.2494024,3.0738087,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,1769cd56-bcd6-4276-9baf-fef1c4cd44a1,1643888802605,13.402518,52.4724401,6.345876,2.314257,-1.0265651,-3.3461394,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,29031b25-b661-4006-bc5e-9e201ebd89ff,1643888802665,13.402518,52.4724401,6.345876,-1.2483525,-1.5583231,0.16973782,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,bc5d9033-f9c4-453d-a3ac-2fca2a3fdb16,1643888802716,13.4026113,52.4724416,6.4654393,2.5226178,2.4784293,-3.6539311,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,f9b881b3-f310-44ac-bd3f-29d24152bad8,1643888802773,13.4026113,52.4724416,6.4654393,1.288506,-2.3745964,1.0319347,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,c7e6e439-64ac-4203-bf8e-270bbbbc1844,1643888802829,13.4026113,52.4724416,6.4654393,-0.5686045,3.6146908,-2.3921947,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,0b8218cb-a274-4c27-813f-d1a430b1e11c,1643888802884,13.4026113,52.4724416,6.4654393,0.26806957,0.108739614,-2.3925052,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,8fb212c8-c8cd-406b-8234-063728def4ae,1643888802940,13.4026113,52.4724416,6.4654393,0.6531607,0.13833833,1.1456747,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,5153901c-a76c-4066-92e3-75be251cf217,1643888802994,13.4026113,52.4724416,6.4654393,0.90719503,-0.24958897,1.5627699,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,edcb1b62-98b7-4080-b688-4c07f698e724,1643888803050,13.4026113,52.4724416,6.4654393,0.2990002,1.3790517,-0.48841667,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,abdb2d0d-b70a-442b-99d6-9578d63f2b5b,1643888803107,13.4026113,52.4724416,6.4654393,-0.7183611,1.4253201,-2.5566592,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,e034e53b-7a15-4941-a3a7-0cc9458b6bd3,1643888803162,13.4026113,52.4724416,6.4654393,0.24880067,-0.69574,-1.5520921,on bike mount,cyclo cross,False,paving stones,good
171e7142-7302-4ef6-81b1-6b92aaca6844,f676d315-15b3-4612-8995-0c506e9f9da1,03621b13-0b8e-4813-adfb-1aeaa951a2ba,1643888803217,13.4026113,52.4724416,6.4654393,0.8374395,0.77266216,5.127491,on bike mount,cyclo cross,False,paving stones,good
