bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,d38db296-aa1a-4e66-ab5c-4dfcf311d628,1626969825753,13.6284542,52.4623765,8.500517,2.026519,3.0790071,-2.9192934,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,02ad9358-4148-4d5f-8665-0556610242a7,1626969825804,13.6284542,52.4623765,8.500517,0.53702074,0.087795615,13.060965,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,b0c5891b-6e9e-4c13-abc9-fc85863f634e,1626969825855,13.6284542,52.4623765,8.500517,0.30570138,3.1676989,-10.097584,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,84f03c68-bc96-4ca3-80eb-4551b0674adb,1626969825905,13.6284542,52.4623765,8.500517,-7.984357,-1.3068655,3.044814,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,b39f6e60-9d84-49a0-83f5-4f951b0ea43f,1626969825955,13.6284542,52.4623765,8.500517,1.176911,2.2850437,-8.306594,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,5c5c065d-0cc8-4c89-a85d-41d914e99f0f,1626969826007,13.6284542,52.4623765,8.500517,1.9086813,-7.9754725,3.4998178,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,f0b9f804-ed17-4847-b57f-d02804eff8c6,1626969826058,13.6284542,52.4623765,8.500517,-0.7432009,5.197749,3.3274784,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,03e7be3c-0ffb-4452-b68d-216a8d1aa6dd,1626969826108,13.6284542,52.4623765,8.500517,2.6545732,-4.020185,-2.9291768,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,cc774f22-1ecb-49b4-95fd-da7d0b3b3617,1626969826158,13.6283347,52.4623908,6.6252933,3.931047,-0.8661785,-6.6308994,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,3464b7cb-6823-4889-b2c8-6c1d8decb869,1626969826209,13.6283347,52.4623908,6.6252933,-0.60039985,-3.4948483,-2.751114,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,95adf776-b190-4a8a-9ddd-97f0b5cfe637,1626969826260,13.6283347,52.4623908,6.6252933,1.952849,3.6924007,-1.1351027,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,5c4f0f19-03f3-4e2a-901a-7ac4a52f3809,1626969826311,13.6283347,52.4623908,6.6252933,1.1425318,6.242741,4.471327,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,aae2dad1-64c0-4713-b7a0-2f49265f7a22,1626969826362,13.6283347,52.4623908,6.6252933,-5.3316364,6.246829,15.583051,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,2f16372a-80e8-4406-9d37-3e6108bfab32,1626969826412,13.6283347,52.4623908,6.6252933,0.30691546,-1.6744769,-1.1364684,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,58ea7fb6-9366-499c-b41a-16672b9ef4db,1626969826463,13.6283347,52.4623908,6.6252933,4.377591,-0.6766254,0.91715145,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,a1de0b7e-a5e2-4889-b359-d9b5116b5755,1626969826513,13.6283347,52.4623908,6.6252933,1.4986355,2.1897194,-1.9819951,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,9915ad4f-163d-4b4e-bc18-7f0e79b0a5f8,1626969826563,13.6283347,52.4623908,6.6252933,-3.0459585,5.6400757,-3.2891555,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,26d6d1ad-af62-476e-84b2-daf33b1a614a,1626969826614,13.6283347,52.4623908,6.6252933,1.0497653,-3.5607648,-4.322288,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,94c010ca-60ba-4591-b0c0-ce84a2747a5f,1626969826665,13.6283347,52.4623908,6.6252933,4.1508884,-1.7176917,-4.1025333,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,0ee27c93-603a-42fd-bfda-c14573e49e7b,1626969826716,13.6283347,52.4623908,6.6252933,0.0035271049,-2.5658767,2.4499664,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,0f144b9f-8723-4602-af2e-1afd65ebc7e7,1626969826767,13.6283347,52.4623908,6.6252933,-2.6506305,3.8056731,-1.1265068,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,e09155fe-fab3-42b2-b864-04dde47c6fd8,1626969826817,13.6283347,52.4623908,6.6252933,-0.11001325,-2.2689009,-1.5472493,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,de642660-87d3-4d3e-8621-ae183ee0229d,1626969826868,13.6283347,52.4623908,6.6252933,-2.589763,-3.7211347,3.9143353,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,ef61a652-744d-4986-843a-c8e297af1122,1626969826918,13.6283347,52.4623908,6.6252933,1.6372969,1.5444899,-0.82625675,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,326d5b5e-d6ac-4c44-b471-e7ae78f65f58,1626969826969,13.6283347,52.4623908,6.6252933,-0.3687073,2.150979,11.353594,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,957d3bb0-86e0-4f2d-a81d-ea1ed8dd8522,1626969827019,13.6283347,52.4623908,6.6252933,-5.9626613,1.8781564,-2.1568985,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,f279fe74-f650-4d19-906b-91846fa87555,1626969827070,13.6283347,52.4623908,6.6252933,6.5460534,12.216642,-10.720513,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,09ca9998-b309-4a56-9969-4c27d6e6e732,1626969827120,13.6282184,52.4623953,8.379811,-1.0218862,-0.57891625,5.4711857,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,1dd333c4-878f-4217-924e-adefc94f5789,1626969827171,13.6282184,52.4623953,8.379811,-1.7380584,-5.5094614,-7.2129693,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,fa60f8bf-59bd-49c5-8565-eef40782889d,1626969827221,13.6282184,52.4623953,8.379811,2.4190903,0.10138041,-0.18225193,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,c745f167-e607-437c-9d25-85f3c25b547b,1626969827319,13.6282184,52.4623953,8.379811,2.0115814,1.8798697,-1.2588091,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,04d51ef2-2cc4-4d3f-8c72-3f137af69cef,1626969827369,13.6282184,52.4623953,8.379811,-1.3513744,2.0018065,14.097341,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,d380541e-e01d-4e99-9790-e6292a93100c,1626969827419,13.6282184,52.4623953,8.379811,-0.23130457,4.927319,-3.4524608,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,6cbff475-7b5b-466d-82cf-f7e49b53b593,1626969827470,13.6282184,52.4623953,8.379811,0.11982322,-5.486054,-2.4168372,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,f8c235fe-009e-48db-a889-c8407dceab42,1626969827521,13.6282184,52.4623953,8.379811,0.9713689,-1.9294274,0.4195404,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,75f1cd5d-4a4f-451e-974b-cd7c6dc8b345,1626969827610,13.6282184,52.4623953,8.379811,0.45784932,-1.6442001,1.3412752,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,b99928dd-55e1-4cf3-a6aa-ed0fc653da0d,1626969827661,13.6282184,52.4623953,8.379811,-0.61988187,4.997552,-1.7593746,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,c45e5f47-d620-4597-9aa1-bb37c0d3af3b,1626969827711,13.6282184,52.4623953,8.379811,-2.0795264,-1.6071807,2.9744596,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,86ddda39-793c-4bbc-93e3-a75d36f4a974,1626969827762,13.6282184,52.4623953,8.379811,-1.4969106,-6.06703,1.4022875,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,fefc0e68-b722-46a8-857a-31f349b7dc9f,1626969827812,13.6282184,52.4623953,8.379811,1.3367043,3.7071702,-0.7385464,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,ad0a7504-dcd9-4028-ab93-430e046ece5e,1626969827863,13.6282184,52.4623953,8.379811,-0.9976515,3.31691,-3.4810138,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,1e897220-0f8c-4c9d-8b74-6e396973a3ba,1626969827914,13.6282184,52.4623953,8.379811,-3.1183414,-11.667548,20.561756,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,df280df9-5485-495d-8089-89a3ee7550e4,1626969827964,13.6282184,52.4623953,8.379811,-2.7417538,7.41504,-4.1610894,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,1378c555-50d5-4c03-b2e5-4e02c4950f82,1626969828014,13.6282184,52.4623953,8.379811,-2.8286486,-3.4170804,7.472948,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,8d47060a-1f17-46d5-8f27-2ee7f8fe764d,1626969828066,13.6282184,52.4623953,8.379811,-1.622225,-5.6032248,-7.3883667,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,aebdd071-877a-49bd-b400-099c432ba406,1626969828116,13.6282184,52.4623953,8.379811,0.4099972,-6.0896196,8.184227,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,149dd7a2-2106-4c2b-b6fc-0a90699cea67,1626969828166,13.6280914,52.4624069,7.8673916,-3.0064316,3.4572182,-3.1649628,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,8c28d43b-a62c-477d-ad17-e73f08751d38,1626969828217,13.6280914,52.4624069,7.8673916,1.9626377,-3.9488924,-2.9335775,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,d3f88399-4919-4858-822b-bcbfbfbcc088,1626969828267,13.6280914,52.4624069,7.8673916,-0.8134626,-4.411296,-0.48090553,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,17c418ce-6593-4935-9837-57747144b041,1626969828318,13.6280914,52.4624069,7.8673916,5.939668,1.7195201,-2.5666785,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,7001442c-077a-43ee-afc2-03de5783c09f,1626969828368,13.6280914,52.4624069,7.8673916,-5.6385117,-2.5111797,-1.9316964,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,2aa6a53d-8c99-4d72-891e-615931a8a47f,1626969828419,13.6280914,52.4624069,7.8673916,5.526714,2.006731,-0.12155342,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,74da6c35-a06b-4370-af86-d33e8264eed5,1626969828469,13.6280914,52.4624069,7.8673916,0.76558954,-0.05484733,-3.3973851,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,a267fc81-c374-4297-b459-d590466afb55,1626969828519,13.6280914,52.4624069,7.8673916,1.1083465,-1.6134707,-2.7563128,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,2f94d506-4261-46c1-8ac2-da6b0f2acf85,1626969828569,13.6280914,52.4624069,7.8673916,-4.355052,1.6218781,-6.760048,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,dbf315e3-01ea-420a-b652-ccbdb64f8d47,1626969828621,13.6280914,52.4624069,7.8673916,7.668492,0.19702598,-7.2509875,on bike mount,road bicycle,False,gravel,intermediate
177022c9-6ad0-4dfe-85d0-f7f342cbb2b3,731db96d-c29b-4174-98f7-07a367d9a5cf,031923e0-8203-4871-a42e-e2db69831479,1626969828672,13.6280914,52.4624069,7.8673916,1.1389434,0.8613136,-1.0708299,on bike mount,road bicycle,False,gravel,intermediate
