bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,e2986677-2eb0-425e-9c43-a5a3c653051f,1633624158934,13.3899839,52.4745605,7.1489787,-1.4867446,6.688093,2.958805,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,f0b33795-1c97-425d-ae3c-0c50ceb56987,1633624158985,13.3899839,52.4745605,7.1489787,0.23799002,-1.310862,5.7358627,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,5c7f6985-9282-4a6a-88ca-8b78fa335de5,1633624159035,13.3899839,52.4745605,7.1489787,1.8921382,-3.4538376,0.4610834,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,24a73285-4eef-4e17-b1cf-2a7e7e7ede11,1633624159085,13.3899839,52.4745605,7.1489787,-0.4729491,-1.5444506,2.0706158,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,7b26eb67-8edb-4005-b58b-34011180fd28,1633624159134,13.3899839,52.4745605,7.1489787,1.9024458,-1.8508977,-2.401888,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,e25007be-104e-415e-b298-1eb21e194fa9,1633624159184,13.3899839,52.4745605,7.1489787,1.8541827,1.2287064,-4.2857347,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,9e3f1423-b514-4012-8cf1-d622b11f8818,1633624159235,13.3899839,52.4745605,7.1489787,-0.8899693,-1.1367544,3.6936207,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,ff886620-62cf-4ee5-b921-90ad77a8da95,1633624159285,13.3899839,52.4745605,7.1489787,-1.7308172,-1.6849952,0.10405922,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,3ef9b223-1148-4628-a810-53f8bb467059,1633624159336,13.3899839,52.4745605,7.1489787,-0.99294376,3.7627707,-1.9190178,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,b2ca46b0-843a-4ec4-ac2e-5ebca2a5dd56,1633624159403,13.3899839,52.4745605,7.1489787,-1.4179006,-2.049057,-2.7298803,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,13b3fe1d-dac4-4e5f-9206-32aaade40404,1633624159453,13.3899839,52.4745605,7.1489787,1.4660605,-0.96985555,8.5701275,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,722354e5-d5b9-4b2c-9534-7560220accf7,1633624159519,13.3899839,52.4745605,7.1489787,0.36405084,4.995777,-0.5697088,on bike mount,cyclo cross,True,concrete plates,good
181827c6-a675-4238-8b16-de520de09d51,1451c67e-562c-480d-8096-1c50748e409d,4bcd53d3-14e3-4660-b5ab-6d180b6e7781,1633624159571,13.3900006,52.4746235,7.0105457,-1.1410075,-2.0117154,-3.3884242,on bike mount,cyclo cross,True,concrete plates,good
