bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,3aa67b4f-7836-4404-8686-3a5735874a44,1633173244193,14.4489879,52.2160825,6.873813,-0.6162392,-0.24652028,0.4886999,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,d5f3fa39-0a46-4650-ac49-2743dfeddff1,1633173244258,14.4489879,52.2160825,6.873813,1.0111383,-1.8812424,0.006303787,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,10b4d145-507e-464e-8969-46db1e6444ee,1633173244309,14.4489879,52.2160825,6.873813,-0.031163514,-2.6050315,3.166544,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,fa9240a9-4800-46d3-a120-316b4e9844c3,1633173244375,14.4489879,52.2160825,6.873813,-0.0047037005,0.9180684,0.26261234,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,e66780b6-749b-462f-94b0-aec99ef32bbd,1633173244442,14.4489879,52.2160825,6.873813,0.45162305,0.37731314,1.3460283,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,85e4a2f3-cae6-4a24-8dce-184dbf9218db,1633173244491,14.4489879,52.2160825,6.873813,-0.8610041,0.23035145,-0.027415276,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,320f0e3b-01f8-4dbd-9bdc-f94f3c6ffbd3,1633173244541,14.4489879,52.2160825,6.873813,-0.3795414,-0.20097613,3.153201,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,fde24530-84f2-4234-82bd-6633df99e457,1633173244591,14.4489879,52.2160825,6.873813,1.0282284,-0.84866154,2.1137075,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,261822e8-e0af-4e89-ab62-82357038a721,1633173244642,14.4489879,52.2160825,6.873813,-1.1224402,1.7670565,-2.192892,on bike mount,cyclo cross,True,asphalt,excellent
1f3b5e1e-ffc4-4941-b268-04416bbafb19,45817240-889c-487f-9ebb-95079d73edea,bda80f12-6d10-4a68-a158-8d20d50d9ef2,1633173244693,14.4489879,52.2160825,6.873813,0.30108717,2.6474597,-2.1249485,on bike mount,cyclo cross,True,asphalt,excellent
