bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,066c2a99-5ffc-419d-9c27-0bbfe61d18f3,1632650014223,13.4861025,52.4872468,6.1166186,-0.44201297,1.4368951,-4.938886,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,34b6125c-72a1-47a2-902f-582d1d688beb,1632650014289,13.4861025,52.4872468,6.1166186,0.859624,-4.5659957,3.592929,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,50b66215-4115-47fc-b956-398ab28b0642,1632650014356,13.4861025,52.4872468,6.1166186,1.685206,4.8112283,-5.2381325,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,3ad63112-a8a4-479e-b5f3-075b334937a6,1632650014422,13.4861025,52.4872468,6.1166186,1.4823601,-1.9013147,-4.2608137,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,fcee6df9-ef72-42d5-9939-23c8a8c47695,1632650014489,13.4861025,52.4872468,6.1166186,2.1458428,-6.9052444,1.5648613,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,fa3f6fda-2758-4346-8a60-5c8a093aa077,1632650014539,13.4861025,52.4872468,6.1166186,-0.7817288,-3.9355547,-5.8660727,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,6737a32a-4bb3-4e79-aead-90e3ec5ec853,1632650014606,13.4861025,52.4872468,6.1166186,-1.1774315,-1.1414417,2.6266842,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,c47be583-85e9-414d-9209-86f4f371aae7,1632650014656,13.4861025,52.4872468,6.1166186,0.9895514,5.236991,-3.9103189,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,6a6233d1-1d05-4299-8889-f36f0447c7cf,1632650014706,13.4861025,52.4872468,6.1166186,0.206698,3.266494,2.5563545,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,af6ebdda-91c7-4d44-a341-624dda0e6582,1632650014756,13.4861025,52.4872468,6.1166186,0.92709476,-2.656564,-2.7226129,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,d9e54bfb-5729-442b-b432-347a6cc02cb5,1632650014823,13.4861025,52.4872468,6.1166186,1.2501092,-0.33662772,0.26635265,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,3b630b01-4370-4a2d-a004-42b372f9c72a,1632650014890,13.4861025,52.4872468,6.1166186,-1.2724655,-3.470367,4.742715,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,ce7025ac-850d-4b48-8dea-47eb20b96b17,1632650014957,13.4861025,52.4872468,6.1166186,1.5933005,-0.06014347,-2.0756636,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,4467d5db-5b9c-4c1f-938f-f265b658793e,1632650015024,13.4861025,52.4872468,6.1166186,0.28199613,1.9464822,-2.607613,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,fc1dd5d5-bd93-44fe-845e-3cfdec3e03c0,1632650015091,13.4861025,52.4872468,6.1166186,-0.686576,-1.4493662,1.8500776,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,eef593fc-f09b-4805-829c-657762f6527b,1632650015157,13.4860166,52.4872218,5.2888784,0.64049506,1.1947002,2.172801,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,d101578a-b783-48f3-a0ac-4e196acaa670,1632650015224,13.4860166,52.4872218,5.2888784,-2.234098,1.9059267,2.505784,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,6add1f5b-f92a-4cb0-abcb-b68f49ab20ad,1632650015291,13.4860166,52.4872218,5.2888784,9.242935,5.908181,10.817682,on bike mount,cyclo cross,True,fine gravel,good
28e4481a-1399-4de9-8d32-e66f119757b4,5e4680ee-fc85-48be-a1cc-8f23e2c7c6ef,4b112fdc-5c26-4b5d-adf4-8d34f20ee894,1632650015357,13.4860166,52.4872218,5.2888784,-0.4896741,-8.432052,3.3033953,on bike mount,cyclo cross,True,fine gravel,good
