bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,7f1a7996-98cf-47f4-b921-487e3b84bee3,1632157842736,13.3943262,52.4744515,10.209956,2.2004328,-2.7622411,-3.111948,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,6394e66f-ef75-4260-b520-6cbf49fcbaeb,1632157842803,13.3943262,52.4744515,10.209956,-0.54019225,1.2872465,0.62660885,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,c36d703e-ab1f-4baf-a74c-6ffa0e0ba20d,1632157842870,13.3943262,52.4744515,10.209956,-1.4779606,-1.4521254,-1.4512763,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,24270f4c-3a44-4e86-8866-8c2952c774ea,1632157842919,13.3943262,52.4744515,10.209956,-1.2623714,-4.633935,1.5737839,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,b3fdd6de-47d4-418f-8c16-eab9883a8254,1632157842969,13.3943262,52.4744515,10.209956,-1.5384811,-1.5110831,1.9069729,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,a6389650-8e15-4922-b2b6-b76089a99e7e,1632157843020,13.3943262,52.4744515,10.209956,0.3017577,-5.7614145,-1.5510802,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,bc95cdfe-698c-4a0e-8beb-d3c0890281c7,1632157843086,13.3943262,52.4744515,10.209956,-2.4927871,-1.742377,2.4269714,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,082cb5f1-3e44-4c23-9f0b-23b4802c8dae,1632157843138,13.3943262,52.4744515,10.209956,1.7594186,-2.1811695,0.7463274,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,c7aaf26b-4674-4d66-80af-136b63b38f83,1632157843204,13.3943262,52.4744515,10.209956,1.9530447,2.926752,-8.046827,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,55062849-af4e-4e4b-8305-3e563f277d4d,1632157843271,13.3943262,52.4744515,10.209956,1.840928,1.4128313,-0.733963,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,00373525-a4b0-4b17-b743-98eb630c2c6c,1632157843338,13.3943262,52.4744515,10.209956,-0.81035364,-4.58924,0.4989643,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,38a5584d-daff-4f46-bf7e-6c67ac7ae806,1632157843404,13.3943262,52.4744515,10.209956,-3.2417607,-1.67966,5.926813,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,5f293549-dec5-447a-82bf-29eac06f9285,1632157843471,13.3943262,52.4744515,10.209956,4.8992248,-3.4369445,5.272439,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,87dcabdc-edef-4d9a-8822-612f3384c6ce,1632157843538,13.3943262,52.4744515,10.209956,-2.441592,1.8656726,5.000839,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,83a31d4c-bcbe-4a35-8e17-f44fa462aec1,1632157843605,13.3943262,52.4744515,10.209956,-0.22769529,5.0487046,1.2354469,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,3e8f83cc-03b1-4e56-a874-cd097a825dea,1632157843672,13.3943262,52.4744515,10.209956,0.50704974,-6.208411,-2.3794894,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,ecb75930-6013-4401-ab97-bc12e6a4813b,1632157843721,13.3944747,52.4744607,10.54853,0.3185792,4.6731434,7.7495937,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,bf44c9ac-3533-4d88-ba27-1b18f3c5351e,1632157843772,13.3944747,52.4744607,10.54853,-1.7217119,-0.4633882,-0.48837757,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,3dd4cbad-3a5f-4940-be60-ac701771f198,1632157843839,13.3944747,52.4744607,10.54853,0.09264227,-0.17863417,0.21480274,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,d0c25164-df30-4ac1-841e-fb734f316213,1632157843889,13.3944747,52.4744607,10.54853,2.920545,-6.1738353,-3.1584158,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,5dc96149-e619-4ea7-b9d8-ebcdc335827c,1632157843955,13.3944747,52.4744607,10.54853,-1.0991149,1.703263,4.645136,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,9a9a48e6-9e6c-4b02-8f15-5e71f5de38fa,1632157844023,13.3944747,52.4744607,10.54853,-1.9469727,3.6531944,-10.105892,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,db5160fb-45c5-4e52-b851-cf64a8d22f07,1632157844089,13.3944747,52.4744607,10.54853,0.18949975,-5.0687604,-6.380176,on bike mount,cyclo cross,True,asphalt,good
2fbff4eb-b095-4ca6-a48e-70377cf64f28,b95fa088-2034-4bec-abcb-e5f586d916d3,1b040be9-1b03-4af5-98cb-1cb6485ff988,1632157844155,13.3944747,52.4744607,10.54853,3.633396,-3.2774127,1.6416855,on bike mount,cyclo cross,True,asphalt,good
