bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,1d87b533-1aac-486c-8d5b-9d3e709620f7,1628436749386,13.4822846,52.4815401,7.4881487,-0.039549313,2.2125502,-1.5445728,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,25e10143-b5f8-47ea-9f5a-7c42a578804b,1628436749436,13.4822846,52.4815401,7.4881487,0.34379837,-1.2233657,-3.9679918,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,d9f5316c-b1e8-4050-b480-be9c72c5129f,1628436749487,13.4822846,52.4815401,7.4881487,-0.6666382,-0.1329894,1.1878719,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,f57d117d-8a43-4770-8b96-866ba39f9946,1628436749537,13.4822349,52.4815957,7.4078283,0.350048,-4.134416,0.14966774,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,80b320fd-8a7d-4662-babc-09d3baa02017,1628436749604,13.4822349,52.4815957,7.4078283,-0.71582794,2.0887022,2.3060665,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,67b50464-7b86-4e35-b6a8-eeccaebe96ba,1628436749653,13.4822349,52.4815957,7.4078283,2.047905,-3.684048,0.28546238,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,b86cf2de-d5b7-4d77-8e2d-b3cdeb5d8f75,1628436749704,13.4822349,52.4815957,7.4078283,1.0796323,3.7487416,3.8019247,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,3385f536-e598-4c44-9c5c-8938e9aa1f2c,1628436749754,13.4822349,52.4815957,7.4078283,1.1821673,0.7617438,-4.357173,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,2ca3332b-7aac-4a90-bd0f-deb972f6475b,1628436749821,13.4822349,52.4815957,7.4078283,1.0053376,1.0170362,-1.912682,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,2cfee8f6-90aa-450f-9c07-7d5f9f5c05bb,1628436749888,13.4822349,52.4815957,7.4078283,0.39203513,1.5926847,6.475915,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,253bace9-0ce7-4b3b-91a8-e802178e3d0a,1628436749938,13.4822349,52.4815957,7.4078283,3.880664,2.6599145,-2.6694498,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,e2572a2d-58ac-47b5-bdec-e2b84a208483,1628436750004,13.4822349,52.4815957,7.4078283,-1.5568045,-0.63314104,-2.3329725,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,8aa2f931-043b-42c2-a13d-74b7c12a9e6b,1628436750071,13.4822349,52.4815957,7.4078283,1.0790634,3.6485267,0.090382576,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,a6b6f586-de16-4245-874e-4484a39ec529,1628436750138,13.4822349,52.4815957,7.4078283,1.9136362,-3.1673176,-3.146585,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,6ace4c86-d0ba-4c3a-be67-e058d01fa1bb,1628436750204,13.4822349,52.4815957,7.4078283,0.76075304,-0.8930706,1.906908,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,e7b2fe45-5fc0-488f-9d3f-ca1b87396b20,1628436750255,13.4822349,52.4815957,7.4078283,0.665903,2.181827,-7.835682,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,a0ebd89f-635e-4b33-beae-f48d1c6d79df,1628436750305,13.4822349,52.4815957,7.4078283,1.8351343,-0.06881356,2.602932,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,3d258347-6daa-4dc8-b194-4e464b1d24af,1628436750355,13.4822349,52.4815957,7.4078283,0.016410232,0.8830633,-5.659054,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,a9bfb7d7-84e0-401b-9d86-d056cce0ce87,1628436750421,13.4822349,52.4815957,7.4078283,2.1335933,2.3011441,-4.441062,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,149a0ed7-6ce0-431f-8272-233e5f3eb03d,1628436750471,13.4822349,52.4815957,7.4078283,-0.7377472,-5.6720133,0.19457817,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,9f1512f0-bdf1-40e6-af4d-186b9df59376,1628436750522,13.4822349,52.4815957,7.4078283,0.20570856,-0.97949386,-0.38644695,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,e2e30e8b-8c10-4fda-88aa-23df8e7d99a0,1628436750588,13.4821895,52.4816531,7.37343,1.2003242,-0.100223064,9.458715,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,db365706-da8b-4060-9858-3d9794b5a216,1628436750638,13.4821895,52.4816531,7.37343,1.5757457,5.763445,-20.008327,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,4ecfda17-f6d7-4298-ba99-972e5cd24705,1628436750705,13.4821895,52.4816531,7.37343,5.8340926,-16.118095,0.773119,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,0155dd13-4049-4b89-810b-8230028f6147,1628436750755,13.4821895,52.4816531,7.37343,2.654623,4.5169067,-9.71886,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,a7d60194-6c2f-4f94-9bee-bbf188270325,1628436750805,13.4821895,52.4816531,7.37343,-4.0343695,-3.6997056,-3.7678618,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,dd6bd9d6-ed85-412e-9115-6e738655e5ae,1628436750856,13.4821895,52.4816531,7.37343,0.67541504,-3.14567,1.5176449,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,f9d6d1b7-0936-4786-9327-86d7edbb28c9,1628436750922,13.4821895,52.4816531,7.37343,-0.85274935,-5.9740553,-6.295478,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,c8e39e1c-fac0-4ef0-8536-6b3146a98644,1628436750973,13.4821895,52.4816531,7.37343,0.8033953,-2.3439634,3.7992887,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,7326ce17-a57b-40c5-aa47-7d6a08ecc3fa,1628436751039,13.4821895,52.4816531,7.37343,-0.5102873,-1.3200951,2.1331692,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,9ace1444-d250-451e-921c-fc429f2d7493,1628436751106,13.4821895,52.4816531,7.37343,5.2524014,-1.5242788,-0.41427135,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,646dbf62-d4f6-42a6-bbe0-eb99024ceff7,1628436751173,13.4821895,52.4816531,7.37343,-1.8421733,4.4435973,1.2841854,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,1e5f55c7-097d-4e5e-aa28-6d427936c7be,1628436751239,13.4821895,52.4816531,7.37343,1.0229537,-10.298555,8.988783,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,178212a5-ead2-4198-8de0-11a3311628b4,1628436751289,13.4821895,52.4816531,7.37343,-2.4775124,-5.6296797,-0.103793144,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,bb1c3000-02b2-4385-9a64-fee258318247,1628436751340,13.4821895,52.4816531,7.37343,-0.53970623,3.200572,4.1704664,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,5e2f3562-0882-42b5-bc50-f52ff9b033f0,1628436751407,13.4821895,52.4816531,7.37343,-1.1169977,0.8923254,5.970829,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,0a057c52-0c52-44c1-b78a-03c4dd867880,1628436751457,13.4821895,52.4816531,7.37343,0.37288332,1.9656162,-2.1598501,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,bc9d68ec-0511-446f-886a-19530775609c,1628436751506,13.4821895,52.4816531,7.37343,-0.9777323,1.275887,3.2164783,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,cc8cc6b1-ea8b-43d2-8d06-4ef5eff41f6a,1628436751557,13.4821597,52.4817112,7.2070103,-0.6546398,-2.9929385,-10.271566,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,333556bf-1c3d-4ce0-9a80-f45b13e18938,1628436751623,13.4821597,52.4817112,7.2070103,-2.0677276,-5.296317,-2.2150054,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,56b3809f-fb59-4da7-a424-9a339756ed06,1628436751673,13.4821597,52.4817112,7.2070103,-0.6463936,2.0801654,-0.624526,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,8fe38344-66df-44b5-9c1f-c447ce46e002,1628436751723,13.4821597,52.4817112,7.2070103,-1.6561065,0.874254,-1.168714,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,e35d8626-37f6-4cdc-988b-53a8e36a222b,1628436751773,13.4821597,52.4817112,7.2070103,-0.84655976,4.0387726,1.3385344,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,92c24367-ee80-4c17-bd32-6bc476d55bf7,1628436751823,13.4821597,52.4817112,7.2070103,-0.030873656,1.6248233,-3.149581,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,22570e80-1621-411d-b303-cb1cf1006625,1628436751874,13.4821597,52.4817112,7.2070103,-2.2046213,-1.1130078,8.083294,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,8c36fcf3-4ce8-4cfd-8529-d286b842de74,1628436751940,13.4821597,52.4817112,7.2070103,1.7893617,5.964058,0.8432989,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,beb2d748-e442-485d-8a5c-6b723d41c886,1628436751991,13.4821597,52.4817112,7.2070103,-2.1280806,-0.94204307,3.0169697,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,ffee2b9d-de6d-4937-ae98-5506ec4ac68e,1628436752041,13.4821597,52.4817112,7.2070103,-0.6065148,-1.1960578,-7.097387,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,4a253088-2ee5-42e2-80dd-d9c78709f26c,1628436752091,13.4821597,52.4817112,7.2070103,-1.9766053,-4.5829725,7.242668,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,19d699a1-82b3-4d14-95dd-84350af82220,1628436752141,13.4821597,52.4817112,7.2070103,0.808321,3.939025,-1.2854004,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,dacc11dd-8e86-4ca0-9482-4e8da9b52494,1628436752208,13.4821597,52.4817112,7.2070103,-0.3252579,2.845673,1.2733965,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,ddb862d6-3b75-446c-875c-e00d9ae08a28,1628436752258,13.4821597,52.4817112,7.2070103,-0.72098136,1.7948174,0.1925993,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,4e57c487-d967-4f9d-9cc7-cd2e9ab37e29,1628436752308,13.4821597,52.4817112,7.2070103,-1.1825409,1.6286507,0.14315033,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,2910465d-bc90-4dc5-b43a-fa09063e8b73,1628436752375,13.4821597,52.4817112,7.2070103,-0.5413674,-1.3045226,0.4545784,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,3342ae4f-79ce-43a1-9ff2-d501c7b0e86a,1628436752441,13.4821597,52.4817112,7.2070103,-1.3118334,1.595202,-2.7781591,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,0d614931-ffc6-4883-8bbe-69f30bf12071,1628436752491,13.4821597,52.4817112,7.2070103,-1.5648971,5.3288984,-1.9375691,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,bfc9b5f7-393f-44be-a969-a40ae6e00692,1628436752545,13.4821228,52.4817695,7.1733394,4.7223864,-8.313314,3.3160229,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,615712b6-7452-4992-98ed-fd3562e6e5eb,1628436752608,13.4821228,52.4817695,7.1733394,-3.288669,5.680413,-2.5567656,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,890bff89-6b2e-45aa-8672-4afca3f93631,1628436752675,13.4821228,52.4817695,7.1733394,0.6641,5.32269,0.7342205,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,8f6ad5da-14ea-4485-a153-48b34477f9a4,1628436752742,13.4821228,52.4817695,7.1733394,0.09359163,-0.5027311,4.064822,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,42da60e2-206c-4933-805a-caf55f337355,1628436752792,13.4821228,52.4817695,7.1733394,0.31278738,-4.9227753,0.099699974,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,360affb3-8ebd-42cd-a7ea-0090453faf0b,1628436752842,13.4821228,52.4817695,7.1733394,-1.3516093,-2.673792,0.0154390335,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,fba5fd4e-af16-4cad-8b15-a930c366467e,1628436752892,13.4821228,52.4817695,7.1733394,-0.26981437,-0.47180796,1.5065298,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,39fcc348-05fd-4b7b-b096-26567b5e61f3,1628436752959,13.4821228,52.4817695,7.1733394,-1.5360333,8.233013,-1.7138929,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,04d232b0-f1be-4dca-8b3d-28c192fcfbb7,1628436753025,13.4821228,52.4817695,7.1733394,-2.058237,-0.043727636,0.7478657,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,509e156e-f236-4499-994a-e523137086b9,1628436753076,13.4821228,52.4817695,7.1733394,-1.7002324,1.797349,-1.8339691,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,fc33435a-67b1-48e8-b5c2-0a477c725f97,1628436753126,13.4821228,52.4817695,7.1733394,1.061168,-3.7759511,7.8666496,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,7ab51efd-f1d8-4946-8a03-954608db5256,1628436753193,13.4821228,52.4817695,7.1733394,0.33139154,-0.106601715,-1.7766728,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,cefbba9f-1369-4640-8262-a9bf220bf322,1628436753243,13.4821228,52.4817695,7.1733394,0.18767837,-3.4431188,5.71076,on bike mount,cyclo cross,False,paving stones,good
38b48263-c6bc-40fc-9e01-e07946a4a1d6,a04a08e0-c924-4f48-9473-96bb87949908,75d69dbd-a989-4da7-8431-e597dfae8880,1628436753293,13.4821228,52.4817695,7.1733394,0.25331983,-2.4167814,-6.2087717,on bike mount,cyclo cross,False,paving stones,good
