bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,e571e90f-be05-46b1-8eb8-dc9d762a6070,1633937717853,13.4355059,52.4940921,5.536852,-3.1068163,8.45077,-19.870668,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,dc546f04-f803-4684-8162-3f92c1ba0a8d,1633937717903,13.4355059,52.4940921,5.536852,-10.409876,-2.4661283,-7.3495197,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,d5a85c64-0145-4799-80e9-33e3b522af84,1633937717953,13.4355059,52.4940921,5.536852,-2.9106984,-29.499424,8.540833,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,820a598a-7323-4042-b8e7-8472b0657497,1633937718003,13.4355059,52.4940921,5.536852,-3.3837366,11.144018,-13.613125,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,42640444-f7e2-4c2f-acef-68092047f5ae,1633937718053,13.4355059,52.4940921,5.536852,-0.29240048,17.388813,31.92376,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,9d1b36e5-d4d7-4b2a-a744-b8f47a907621,1633937718104,13.4354292,52.4941058,5.511668,1.9821303,-15.311153,-6.923262,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,a07011c3-e51b-4b10-8f7d-bc9773fb3051,1633937718154,13.4354292,52.4941058,5.511668,5.2445316,-7.91341,3.0084047,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,d6dd3be9-5eb0-4e31-be24-05cfc803e496,1633937718220,13.4354292,52.4941058,5.511668,-5.945546,28.767366,-5.4484024,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,279f9737-016a-47ab-b01a-5f8e0befe8f6,1633937718270,13.4354292,52.4941058,5.511668,5.1326814,-3.411327,-6.8016157,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,3f6f26f7-4dfc-4149-9e0f-5eccbd25de11,1633937718320,13.4354292,52.4941058,5.511668,-3.392631,-3.34542,-1.3556895,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,b61f4294-6256-4125-be6d-9f3bcace6b61,1633937718370,13.4354292,52.4941058,5.511668,-0.9051211,-4.547386,-14.66036,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,f7073b06-1083-4da6-a9de-a70ab403c930,1633937718420,13.4354292,52.4941058,5.511668,-0.85065997,14.138615,-18.04935,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,8abf9129-f957-4b02-aa4c-1211bda45920,1633937718472,13.4354292,52.4941058,5.511668,-2.0674891,7.962384,22.050709,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,5b3ee433-a941-4617-bb4d-bb0667b9bea3,1633937718522,13.4354292,52.4941058,5.511668,4.8719172,-13.083845,7.4941254,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,87928003-ef6f-45ad-bfbf-bc7d2669a80b,1633937718588,13.4354292,52.4941058,5.511668,-2.6895795,15.679169,17.126041,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,ea8776eb-3e2a-4aff-bde1-725fd4aefb91,1633937718639,13.4354292,52.4941058,5.511668,7.0317345,-0.7752142,31.868933,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,8ad2972e-d5c0-4799-b061-77529008df1e,1633937718689,13.4354292,52.4941058,5.511668,-1.1717926,-1.678962,-28.864296,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,310f5a5e-6fd3-4a19-9c9f-ba6a776ee2a9,1633937718739,13.4354292,52.4941058,5.511668,3.795613,6.460746,-27.87372,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,b467b051-26ea-42e5-bd4b-336aff25014a,1633937718789,13.4354292,52.4941058,5.511668,-0.39041543,-7.115905,-14.141829,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,d57ff54f-d102-482f-bfac-210c541fdea4,1633937718839,13.4354292,52.4941058,5.511668,-3.6300738,-12.810169,18.51912,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,4ac35af4-8ed5-4c1e-85c5-a9424766f97b,1633937718889,13.4354292,52.4941058,5.511668,0.30414915,-2.1997938,4.9558697,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,2208e2f4-1566-4a11-ba4c-53842745f203,1633937718940,13.4354292,52.4941058,5.511668,-2.666815,15.866186,1.3666921,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,f88801ad-c15b-445d-b2cb-f228bd9da56e,1633937718990,13.4354292,52.4941058,5.511668,6.474133,15.190632,21.98274,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,e79bf55a-f437-42fa-9c4f-cdd44d279bdd,1633937719041,13.4354292,52.4941058,5.511668,0.041552305,2.2719464,-7.126734,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,ef7c9f61-9b13-413e-a5a6-bc2e1b775226,1633937719107,13.435355,52.4941189,5.120944,12.656022,-31.68069,22.45255,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,dbf60230-1a53-4a5b-9241-28c1ecadcdd3,1633937719157,13.435355,52.4941189,5.120944,0.8535388,-11.883497,15.752024,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,649d4590-aedf-43a5-9a54-9b3a97efab49,1633937719224,13.435355,52.4941189,5.120944,-0.09355548,-1.3912928,20.859962,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,c0117f41-827d-4447-a3f2-9f62c6158084,1633937719274,13.435355,52.4941189,5.120944,-5.4998083,23.157974,46.876305,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,efaa9656-5bb4-48a9-a69b-6bbce8491c7c,1633937719324,13.435355,52.4941189,5.120944,-0.21499616,-17.021683,-15.858471,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,e46c25f6-e0c3-4188-a68f-fc54bcf8b020,1633937719376,13.435355,52.4941189,5.120944,-5.3508453,10.646592,-34.844406,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,80d2e1bd-1455-468a-9a88-6fa2482d0e60,1633937719441,13.435355,52.4941189,5.120944,-2.182707,-19.523802,-5.749208,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,c1731e7f-74bc-47ca-9f9a-280e0041a3df,1633937719507,13.435355,52.4941189,5.120944,2.5741107,5.5147934,-10.172088,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,33545249-1de2-4195-9849-d95e00caf2fb,1633937719557,13.435355,52.4941189,5.120944,2.8451023,42.05426,-11.791329,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,b8c21a9f-c2f9-4c82-a679-f412b650dfb8,1633937719607,13.435355,52.4941189,5.120944,-2.416269,6.8765574,25.022543,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,ea45e3c8-b05c-41dd-a5bb-b7f76db03e17,1633937719657,13.435355,52.4941189,5.120944,0.84458244,21.556189,16.684708,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,293d975f-db75-4f8b-817c-5cf94a1a7d9e,1633937719707,13.435355,52.4941189,5.120944,2.3031445,3.3787384,-0.36188507,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,c6c1581c-786a-44f7-a61f-125be67b6882,1633937719759,13.435355,52.4941189,5.120944,4.8252554,22.29395,30.481033,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,6f2e81aa-77ba-4864-9aa7-6dc09377adf0,1633937719826,13.435355,52.4941189,5.120944,-0.0838978,-5.676957,-29.584415,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,1c9a7cac-b17f-4e2f-8fe0-cc873b13cfb8,1633937719892,13.435355,52.4941189,5.120944,3.574173,3.7485046,-15.459816,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,ed774321-70f5-45cc-aaa7-97a4840c72de,1633937719943,13.435355,52.4941189,5.120944,3.113418,14.06045,-4.2009525,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,a17c3002-bf04-471b-acf3-46c0da85714c,1633937719993,13.435355,52.4941189,5.120944,-2.724331,-26.066921,4.9754677,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,68b8f637-024d-4e8d-8fd1-4fa14e85815e,1633937720043,13.435355,52.4941189,5.120944,6.2738123,28.8327,14.491879,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,89fa35fa-04cf-4299-8f67-dd9671484944,1633937720093,13.435272,52.4941461,6.25985,1.7952509,-4.9551415,15.819204,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,f402af29-a47f-43fa-a094-be950fb92173,1633937720143,13.435272,52.4941461,6.25985,3.0130472,1.7361498,-3.6039186,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,91566a87-625d-4ab4-b08f-c3c96aa9fdcb,1633937720193,13.435272,52.4941461,6.25985,1.9313805,-3.9795492,-27.863998,on bike mount,cyclo cross,True,sett,intermediate
3bb46e8f-7d1d-42e8-b0ef-2519a6edda87,2f7c326b-3338-4d28-9779-96c373831189,8f866fe6-1eb6-49a3-822a-04bf808690d2,1633937720244,13.435272,52.4941461,6.25985,-0.8662834,3.6386495,-12.86388,on bike mount,cyclo cross,True,sett,intermediate
