bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,c9a89f2e-ae9e-4781-9d83-1b400ffb9d1e,1626018434374,13.4200304,52.4962722,0.10347248,-0.029706001,-0.043043137,0.051156044,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,9fd24fae-2270-42ee-9e78-294d66b0f83f,1626018434424,13.4200304,52.4962722,0.10347248,-0.10143137,0.012090206,0.0038381815,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,701a3ab8-1d83-4884-8c89-35031f824e51,1626018434475,13.4200304,52.4962722,0.10347248,-0.0076084137,0.005672455,-0.02561003,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,a4b9d914-7b8c-4088-aaa0-cccd1291c9d0,1626018434525,13.4200304,52.4962722,0.10347248,-0.0009737015,0.013636589,0.03591788,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,80ec54c7-5485-4b8f-8276-1ecc17fdbe9b,1626018434575,13.4200304,52.4962722,0.10347248,-0.0012159348,0.0716095,0.05838281,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,50685df5-6c79-4c22-acab-278d98a95ced,1626018434625,13.4200304,52.4962722,0.10347248,-0.071700096,0.09229517,-0.036438882,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,b2fe8ac1-ed5a-47c5-b7ac-485b20abbd56,1626018434676,13.4200304,52.4962722,0.10347248,-0.032231808,0.13996649,0.075570345,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,3f5bc691-185a-480d-9ac5-3f563445c60b,1626018434725,13.4200304,52.4962722,0.10347248,-0.17889404,0.063785076,-0.0061273873,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,fc3565ef-895e-451e-95e6-2916989b6e79,1626018434776,13.4200304,52.4962722,0.10347248,-0.11098957,-0.04397154,0.21985424,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,a755a58e-c6ba-4c9f-9e62-acb3dca472f5,1626018434826,13.4200304,52.4962722,0.10347248,-0.09219074,-0.018819332,0.14868385,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,f0cd5bd0-818b-4ba9-b07b-21aa5fdcc049,1626018434875,13.4200304,52.4962722,0.10347248,0.034781456,-0.02700901,-0.008645594,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,a4bf3292-287f-48cf-a211-a2d0d637c89c,1626018434926,13.4200528,52.4962675,0.8895762,0.084896564,0.061513424,-0.34528613,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,0c4a0e36-c6e2-4fd7-9fcd-ea68bdae13cc,1626018434976,13.4200528,52.4962675,0.8895762,0.13843393,0.19727945,-0.20870757,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,8ab510f0-ade7-4368-b398-aca574c03234,1626018435027,13.4200528,52.4962675,0.8895762,0.02489233,-0.15882874,-0.15359333,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,27349c58-ae5d-45b2-bde3-15e7bbcf1755,1626018435078,13.4200528,52.4962675,0.8895762,-0.029581547,0.081576824,0.103300124,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,92a6a7cf-c525-48f8-9f2b-df0d0888b067,1626018435128,13.4200528,52.4962675,0.8895762,-0.1906972,0.0016942024,-0.0707477,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,b6aae888-1703-48e4-a515-c64e159815aa,1626018435179,13.4200528,52.4962675,0.8895762,-0.110254765,-0.15988207,-0.007512659,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,d49a7999-7fab-424c-af0c-62b6b64d33ae,1626018435229,13.4200528,52.4962675,0.8895762,-0.032865524,-0.05463314,0.040115684,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,ecf2185b-64dd-43dc-b0a6-1308259025df,1626018435279,13.4200528,52.4962675,0.8895762,0.02637291,0.02475977,0.013386309,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,1144a364-bbe9-4a0c-88db-e5c887b07dbe,1626018435330,13.4200528,52.4962675,0.8895762,0.1121583,0.13736677,0.2512957,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,5bd594ef-3e9c-4984-b45b-1be5a379d4cc,1626018435380,13.4200528,52.4962675,0.8895762,-0.019870758,-0.08793974,0.08620834,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,85141d9a-a1a6-434f-96cb-2e2047146bd8,1626018435430,13.4200528,52.4962675,0.8895762,-0.007165432,0.069139004,0.13639414,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,79b8ff93-4960-478c-9302-4711a459c814,1626018435480,13.4200528,52.4962675,0.8895762,0.060244083,-0.018014431,0.1576932,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,4779c0f6-ec89-4de3-8114-61e134242f9e,1626018435530,13.4200528,52.4962675,0.8895762,0.008201599,0.020824432,0.14510041,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,0370dbc5-4847-4e0b-913e-45f589a55299,d5e09cdf-5dae-4d3a-ab87-bf116d272dfc,1626018435579,13.4200528,52.4962675,0.8895762,0.07210302,0.005706787,0.012494743,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,4152a983-66e7-4a13-a755-b5d272027f88,d4ec2664-7432-490d-a560-7a9e40b5bc54,1626018431944,13.4200025,52.4962869,0.0074927956,-0.2786827,0.01129055,0.093406916,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,4152a983-66e7-4a13-a755-b5d272027f88,6f43265e-bdfc-4fa8-acc2-171f6e0d45db,1626018431995,13.4200088,52.4962859,0.0042237104,0.855824,0.8520665,-0.46864778,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,4152a983-66e7-4a13-a755-b5d272027f88,271402fc-b6ad-46fd-9b61-9985e86af4db,1626018432044,13.4200088,52.4962859,0.0042237104,-0.3016243,-0.35740948,-0.34294972,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,4152a983-66e7-4a13-a755-b5d272027f88,a8f62bc4-9e7a-4807-a2e0-66c49be75f7a,1626018432165,13.4200088,52.4962859,0.0042237104,-0.3016243,-0.35740948,-0.34294972,in backpack,cyclo cross,False,mixed,mixed
3e85a4d9-b7a7-47ef-b901-d8b355d1a83b,4152a983-66e7-4a13-a755-b5d272027f88,e525856b-6a74-4eb4-b302-98da7edc9f10,1626018432216,13.4200088,52.4962859,0.0042237104,0.07111597,-0.056518555,0.61016905,in backpack,cyclo cross,False,mixed,mixed
