bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,9b928b1c-8fc5-48ea-820f-a8c040c2bde8,1644076785022,13.4348798,52.4942294,5.434625,3.0551,0.014213085,5.58319,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,7cd6541b-7e68-4a50-899c-6d4b7b72f714,1644076785078,13.4348798,52.4942294,5.434625,1.4404854,4.068993,-9.341704,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,8862a1ec-4ef0-4d82-9423-d32d6c020d7d,1644076785134,13.4348798,52.4942294,5.434625,0.7788504,1.0114961,2.2465286,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,0c9cbb36-de38-4c64-bce0-b4ed530f86cf,1644076785190,13.4348798,52.4942294,5.434625,0.24286908,4.3128815,0.7313099,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,92276eaa-42d8-4396-b949-6d009389a3c4,1644076785245,13.4348798,52.4942294,5.434625,-1.094041,3.3081884,-4.220062,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,385eb0ff-d30d-4c4e-92b5-2b59bc0dc6b6,1644076785300,13.4348798,52.4942294,5.434625,0.36140347,-2.2112346,-3.66699,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,48941344-16ba-46f5-9d5a-07055a22c8ff,1644076785356,13.4348798,52.4942294,5.434625,0.47801661,1.3742187,6.72719,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,d54a43d0-4f33-4284-b252-7a6d75803d60,1644076785412,13.4348798,52.4942294,5.434625,0.41162843,-0.7942703,6.358,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,61d50d1b-a027-4b44-9c20-85ad3e442bec,1644076785467,13.4348798,52.4942294,5.434625,2.8803692,-11.493992,0.04140663,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,3e290e0c-5fbc-441d-beb8-ef9581a2daa2,1644076785523,13.4348798,52.4942294,5.434625,-1.0023956,-5.797242,7.6761303,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,9d4afa02-42dc-4941-814e-86c3a2f7a06b,1644076785579,13.4347917,52.4942509,5.462706,-0.61915576,-0.5674877,6.248005,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,dcac518e-83ca-4c71-b9a3-d1d54fb10cd6,1644076785634,13.4347917,52.4942509,5.462706,-1.3976774,-0.9528332,-2.3777766,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,77a92c57-67b0-4a8b-b151-7b058d4f9425,1644076785690,13.4347917,52.4942509,5.462706,-0.7383188,-4.553586,-6.1368217,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,a72a86fb-2f84-4851-95a4-c3b79579ea9c,1644076785744,13.4347917,52.4942509,5.462706,-2.5953722,-1.0747597,-3.2539272,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,81d30ec1-6ed1-4f1c-aa35-82084f491751,1644076785800,13.4347917,52.4942509,5.462706,-0.48687035,-1.8487476,-0.54531956,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,129145d4-cb95-4d53-9215-9528eda1e70d,1644076785856,13.4347917,52.4942509,5.462706,-2.1973286,-6.6325097,1.6802378,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,41b95005-fa52-4f94-9853-9fbafe344922,1644076785912,13.4347917,52.4942509,5.462706,-0.14517581,-7.5842915,5.9184437,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,f7ba8130-756e-42cf-90c0-a678408100d5,1644076785968,13.4347917,52.4942509,5.462706,2.894999,-4.2015247,0.541584,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,179523bc-29d0-4779-bbf5-cb78a9b7a3ad,1644076786023,13.4347917,52.4942509,5.462706,0.63958067,0.02943945,2.1762018,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,00040473-27df-45ea-8718-108ddf8f2d5c,1644076786078,13.4347917,52.4942509,5.462706,-2.7924423,-4.481127,2.6092157,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,0c276e4a-a55a-415b-a237-72e36de8ec50,1644076786139,13.4347917,52.4942509,5.462706,-1.400031,-2.4412684,-0.7402859,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,73d51e4c-72d6-424a-8ae7-3c858a44bff5,1644076786189,13.4347917,52.4942509,5.462706,0.8349533,1.6199436,5.268099,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,b1831213-733a-4692-adb2-b12af766842b,1644076786244,13.4347917,52.4942509,5.462706,0.33850092,5.2238216,-14.839674,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,d4612cee-890a-4299-a4d4-c67ada36e32e,1644076786301,13.4347917,52.4942509,5.462706,1.3589156,-8.293436,20.326044,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,e615a177-e570-44cb-be8a-6b9ef3168cf2,1644076786356,13.4347917,52.4942509,5.462706,-0.7304921,-8.970786,0.8785715,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,cdc645d2-181f-4c26-a56d-70fab845a48d,1644076786411,13.4347917,52.4942509,5.462706,-1.4269321,-10.504072,2.2445374,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,f7a381bc-276c-4edc-8e97-387a2ca99985,1644076786467,13.4347917,52.4942509,5.462706,3.0944495,4.1398325,5.7090635,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,fae047d1-f659-49e9-8ee5-819ba0c51be2,1644076786522,13.4347917,52.4942509,5.462706,-0.0027551213,-11.50975,2.1606522,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,504ac5ce-314b-40b9-a81f-1595be2a8d37,1644076786578,13.4347067,52.4942699,5.299958,1.0011742,-4.5278196,5.677639,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,bdff3fc1-dc21-4840-9eae-1f306af4842b,1644076786633,13.4347067,52.4942699,5.299958,2.7463405,-10.207768,20.869429,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,c7e8b2aa-f713-4133-9bfa-b362944afed8,1644076786688,13.4347067,52.4942699,5.299958,1.9671268,-2.4342232,7.4155607,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,47b0fb0d-ec84-423b-805f-5c3d7dcf54b1,1644076786745,13.4347067,52.4942699,5.299958,0.17667356,3.271893,-0.35358524,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,5bf85151-fbd6-494f-bd97-ef6b98b1f4fc,1644076786801,13.4347067,52.4942699,5.299958,1.4147856,1.1659708,0.798996,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,e304f69d-60ce-4f55-b2d1-f00d58fb2804,1644076786856,13.4347067,52.4942699,5.299958,1.5155911,1.2887487,6.9120684,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,4608927e-54c3-4a3f-914b-381f5365d881,3c749a33-67ce-4b2b-86ac-2979629e1ca3,1644076786910,13.4347067,52.4942699,5.299958,-2.326747,-0.5196848,3.2007027,on bike mount,cyclo cross,True,sett,intermediate
