bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,c5fa12ab-49f5-4a58-b8c5-8837cd9ca8a6,1636123787617,13.4162712,52.4912614,3.5794365,2.1202013,-4.8653526,5.587281,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,f4c39420-33a4-4ec9-93c9-48961fe0e15c,1636123787683,13.4162712,52.4912614,3.5794365,-0.19033566,-0.65560627,-0.2777233,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,58c388eb-01fd-4464-b895-493192bef00d,1636123787734,13.4162621,52.4912508,3.6309414,0.13943264,-1.8678737,0.5316076,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,e9b74e92-9149-4454-bda5-ed55014ce5d9,1636123787801,13.4162621,52.4912508,3.6309414,0.027722329,-2.06231,2.8136654,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,31593cfd-3807-4ac0-b2c9-14c936abc91d,1636123787867,13.4162621,52.4912508,3.6309414,-0.30759865,-2.2442431,1.1072731,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,ae1eb039-8e91-4dc9-a6e6-0093f9840ab8,1636123787918,13.4162621,52.4912508,3.6309414,1.465171,-3.7746596,0.6577482,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,36afff56-5728-468a-b9b1-97c2aed80114,1636123787984,13.4162621,52.4912508,3.6309414,-1.6850743,0.7912879,-1.1111422,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,7c66ee13-e2d9-4f16-8f21-7cb09cda04cb,1636123788035,13.4162621,52.4912508,3.6309414,0.7861916,-0.9028876,-0.77492714,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,c13ddc0d-5a04-40bf-ad1c-8742b5280feb,1636123788101,13.4162621,52.4912508,3.6309414,0.036867544,-5.7305727,2.2411003,on bike mount,cyclo cross,False,sett,intermediate
4be3ba51-d31b-4a42-8e29-fdbe645ffa7e,76e07612-f81b-423b-a7a3-fc521dd5846f,0eb45ad6-23a2-4073-b1d1-0d0a07846859,1636123788151,13.4162621,52.4912508,3.6309414,-0.37701058,0.9060421,1.5396957,on bike mount,cyclo cross,False,sett,intermediate
