bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,b7cf5681-025a-438f-8fd8-184eafbdafac,1633153582420,13.4399721,52.492801,5.1934323,-2.1200883,-26.035236,18.826408,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,b3df76a9-c67b-4d80-a5f6-80b882a5dff9,1633153582486,13.4399721,52.492801,5.1934323,-7.098217,-34.7285,-8.096681,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,ba4160ee-32ef-49c3-90f9-612d76d4ff52,1633153582537,13.4399721,52.492801,5.1934323,-23.840765,29.36877,-13.946808,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,8144ca86-f8be-48ee-8b0b-69d745b7779a,1633153582603,13.4399721,52.492801,5.1934323,5.593055,12.937393,-4.5743504,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,c0920b3d-b3d5-4cd2-94ce-d9ee8ef63df0,1633153582670,13.4400477,52.4927797,5.2382784,-4.1978016,19.842047,-5.536297,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,dfdc1bb4-eed5-4753-b24b-2061fe733d2f,1633153582737,13.4400477,52.4927797,5.2382784,7.0067945,-28.539814,12.135174,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,5169cade-99cc-449a-b7dc-b771bae270ce,1633153582804,13.4400477,52.4927797,5.2382784,-9.127932,7.101369,1.3403959,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,61015b59-73ba-4316-9a98-06dc945bc617,1633153582853,13.4400477,52.4927797,5.2382784,-7.472734,19.91325,1.6556702,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,47333223-3f86-4295-8459-aff99e1c87d2,1633153582904,13.4400477,52.4927797,5.2382784,-2.6986942,5.589901,1.5196028,on bike mount,cyclo cross,True,sett,intermediate
5498723f-e9db-4ceb-87f2-261fce45fb13,82050298-210f-463a-85f9-85b301b6ecdc,e6a1809a-34a4-4091-85eb-9a77f1479401,1633153582971,13.4400477,52.4927797,5.2382784,-4.963743,-39.50302,-15.451843,on bike mount,cyclo cross,True,sett,intermediate
