bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,ddcc7705-4bb9-4742-b65f-beb16079b0f8,1633333708097,13.3897275,52.47439,6.3825316,1.8406078,0.5707035,-1.63832,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,33cd0b1c-8edd-4733-b314-e461951bdec0,1633333708148,13.3897275,52.47439,6.3825316,-1.576729,-4.724843,2.6755638,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,a3043b80-96ec-4bd3-9c5e-d61d63fc6cf9,1633333708199,13.3897298,52.4743338,6.3593335,0.5643399,2.3708558,0.04855728,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,843a124b-bda1-4ff2-9297-cd39631d9132,1633333708249,13.3897298,52.4743338,6.3593335,2.7256682,0.34577537,0.13576508,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,a4d4ee04-3dcc-4a7c-a9b7-397f623e6eb3,1633333708299,13.3897298,52.4743338,6.3593335,0.4383492,-7.1679335,6.112816,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,4bc6c534-6395-4553-ad32-a5aec3de3b8b,1633333708348,13.3897298,52.4743338,6.3593335,2.144157,-2.6484315,-0.7779894,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,706dafdb-f838-44c5-9a4e-c4104e7143f7,1633333708399,13.3897298,52.4743338,6.3593335,0.40731817,2.1336393,-1.2244477,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,ff15d357-a1fd-44be-9db1-5cc1fa86dc8a,1633333708450,13.3897298,52.4743338,6.3593335,2.2090895,2.00168,-1.8793569,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,a4d54077-9b91-48a7-80ac-e91c0a06441c,1633333708516,13.3897298,52.4743338,6.3593335,0.6655191,-2.2903266,0.46836567,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,8375b388-00d4-4bc2-afad-776cfd99ec83,1633333708567,13.3897298,52.4743338,6.3593335,-2.3201067,-2.5553205,2.6420393,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,90d0d885-f238-49ab-8dc3-8f0f6c07aa06,1633333708617,13.3897298,52.4743338,6.3593335,-0.27250355,-1.004971,0.6640959,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,c792df14-20e8-4f4a-86af-12327158b6e1,1633333708682,13.3897298,52.4743338,6.3593335,1.8937371,0.46892095,-0.1733408,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,5bbbded6-868c-49f1-a7a4-c06b1d2a6063,1633333708733,13.3897298,52.4743338,6.3593335,-1.2550778,-3.8645914,-0.21032143,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,f42c316b-4ffe-4aee-b6a4-20012f8eab58,1633333708784,13.3897298,52.4743338,6.3593335,-0.7569119,3.1115065,2.1415052,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,71586f13-7bee-4041-abc0-7e883448b3fd,1633333708851,13.3897298,52.4743338,6.3593335,1.6532768,-2.3487325,4.1440277,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,789cdaaa-b215-4746-b186-a84cbbd72782,1633333708917,13.3897298,52.4743338,6.3593335,-1.0899422,3.8864503,2.6425228,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,426c4e49-710e-4405-a180-b5705b13a51d,0b8b8b9f-ca3f-4b84-9a3c-d4428c009f26,1633333708966,13.3897298,52.4743338,6.3593335,-1.1123757,-3.9576898,1.5637379,on bike mount,cyclo cross,True,concrete plates,good
