bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,96b07b17-9624-4422-957d-635861bb81ea,1633162310200,13.909394,52.400774,7.249603,1.2207893,1.5382614,-4.393084,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,15652f29-ddaa-4de7-b653-f971ec6ef0ff,1633162310250,13.909394,52.400774,7.249603,0.16826761,-0.80616975,-1.2093835,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,52600ce9-f94f-4441-8405-4e1bef4a8865,1633162310300,13.909394,52.400774,7.249603,-0.30633312,-2.8980303,2.9180937,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,2d6a4f9c-2a8a-4671-8db4-41be9cd7ae6c,1633162310351,13.909394,52.400774,7.249603,-2.1592927,-1.1679511,1.7492514,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,76d47617-a1d4-4520-ae24-2d34c7afbda7,1633162310403,13.909394,52.400774,7.249603,3.9361444,4.701809,6.8766575,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,077dc772-e938-42ba-a188-1c571f3e16b3,1633162310468,13.909394,52.400774,7.249603,0.018875629,-4.858733,0.83631897,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,38bbcd45-8b14-4f24-990b-94108b2cae77,1633162310518,13.909394,52.400774,7.249603,-0.80840427,-4.271516,-1.5930643,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,381b2097-5444-4512-b7cb-c01d3d6e8cea,1633162310569,13.909394,52.400774,7.249603,-0.74109477,4.563136,-3.849385,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,c531cd10-014c-4d5e-bd23-3988a6571045,1633162310620,13.909394,52.400774,7.249603,0.58877885,2.4240413,-1.6110353,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,8f91932d-b4ec-409f-b322-6a38fa6594d8,2c139935-310d-44c9-88bd-4ab2a32cabe7,1633162310685,13.9094994,52.400753,7.0365667,1.0802811,0.049694777,-1.5128865,on bike mount,cyclo cross,True,asphalt,excellent
