bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,7bd136f2-ddb4-4698-acb3-d821a935bbf1,1633588119040,13.3975872,52.472645,7.059425,-1.5515444,2.0175257,-3.286153,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,db578c98-642b-4e94-9743-411a8927d1ee,1633588119090,13.3975872,52.472645,7.059425,-1.7443634,-0.85713506,9.930179,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,6b654cc6-f143-4182-9458-fc500be884d1,1633588119154,13.3975872,52.472645,7.059425,2.0222218,-2.3545737,-1.8140788,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,1b67b0fa-8c20-4a34-82cb-331757cace1f,1633588119205,13.3975872,52.472645,7.059425,-2.3100774,-0.13006377,-2.089179,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,5b26b6cf-7b3b-4803-9aa0-07e346a8f028,1633588119256,13.3975872,52.472645,7.059425,1.6423008,-2.630718,-1.8116064,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,b433845e-91a2-419f-b0af-483d4686cef3,1633588119307,13.3975872,52.472645,7.059425,-0.061900154,-2.4242904,7.8795357,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,2430003b-9052-4ef7-abd9-9d1c41718c5f,1633588119372,13.3975872,52.472645,7.059425,1.0400519,-4.084137,-4.0962453,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,6d1049a0-5309-4cac-b1f7-efccacdade5c,1633588119422,13.3975872,52.472645,7.059425,-0.35842037,-9.75857,2.1080093,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,ef8f44cb-2c08-4211-9973-6bfbfbb5024b,1633588119472,13.3975872,52.472645,7.059425,-2.11835,-0.850085,-4.163557,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,0101a0ee-9c27-46b7-aff0-cc12ef807daf,1633588119522,13.3975022,52.4726831,7.07997,-2.875268,-0.2593274,4.0355406,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,d1693659-0558-49a4-a6ce-373bdbfd1f9f,1633588119571,13.3975022,52.4726831,7.07997,-0.4983588,2.109568,-8.2641115,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,ef922651-064e-40ed-8fac-5fe15a6baec2,1633588119622,13.3975022,52.4726831,7.07997,-1.03545,2.817593,6.7070923,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,a680b5e9-d90b-43e8-9ed8-cdc0e4b588fd,1633588119674,13.3975022,52.4726831,7.07997,-0.6175889,2.0474582,-1.8331223,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,94d808d8-371c-4ca4-9de8-438dd84cb29a,1633588119723,13.3975022,52.4726831,7.07997,-1.9478115,-4.9916964,1.0197182,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,ae5b695a-5af7-403a-b482-443d05b651e1,1633588119774,13.3975022,52.4726831,7.07997,1.5809531,-0.83894897,-5.5460057,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,fe2bd6e4-c5fc-46cf-afd0-15906a80b139,1633588119824,13.3975022,52.4726831,7.07997,-0.25260332,2.1482944,-0.8954067,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,e1da5299-6988-4b71-b83c-3cc4582ef226,1633588119891,13.3975022,52.4726831,7.07997,0.027857006,-6.052267,-3.481226,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,142fe2c9-dd71-420d-b96b-b9828851acdb,1633588119957,13.3975022,52.4726831,7.07997,-0.6367643,7.0767565,-1.3012376,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,0ab02cfb-7753-4dd1-a613-4af75a5c454f,1633588120007,13.3975022,52.4726831,7.07997,-2.1661305,6.349251,8.923401,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,0d690c1a-2d90-480e-a550-b41ef136bdd8,1633588120057,13.3975022,52.4726831,7.07997,-3.896817,-3.899251,-6.2514143,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,963cbf62-6150-4caf-96f1-d85c4987ee0d,1633588120107,13.3975022,52.4726831,7.07997,1.7373393,0.9607127,2.118495,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,9a3b679a-bb01-4c3a-98c3-69b5882d107d,1633588120159,13.3975022,52.4726831,7.07997,-0.49069178,8.092613,-3.0366273,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,f02fd35b-3daa-4bdb-8099-7a0114d3b420,1633588120224,13.3975022,52.4726831,7.07997,1.237804,-1.939637,10.598141,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,58a3aa26-31be-4a86-9d5b-aa370a01c7e5,1633588120276,13.3975022,52.4726831,7.07997,0.8210461,3.3343596,-0.79248524,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,a500c48e-5891-435b-ae72-ce2672adefc1,1633588120342,13.3975022,52.4726831,7.07997,-0.067828275,-3.4547887,6.6874065,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,1377d48e-2773-42a4-8001-529c32b23a25,1633588120393,13.3975022,52.4726831,7.07997,-0.35956088,0.43884492,-4.398509,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,57c8d770-0a6e-4a30-915d-a8ea7d0b17e1,1633588120457,13.3975022,52.4726831,7.07997,-1.9506916,-2.7843657,3.6083508,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,b0b46d17-df7f-456c-932f-3aa26df3a0ab,1633588120510,13.3974222,52.4727207,6.9401574,0.7303843,3.6881552,-3.092402,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,95f63ece-74a5-4a66-8da0-7b6f796c652b,1633588120575,13.3974222,52.4727207,6.9401574,-2.4591203,7.3363466,-8.093415,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,31647c7c-90e1-4a34-8ade-cbe0bb0d4ea4,1633588120626,13.3974222,52.4727207,6.9401574,-0.5047898,-3.4281123,3.7701054,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,e269610d-4f23-45f4-b475-0e37dd3b8cb6,1633588120692,13.3974222,52.4727207,6.9401574,-2.1105967,-1.2671107,2.4664106,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,356d8720-2c80-42af-8d5c-79d82a6356a0,1633588120741,13.3974222,52.4727207,6.9401574,-0.8158448,-0.5616908,1.558548,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,1f53776d-1b25-4779-b310-ffbf8287510f,1633588120791,13.3974222,52.4727207,6.9401574,-0.44447967,0.063982725,-6.5303235,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,73fa5bd2-14ed-4439-8050-89a754fed9c2,1633588120842,13.3974222,52.4727207,6.9401574,-1.2418678,2.7031188,7.0579863,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,8381708f-7912-4deb-8dec-3ba845871a29,4a492f4a-cd45-49bf-bd79-5c216d0181a3,1633588120893,13.3974222,52.4727207,6.9401574,0.040601313,-1.0068656,-2.8481405,on bike mount,cyclo cross,True,paving stones,intermediate
