bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,611df2cf-df21-44b8-96d2-7266936fa538,1627404883988,13.4219455,52.478269,4.645205,1.6049483,-2.012597,-3.4604878,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,0b98afea-d787-49a1-95bd-ce2c2dda1e6f,1627404884038,13.4219455,52.478269,4.645205,-0.9470297,-1.2053919,1.8446655,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,98da1b64-a7d4-49b7-9303-ff1b54e0f9ac,1627404884105,13.4219455,52.478269,4.645205,6.2370234,10.229916,-0.711318,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,7bebb044-7ad6-4d61-80eb-21c0c87b65c5,1627404884154,13.4219249,52.4783175,4.755749,-0.57046914,8.4722805,7.53481,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,e7942601-f876-411e-a570-5aef41feb1ae,1627404884204,13.4219249,52.4783175,4.755749,-0.9157001,-24.134243,-1.6329794,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,925886e8-fefc-4315-aaae-571db2ed633b,1627404884254,13.4219249,52.4783175,4.755749,-6.278449,1.7084727,9.158305,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,517970f3-5de2-454b-a78c-e1cb55d2fdf0,1627404884305,13.4219249,52.4783175,4.755749,-0.966714,-4.5589585,0.9355774,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,cf81130f-53e8-4ef6-bce5-d792b9bf6c55,1627404884371,13.4219249,52.4783175,4.755749,-1.3270094,-1.6756735,13.05667,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,06527eaa-2c1e-4811-8d46-9d583d10a037,1627404884421,13.4219249,52.4783175,4.755749,-2.3107696,2.8670778,-22.62245,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,7f9888a9-d699-46e0-bb6a-75db9e893d6d,1627404884472,13.4219249,52.4783175,4.755749,-2.0950358,-1.0374858,23.197193,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,cf353044-f580-4c4e-b214-abe0045cfa4f,1627404884538,13.4219249,52.4783175,4.755749,-6.789141,-7.652695,-11.286534,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,6403d69f-ffd2-4814-814a-e227c014c34b,1627404884588,13.4219249,52.4783175,4.755749,4.6764135,-8.874573,0.6380625,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,009445c8-d63c-49d9-a281-3ce5f29ebdf5,1627404884638,13.4219249,52.4783175,4.755749,-0.74013555,-3.3367867,-15.9202795,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,8bfb1ea1-1355-409b-b4df-833f80133797,1627404884689,13.4219249,52.4783175,4.755749,-4.8494663,-4.975518,10.23365,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,c0a2de45-2bb4-4370-a6a7-38d38e8a3d61,1627404884739,13.4219249,52.4783175,4.755749,-2.4317741,17.400427,2.5110464,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,dd361aa1-eac7-4a60-aa6d-30e90dfdc385,1627404884789,13.4219249,52.4783175,4.755749,-2.6696813,-13.865801,-0.36852312,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,d1976b95-462b-44a7-8ebf-6ab7af8609a3,1627404884856,13.4219249,52.4783175,4.755749,0.0010999143,13.682517,-14.144471,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,8343c59e-f108-44cd-93af-bacedc87751a,1627404884905,13.4219249,52.4783175,4.755749,0.87255514,-9.532205,9.582144,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,e15fbb88-62ec-4955-9370-643c9fe6c3d2,1627404884972,13.4219249,52.4783175,4.755749,-8.173554,11.313917,-16.805822,on bike mount,cyclo cross,False,sett,intermediate
650e6d57-8727-413f-bb67-655b781e256f,c66902fc-fc8e-4ec9-84fd-3823f66aede6,3068e14b-bc65-4740-b74e-b5edbc902837,1627404885039,13.4219249,52.4783175,4.755749,4.910425,-31.71236,-7.238248,on bike mount,cyclo cross,False,sett,intermediate
