bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,5adc03d1-9faf-47c3-9f1f-a9992181d1c0,1634144458503,13.4184743,52.4938212,3.171937,-2.712762,2.9250336,-10.40296,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,cbaeacde-a32a-4a27-8f9c-5d713de000d5,1634144458552,13.4184743,52.4938212,3.171937,-3.3198314,-7.4082484,8.12368,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,47b21a4a-b712-487b-a23f-b7c69337f72e,1634144458603,13.4184743,52.4938212,3.171937,0.8090918,9.483445,-3.68011,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,d5a31720-89d6-40cb-84db-3144dee0520b,1634144458653,13.4184743,52.4938212,3.171937,-2.0785875,2.0316148,-4.8132725,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,7618e197-ca1a-44f0-ad51-77d61e4966ae,1634144458720,13.4184743,52.4938212,3.171937,-0.48531023,-2.8009515,-5.486873,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,12268996-4780-44ed-bcd4-3c1c6f9e5a33,1634144458771,13.4184743,52.4938212,3.171937,2.0321631,3.4888344,-6.7506437,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,0d43bed1-7dff-48d5-ba28-68b9004639c9,1634144458821,13.4184743,52.4938212,3.171937,-4.9956455,-7.6040487,-10.476077,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,f10ed6e6-bd7d-4b57-9fae-63dbebaa0765,1634144458871,13.4184743,52.4938212,3.171937,-1.8147855,-7.3805246,3.2561226,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,81320e9e-1c98-4c64-8286-9bf789992c72,1634144458937,13.4184743,52.4938212,3.171937,-4.897229,8.081216,-6.3014493,on bike mount,cyclo cross,True,sett,intermediate
6d699189-c4f1-4e5e-9b20-0bac5d67ebe9,1cdc7027-0921-43a0-a99d-25230ed35dda,258a7848-76ea-4f0d-8797-e891c2ac04e8,1634144458988,13.4184743,52.4938212,3.171937,3.2997363,6.1384897,-17.65606,on bike mount,cyclo cross,True,sett,intermediate
