bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,ac07ad1d-1912-40dd-9d7e-7ca4305ceb49,1644074839324,13.4401857,52.4926322,5.27036,2.4132013,-3.30648,-7.236283,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,2719fad9-2b34-4fa4-ae6b-9e8adadcd157,1644074839379,13.4401857,52.4926322,5.27036,-8.33653,10.285404,-16.877346,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,a7ee431a-c4fb-483e-929a-51bba2fe7625,1644074839436,13.4401857,52.4926322,5.27036,-2.114427,4.4723186,-1.018681,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,61426f25-4543-4fb3-a4e2-21a1bbd678ea,1644074839491,13.4401857,52.4926322,5.27036,0.76427513,-4.4751205,-1.8396115,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,b4992c26-7a0c-407e-a399-0ea0f2493b1e,1644074839546,13.4402687,52.4926106,5.4438796,1.1217347,-5.41197,-5.730028,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,6534296f-879f-43f5-818b-5dcc6393e4c6,1644074839601,13.4402687,52.4926106,5.4438796,-2.0944402,-23.839808,10.220832,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,32121cc7-9196-4502-8e04-91fc2b4b23ff,1644074839659,13.4402687,52.4926106,5.4438796,6.188466,-44.18822,28.25722,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,f223b4ab-6e6c-49f8-bd71-bcef02c2f999,1644074839713,13.4402687,52.4926106,5.4438796,1.0927411,-7.5829506,18.154804,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,ff6c2418-8eb9-40ef-8f3e-98062233a735,1644074839769,13.4402687,52.4926106,5.4438796,-4.498138,-2.2752924,-4.5147824,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,31f2833d-fff9-48cc-85ca-2ae7980ddb0b,1644074839829,13.4402687,52.4926106,5.4438796,-0.8227526,8.852403,-10.172471,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,35f1a039-01dc-448a-aaa5-929d2c557605,1644074839881,13.4402687,52.4926106,5.4438796,-4.7186847,-4.4145184,3.2346182,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,92180058-9f41-400e-9a47-97d9ece9bc77,1644074839936,13.4402687,52.4926106,5.4438796,-0.16431266,3.871642,-2.9496665,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,bc8ec39e-38f8-4ba7-b28b-5fe57f3c618a,1644074839991,13.4402687,52.4926106,5.4438796,-0.24264148,-4.9041576,0.68203545,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,03b55da5-1e59-46f1-94dc-f912149720d7,1644074840048,13.4402687,52.4926106,5.4438796,-1.863422,-6.717256,-2.1530886,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,9644012c-a829-484e-9711-beed7cefcdd6,1644074840105,13.4402687,52.4926106,5.4438796,2.7300527,-10.669016,3.8303223,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,662bde58-7c17-4f92-a910-0c75b709bb93,1644074840159,13.4402687,52.4926106,5.4438796,5.7961235,-4.160288,27.399374,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,927993fa-1dba-4c89-bc86-e9214982c357,1644074840215,13.4402687,52.4926106,5.4438796,-0.2858032,-3.3245034,-6.963431,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,56239155-3bdf-40f4-8bb2-9917215f97e3,1644074840270,13.4402687,52.4926106,5.4438796,-1.012996,-6.210708,1.3821135,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,badfc5c2-45b7-48c0-a246-17daa6b5010e,1644074840325,13.4402687,52.4926106,5.4438796,2.15788,10.750307,-8.013183,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,05142784-dfc1-4802-aa87-ded405dd8ad8,1644074840383,13.4402687,52.4926106,5.4438796,3.1441462,9.734701,-11.249676,on bike mount,cyclo cross,True,sett,intermediate
73ddcd7d-680f-4b17-9ca3-1ef233563e1f,cf9b2a43-2083-43b0-a90e-bc923d5ae8ff,8e322cf1-002c-43f0-b0cd-473dce406815,1644074840437,13.4402687,52.4926106,5.4438796,2.855662,7.0744143,-4.6629815,on bike mount,cyclo cross,True,sett,intermediate
