bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,aae52664-4768-4d95-bd9e-62237c001cec,1633099374129,13.4347809,52.4984603,6.40238,1.5539815,-10.479827,2.3146763,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,f9d07b86-971e-4f4c-88a8-4da934a3a986,1633099374179,13.4347809,52.4984603,6.40238,2.291635,-27.283613,19.7342,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,3371cfb7-266d-43bd-b129-02183051db31,1633099374246,13.4347809,52.4984603,6.40238,-6.9829054,3.259449,-3.2926028,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,8afcc65f-d75b-4da5-8ccc-b10aaafe54f6,1633099374296,13.4347809,52.4984603,6.40238,0.11326298,27.308462,-15.576361,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,a70cb20a-076a-4603-9dcd-98c57606ab58,1633099374363,13.4347809,52.4984603,6.40238,-5.3310766,15.533253,30.013832,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,4da0d9ed-351f-451c-84bf-bc4f97e67076,1633099374413,13.4347809,52.4984603,6.40238,0.29296416,0.8279133,-1.6581688,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,8b5bf7d3-94a6-481c-aef3-af5b9ffd648b,1633099374463,13.4347809,52.4984603,6.40238,3.2718801,-5.6630573,6.632615,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,dd681dad-e92b-4c3f-9f24-0d7f4bedb5be,1633099374529,13.4347006,52.4984806,6.2944555,-1.0455871,-11.931543,-16.783031,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,97aece95-c610-46c9-81aa-779e57dffa35,1633099374596,13.4347006,52.4984806,6.2944555,1.3341826,7.104692,-23.463776,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,af1cd634-2262-4b32-8c1a-e60beb3e8788,1633099374663,13.4347006,52.4984806,6.2944555,-6.9191747,22.11005,2.5622935,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,fb075327-c8a2-492d-9d64-4ce5dc267ffd,1633099374730,13.4347006,52.4984806,6.2944555,-0.60788345,12.903023,-19.250347,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,751c8702-de34-4273-8925-9703ee23ea2e,1633099374796,13.4347006,52.4984806,6.2944555,5.093914,-15.940782,9.280175,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,3017505f-b742-4b18-b108-253c41fd8910,1633099374846,13.4347006,52.4984806,6.2944555,-1.0801709,39.9122,14.23884,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,5bb71b03-3db4-4215-b8b7-04b7a331bf6f,1633099374897,13.4347006,52.4984806,6.2944555,-7.312126,4.844984,-9.892606,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,9616b742-e38a-47f7-8b37-47b494c45c85,1633099374947,13.4347006,52.4984806,6.2944555,-0.02814011,-20.96083,-3.816064,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,54972b87-2668-4ab3-a401-0d311834b53b,1633099375014,13.4347006,52.4984806,6.2944555,-2.9845626,-12.839386,4.349966,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,b3c587d8-2ff2-4177-a5f5-cf99ca6c3a23,1633099375064,13.4347006,52.4984806,6.2944555,-3.080309,-43.375637,4.5184965,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,5824dd60-9faf-421c-8e2d-041a624891aa,1633099375114,13.4347006,52.4984806,6.2944555,2.0540934,11.971472,5.4264193,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,cf1ca0ed-40fd-4ba1-8169-b6d12789559b,1633099375164,13.4347006,52.4984806,6.2944555,-3.1598277,-6.410097,-0.8167658,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,10fcdb0d-8a03-4e67-8446-cac8e3f137e2,1633099375231,13.4347006,52.4984806,6.2944555,0.38015768,5.1729193,9.182427,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,a758b93a-2157-42b3-a35d-5938051359ad,1633099375281,13.4347006,52.4984806,6.2944555,0.9647143,-45.779575,29.42764,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,704782f3-ebd4-4e13-85bc-abac89e77d45,1633099375348,13.4347006,52.4984806,6.2944555,-2.7631683,6.093343,-11.869518,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,704a24c6-2296-4cee-ba85-e04dd784c312,1633099375398,13.4347006,52.4984806,6.2944555,-0.36414987,18.493341,-20.784199,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,054b5235-dc04-4e78-b3f3-33e6069ac98d,1633099375448,13.4347006,52.4984806,6.2944555,-2.4890504,43.542618,-23.244453,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,cb460f18-975d-4500-b7e8-9d2f76fff1ff,1633099375499,13.4347006,52.4984806,6.2944555,-2.3136597,1.3058081,-14.417446,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,8416c2f4-06de-4c9f-b386-5995feac41c2,1633099375564,13.4346187,52.4985024,6.2939157,-1.9718856,-6.025131,-0.67010736,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,b1cd40a7-9fc3-4d3b-8595-44374b064154,1633099375614,13.4346187,52.4985024,6.2939157,7.733635,-8.548676,-18.082531,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,1e8c4947-20cd-4c77-9470-4c0d7a6d5818,1633099375665,13.4346187,52.4985024,6.2939157,-3.798006,-0.89079285,5.405143,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,08c17ed8-7362-4e75-b261-5f340f4cf989,1633099375731,13.4346187,52.4985024,6.2939157,1.7670208,-5.0327816,9.328507,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,eca30452-d700-42e9-aae8-2cbd659ee8da,1633099375782,13.4346187,52.4985024,6.2939157,5.348879,12.262478,-10.345763,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,c33c32b2-2487-4f0e-9431-67496f01d3ae,1633099375831,13.4346187,52.4985024,6.2939157,-3.897067,-4.257964,-16.459017,on bike mount,cyclo cross,True,sett,intermediate
79a2d6d3-b7c7-4c63-8cdb-180f00dfc280,fd2f5bc7-d7f1-4da2-bdf7-c671cd1459aa,9e344bed-918c-4f3b-bf3c-0e26d5b35ab6,1633099375882,13.4346187,52.4985024,6.2939157,4.5003653,-43.219784,25.080965,on bike mount,cyclo cross,True,sett,intermediate
