bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,12df1bb3-5818-4ec1-9180-6b51eb47020c,1644073926491,13.4307895,52.493223,4.608336,3.0968487,7.9155188,-17.720844,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,9d030b0b-d3fc-421b-916d-292153aeb105,1644073926543,13.4307895,52.493223,4.608336,-4.4913526,4.914055,-4.861058,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,102d250d-f813-496a-a6cc-2a0387b935fb,1644073926599,13.4307895,52.493223,4.608336,5.678934,-7.514383,-5.435373,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,ec8fe2e4-32db-4e95-9a0e-11fc406dbe34,1644073926654,13.4307895,52.493223,4.608336,-3.9017348,-2.266333,-4.957818,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,10d3cea7-20cd-4a8f-81f6-8a6f802fa3dc,1644073926711,13.4307895,52.493223,4.608336,1.5248766,2.4507694,-1.6530895,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,a25eacfb-a298-414f-8843-8c60df7429aa,1644073926765,13.4307895,52.493223,4.608336,-4.6832294,1.7214694,12.403843,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,17e9591e-1d34-495d-b021-d87b5014466b,1644073926821,13.4307895,52.493223,4.608336,-0.021002233,-7.740249,-0.44558525,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,daf97936-b2aa-42bb-83a9-e290aee206a1,1644073926876,13.4307895,52.493223,4.608336,-2.7416952,-3.0772245,8.242451,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,99f54888-a703-4d14-8418-0e1b02c56f32,1644073926933,13.4307895,52.493223,4.608336,-4.348006,-2.616075,-0.2161951,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,483efdeb-b7ec-40eb-8f76-07ab8c1b6405,1644073926989,13.4307895,52.493223,4.608336,-5.8978677,4.308264,-0.27664375,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,b2eaa85a-a6b8-4c8b-9ac0-de0e02b8fd5f,1d1ec810-8e66-4f1b-8e7b-ddb4b560b567,1644073927043,13.4307895,52.493223,4.608336,-1.3572409,3.0236425,-9.9331665,on bike mount,cyclo cross,True,sett,intermediate
