bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,bb0405ae-c1cd-4d62-ac2c-979b2b5bb343,1643975892682,13.4193346,52.495011,6.0509887,1.9001381,1.0209589,15.014044,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,82b732e7-dead-4a5f-82ee-030b8f307099,1643975892739,13.4193346,52.495011,6.0509887,3.48272,-9.106326,8.648087,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,73268fd5-dfa7-4e3b-b727-aa372dbc344e,1643975892795,13.4193346,52.495011,6.0509887,-2.1041152,3.0858364,-1.2214584,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,f1e352c0-b261-41f0-bfd6-b7ec3d9d9194,1643975892848,13.4193687,52.4950648,5.8646026,0.27670413,1.3329043,2.1364117,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,27a8d9a1-da5d-4a0f-b70d-64c008037d7e,1643975892905,13.4193687,52.4950648,5.8646026,-4.0798926,2.2122564,-5.5643115,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,db9c0a2f-f551-4ba0-bade-696eaa842e07,1643975892960,13.4193687,52.4950648,5.8646026,-2.419057,2.8095636,-1.7229948,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,ce100ca9-7a9f-46b7-87d0-911ed1c251f9,1643975893015,13.4193687,52.4950648,5.8646026,1.4145377,-8.34,12.4894085,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,180e60aa-e5a1-426a-bd4c-06ad417e1bdf,1643975893073,13.4193687,52.4950648,5.8646026,-1.2241415,3.6724901,1.2600021,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,c4bb07a4-891e-41b1-b604-4bc3b7e6bd83,1643975893128,13.4193687,52.4950648,5.8646026,1.9810469,0.18112755,6.1503,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,ef5d7def-851c-493f-8220-41f2d6f7f9d2,1643975893183,13.4193687,52.4950648,5.8646026,-0.5522131,8.029191,-3.730741,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,c0be0233-eb60-47dc-8838-53092afc1e55,1643975893237,13.4193687,52.4950648,5.8646026,-1.8661493,-6.6534495,14.309664,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,5e8bc402-2059-463c-bb1d-bc3badfaf979,1643975893294,13.4193687,52.4950648,5.8646026,-1.4650211,0.7364564,5.2765017,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,25be768e-f8d1-46c8-9a88-222a346bf22d,1643975893349,13.4193687,52.4950648,5.8646026,-4.2475805,7.93198,-1.9163733,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,32e713b0-4964-47f1-9731-be200055700c,1643975893404,13.4193687,52.4950648,5.8646026,2.0707314,-7.4531703,3.525607,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,d65dda04-da7e-47c2-a3ee-2b643578ccfe,1643975893460,13.4193687,52.4950648,5.8646026,-2.5494518,-4.8682704,-6.61182,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,9163fea6-284a-4516-88f0-3a7f0e4c9a2b,1643975893516,13.4193687,52.4950648,5.8646026,2.425698,-1.7716016,0.6502609,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,05400f88-3e09-41cb-999d-49f81b15fba9,1643975893572,13.4193687,52.4950648,5.8646026,-0.99992603,0.260844,0.9583216,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,a7d00405-b9fc-4454-b8f4-851ff80a5f45,1643975893626,13.4193687,52.4950648,5.8646026,-0.7417319,-2.1508079,-8.340065,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,4b929c7c-49e1-4274-81df-742b0d837d54,1643975893683,13.4193687,52.4950648,5.8646026,-2.0517628,-4.9609246,-1.0197349,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,a6b26c9e-042e-4377-ae63-9e368783e258,1643975893738,13.4193687,52.4950648,5.8646026,6.189165,3.1611056,18.645863,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,b9c2b378-6865-40fa-bd81-0eb83fed55b8,1643975893794,13.4193687,52.4950648,5.8646026,-3.6264057,1.114718,21.09304,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,a82c97f1-1cda-4c78-b4c5-3e919a8cc2fb,1643975893849,13.4194055,52.495116,5.814858,-3.007195,-17.772148,0.07686329,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,958aab4c-d149-434a-b85d-2c6a1f069c76,1643975893906,13.4194055,52.495116,5.814858,-1.6893158,3.1755571,3.5069609,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,a8ecff1f-0fe0-48f4-84c9-5363b811c89f,1643975893961,13.4194055,52.495116,5.814858,1.7645832,4.566181,5.2937365,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,13bf02ab-a81f-4f62-86ac-a93c00376f1b,1643975894017,13.4194055,52.495116,5.814858,-2.1581407,-9.749172,8.187093,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,19b3c896-9d54-4c51-93a8-e5b2e8eb5b3d,1643975894072,13.4194055,52.495116,5.814858,-0.9582919,-4.173931,2.8700724,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,4368ca7c-8032-49f4-8502-8ef63ff8512b,1643975894127,13.4194055,52.495116,5.814858,-0.022664726,2.0941377,6.960045,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,f98bc23a-894f-4785-8ff5-8d666eecaf3c,1643975894182,13.4194055,52.495116,5.814858,-0.30338377,-5.1134415,18.029581,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,8c5ddf5f-edb9-44d3-804c-59c1275b9b06,1643975894240,13.4194055,52.495116,5.814858,-1.0810468,-2.504474,9.228373,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,b035e2dd-de59-4e98-86f9-926036f94444,1643975894293,13.4194055,52.495116,5.814858,0.30988842,4.3846474,-8.936474,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,bf4c9119-2fec-4871-a417-924f4a58325b,1643975894350,13.4194055,52.495116,5.814858,1.6029044,3.3841734,1.353117,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,388dc0d3-047a-4c38-97a2-d331e5a1e7ec,1643975894405,13.4194055,52.495116,5.814858,-1.6674304,-5.3981686,5.892164,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,63ec3461-db89-4658-9088-a9616fac79d0,1643975894461,13.4194055,52.495116,5.814858,2.47198,-5.6363454,0.9954872,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,e4ef270b-fe64-4117-a0c3-4fbda7cb12f1,1643975894518,13.4194055,52.495116,5.814858,-1.7932858,3.5211873,-7.9972386,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,f776c3fa-9500-4106-8f31-6a022ffb9dad,1643975894571,13.4194055,52.495116,5.814858,2.9219255,4.278524,7.2428207,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,63c6cfbe-9c44-4b45-91f0-060b42b95393,1643975894627,13.4194055,52.495116,5.814858,-0.68141854,3.4863386,3.3930511,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,d3754e2f-fe74-4ba1-80d2-822523bcdb7c,1643975894682,13.4194055,52.495116,5.814858,4.1631765,3.9123206,-2.7012792,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,caeeed4a-3115-424e-854d-b6415b2d7e57,1643975894739,13.4194055,52.495116,5.814858,-2.5708022,1.1071496,2.7464046,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,60fc3fca-001e-417d-bf5b-ca9189d5ab8f,1643975894794,13.4194055,52.495116,5.814858,1.7310407,2.7637062,-13.873348,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,e59bac6f-a19d-424d-b680-76c684d4419b,1643975894849,13.4194529,52.4951732,6.068069,0.099684924,-1.0401385,-5.1362195,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,f70db05f-336a-4eaa-a74e-5ed405da3894,1643975894905,13.4194529,52.4951732,6.068069,2.3365266,0.45614433,-4.708647,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,fa52dd99-9054-4a01-bf49-7d14d3642c43,1643975894960,13.4194529,52.4951732,6.068069,-0.22276384,-4.2636023,7.2554264,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,9daf7381-3f40-4dc1-9924-ecd1ad9c6921,1643975895018,13.4194529,52.4951732,6.068069,2.4394324,-13.821429,16.229795,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,85f2ce23-55af-4cf3-929f-e1eae90fa0e4,1643975895071,13.4194529,52.4951732,6.068069,-0.6548943,-10.861114,12.906927,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,0adc821f-af3d-4f9e-947f-f87f8806f002,1643975895126,13.4194529,52.4951732,6.068069,-1.0966775,3.1305718,0.5852413,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,ac2b465b-ea99-42af-8f46-98b7d5e05289,1643975895184,13.4194529,52.4951732,6.068069,3.0977685,-4.795986,11.255163,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,859ed3ec-28fd-46c6-9993-3ef74d7f419e,1643975895241,13.4194529,52.4951732,6.068069,-2.594933,-0.16243362,-16.12404,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,5619068c-8b75-40e8-b1ff-dfabf46a850e,1643975895294,13.4194529,52.4951732,6.068069,0.82079434,1.9296885,-0.8684931,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,480ee458-ee66-4fc9-b9fd-9631103fcfc5,1643975895352,13.4194529,52.4951732,6.068069,3.0883808,3.0861578,-4.310699,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,98d7ac01-a832-43c6-a3b8-429dc9ee68ce,1643975895407,13.4194529,52.4951732,6.068069,1.3832316,11.749971,-12.615621,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,18d22c91-ec59-421d-b4f0-18191d875357,1643975895459,13.4194529,52.4951732,6.068069,5.1902637,2.6898422,-6.0055914,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,d5c829ed-06ac-4400-9dd5-ab91735c17ac,1643975895517,13.4194529,52.4951732,6.068069,0.99824333,-6.196989,-10.713062,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,b9a3b1e8-fb3c-4b10-a47c-919bc1012888,1643975895572,13.4194529,52.4951732,6.068069,-0.7043565,-6.5162897,-0.18536472,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,a76e0688-7098-49ef-a224-bd15226a9918,1643975895628,13.4194529,52.4951732,6.068069,-0.38095585,-4.641078,-1.6676793,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,005ea798-874f-4dba-b0b8-a72f5df58bba,1643975895683,13.4194529,52.4951732,6.068069,-2.339734,-3.7998092,1.9385796,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,a9de51dc-0015-4f6f-aec7-73cdeea8519c,1643975895738,13.4194529,52.4951732,6.068069,2.8831742,8.118879,-7.947849,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,b86ca0de-3480-4f05-ab77-9f19b1d639e0,1643975895794,13.4194529,52.4951732,6.068069,-5.428931,0.14869547,-5.5857267,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,ace0a641-b475-4ae0-86e7-f18936b925fc,1643975895849,13.4195079,52.4952326,5.922865,-8.728823,7.651107,-28.20703,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,31f413fb-5eec-437c-8581-c12b00c85f88,1643975895911,13.4195079,52.4952326,5.922865,0.73228806,-4.4422584,-3.465985,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,12df66e6-f639-43e9-8d70-883c49ce21b2,1643975895962,13.4195079,52.4952326,5.922865,0.6943622,-11.149272,2.1958046,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,de9679fe-8380-4837-bd62-55d9e88c5faa,1643975896016,13.4195079,52.4952326,5.922865,-0.94799334,0.7226765,0.31381226,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,7cc74ef6-2df0-4336-ab87-e5e91b51465f,1643975896072,13.4195079,52.4952326,5.922865,0.63754684,-6.763254,2.9775124,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,2ff0f48c-6d12-4dd7-a135-84b46c4a47fa,1721d91d-a30c-4c28-9403-ba0b7d9e5325,1643975896128,13.4195079,52.4952326,5.922865,4.4862247,-8.512795,-1.5710421,on bike mount,cyclo cross,True,sett,intermediate
