bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,3b4a7d26-ac69-4173-8adf-776ff479963c,1627366514542,13.3844634,52.4594875,2.1766307,-0.7776918,0.7969425,-0.68896866,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,1dcac3b8-6612-4ace-a13a-5bfcf7627689,1627366514609,13.3844634,52.4594875,2.1766307,0.06442951,1.4773755,-1.8708258,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,341074b1-a28c-4ad7-b1fb-d0ad46230bbb,1627366514676,13.3844634,52.4594875,2.1766307,0.22113219,0.44985032,-1.6197748,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,c094d3b1-f183-40e9-a4f1-8425210395ff,1627366514726,13.3844634,52.4594875,2.1766307,0.24687043,-1.373567,2.8671408,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,8d08f43f-7669-4d75-9f40-ef30402a1b43,1627366514792,13.3844634,52.4594875,2.1766307,1.2944907,1.6106575,-2.4287095,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,9d121f5f-5716-47f5-bce0-3943e9827a73,1627366514859,13.3844634,52.4594875,2.1766307,-4.2318206,-1.0971379,-6.1069927,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,06d43790-b324-4459-8fea-f109cca625de,1627366514926,13.3844634,52.4594875,2.1766307,-1.273908,1.9717622,-2.2724257,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,e394c611-331a-4e40-a3ca-f405e3cda87b,1627366514992,13.3844634,52.4594875,2.1766307,-0.08764568,-0.24554658,2.0802755,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,82dd3c80-2b6b-4f90-a3dc-8e914a9aa908,1627366515043,13.3844634,52.4594875,2.1766307,0.32927114,4.5743937,-2.2965908,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,2526bdb5-3c44-46f8-a522-e59ea2d58b03,1627366515093,13.3844665,52.4594671,2.5740855,-0.63534987,-0.81429005,-1.1918311,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,57aa7630-02a3-4508-9530-8d2ac2b0fdf5,1627366515160,13.3844665,52.4594671,2.5740855,2.7824821,-6.607684,0.008854866,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,4788838f-17d6-47ff-ad2d-45e2b8c8df2d,1627366515210,13.3844665,52.4594671,2.5740855,0.62456375,-2.8782654,0.29070854,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,3968bd9d-5a7f-4e57-ab8f-287de75211c6,1627366515276,13.3844665,52.4594671,2.5740855,1.8768096,5.9216566,0.18289661,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,1c93762c-c958-4b68-a645-2b526706751b,1627366515343,13.3844665,52.4594671,2.5740855,6.518444,-2.1442833,6.124113,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,70f28c36-ad73-4a2d-a8da-aa3eb9e83b51,1627366515410,13.3844665,52.4594671,2.5740855,0.7664887,1.1249666,2.148344,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,5e454bfd-3612-414b-b828-365d7b5b181a,1627366515476,13.3844665,52.4594671,2.5740855,-1.7609875,0.4127264,-0.09024334,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,b49cd5b4-e888-4acc-bfe0-1e3b12a57a0d,1627366515527,13.3844665,52.4594671,2.5740855,-11.488742,-0.65087914,3.6531382,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,ab0b0da6-6bfb-44bb-a8ad-82f291a6cf6e,1627366515593,13.3844665,52.4594671,2.5740855,-1.8694823,0.8959155,-2.0371218,on bike mount,cyclo cross,False,mixed,mixed
916b09cf-fd2e-456a-be81-c2ef0128c01e,698730b1-565d-4061-a3fa-1dac71749e0b,f88b232a-08c5-4107-9bb3-011464e30957,1627366515660,13.3844665,52.4594671,2.5740855,-0.34588355,0.2412386,-0.5406265,on bike mount,cyclo cross,False,mixed,mixed
