bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,4580e153-567c-46d7-a3c2-9e1541a184b2,1636127584887,13.4109555,52.4726452,6.05673,-1.1484067,-2.033339,0.23362541,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,ce88f182-be56-4661-b0e4-44e220d23816,1636127584937,13.4109555,52.4726452,6.05673,1.0702878,-3.1023405,-2.834937,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a8232610-3142-4579-b2e7-9aea39e5b77c,1636127584988,13.4109555,52.4726452,6.05673,-0.22126976,-0.8768778,1.9290771,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,68de919b-b184-4738-8027-784b31e73c25,1636127585039,13.4109555,52.4726452,6.05673,-1.32009,1.850194,-3.946043,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,12da9a12-7007-449c-91a4-80c2d08d5c66,1636127585090,13.4109555,52.4726452,6.05673,0.47435528,2.3532405,4.867118,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,0b2ae377-b382-4efd-9a95-a0dd1bc449f5,1636127585139,13.4109555,52.4726452,6.05673,-0.23180157,2.9883642,-1.6523252,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,1b2abf83-2640-4e3b-9929-1ef7b9ead928,1636127585190,13.4109555,52.4726452,6.05673,-0.7787577,-3.2996292,2.5514212,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,d63eacce-3a9f-45b0-9c23-d9caa5b2881f,1636127585255,13.4109555,52.4726452,6.05673,-0.7872768,0.5300884,0.19666672,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,592e9543-60a0-44b0-a823-20e21d326a7f,1636127585305,13.4109555,52.4726452,6.05673,0.7533831,0.6156807,4.0834045,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,335cc03c-8553-4f22-84c8-e02a26f0acb6,1636127585355,13.4109555,52.4726452,6.05673,-1.6612589,4.904556,0.7812729,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,c2f1a5b4-b122-418a-b955-3444d20019b4,1636127585406,13.4109555,52.4726452,6.05673,-0.9735465,2.7371397,3.6753054,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,0065c917-b554-4e5d-81df-a09459ccfe66,1636127585455,13.4109555,52.4726452,6.05673,0.76299906,-1.3711714,-0.44177532,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,65fb9188-ae1c-4361-8363-85e5e0d1cc1c,1636127585507,13.410865,52.4726427,5.830903,-1.2821908,-0.4440558,0.9363127,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,08f00d0d-c281-4aa8-9bfe-23861861306e,1636127585573,13.410865,52.4726427,5.830903,0.1602652,2.0895462,0.13509464,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,28fe13a7-2fe9-4c6e-897a-e45dc7d61c15,1636127585624,13.410865,52.4726427,5.830903,-1.5039287,-2.6646183,1.2423096,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,51c8eeaf-e639-495d-b84b-41b8683e0360,1636127585674,13.410865,52.4726427,5.830903,-0.1700399,-1.7215993,-0.3127308,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,85e82944-d1ec-4c90-9fc4-1af4470a159d,1636127585723,13.410865,52.4726427,5.830903,-1.5757,-1.6345109,2.7392006,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,ac72ff47-b1cd-42db-a783-c93c2e3c457a,1636127585774,13.410865,52.4726427,5.830903,-0.92742354,-0.925465,-0.14358044,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,e2d6a947-8d36-45e7-9930-d8a5fc55072d,1636127585825,13.410865,52.4726427,5.830903,0.7140102,-0.048461556,-0.6884942,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,165aa05c-0b08-4fb1-9435-082c07fbd333,1636127585891,13.410865,52.4726427,5.830903,-0.9051086,-0.9879135,0.5140724,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,8e13fd1e-b508-4d47-85f9-bea47c24f3bc,1636127585942,13.410865,52.4726427,5.830903,0.051549926,0.12170935,-5.1745443,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,96d2bed1-de9b-480a-862a-ec9b91bd10e9,1636127585992,13.410865,52.4726427,5.830903,0.114543155,-4.0782804,1.1151409,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,58b9daaf-5e33-43c7-a71e-77d3fb46b531,1636127586042,13.410865,52.4726427,5.830903,0.7377708,0.63982916,-2.7129664,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,bf317613-1c3d-4bf8-bb9e-df367e7e95e8,1636127586092,13.410865,52.4726427,5.830903,0.8756708,1.0572593,2.7689552,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,3c13e8bb-ec41-4549-ae4d-7f7ac1996548,1636127586142,13.410865,52.4726427,5.830903,0.5301708,2.2097106,0.14317513,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,428d8295-97b4-4333-ad0d-c71b84087a99,1636127586192,13.410865,52.4726427,5.830903,1.9545234,4.4899063,0.65096426,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,b9d10f3c-6cba-4c0e-95e4-34a898c96a32,1636127586259,13.410865,52.4726427,5.830903,0.6901374,3.089188,-9.481296,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,93ffaafd-6948-4533-85a7-cfc18c3a06ae,1636127586309,13.410865,52.4726427,5.830903,0.8162981,1.9171019,1.3005362,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,555e0094-5cc9-4a09-9a24-246d5291bbcf,1636127586375,13.410865,52.4726427,5.830903,0.29599684,2.9542267,-2.0552526,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,75c44cff-0fc7-447c-9512-3a607258e16f,1636127586425,13.410865,52.4726427,5.830903,0.67692614,0.36552167,-4.075573,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a62198c4-7d45-4ab5-880b-2e5890755cd5,1636127586475,13.410865,52.4726427,5.830903,-0.24260437,-2.0621054,2.7135916,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,898b1f6c-0701-4f18-b10c-f3e62b5032d2,1636127586526,13.4107785,52.4726411,5.869937,0.6151973,4.75838,-1.0572529,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,8ce7c1d1-d744-4873-847c-590a81c0b311,1636127586576,13.4107785,52.4726411,5.869937,0.46063122,0.8091841,1.1585484,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a1573664-5d01-485c-b893-399d27fcaa34,1636127586625,13.4107785,52.4726411,5.869937,-1.421562,3.7311091,0.7212591,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,da27bc61-3d6d-4532-8711-c96f3c84587f,1636127586676,13.4107785,52.4726411,5.869937,0.10326874,-1.9299786,1.3138428,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,6e2b8435-bf1a-4035-83c6-159c55a8da1e,1636127586727,13.4107785,52.4726411,5.869937,-0.4569271,-0.99977946,0.93043804,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,184b8671-ea75-4362-a4f4-fc6fec9e72bb,1636127586792,13.4107785,52.4726411,5.869937,-0.60793054,1.5314345,2.2827988,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,be8713a8-0e23-43e1-8720-9f5d0a86b8b6,1636127586843,13.4107785,52.4726411,5.869937,-0.24626988,1.6166973,-1.8339024,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,d7c06aa8-a37c-4ee9-87eb-546c63187d57,1636127586892,13.4107785,52.4726411,5.869937,-0.22417288,0.7249851,-0.04563427,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,92caa34e-f28c-4c48-ade9-40003c220820,1636127586944,13.4107785,52.4726411,5.869937,0.44134483,-0.07574022,-1.4631243,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,bb0579ee-8fca-46e2-835b-4c67d3fc7b3c,1636127587010,13.4107785,52.4726411,5.869937,-2.0287514,-4.168712,-0.22197819,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,fb2bdf6a-3a62-499b-ae54-943bd8b23b52,1636127587062,13.4107785,52.4726411,5.869937,0.18268488,-1.6024545,1.3125105,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,fb50bdd0-71a1-4a1e-a75c-b8c49e43420e,1636127587111,13.4107785,52.4726411,5.869937,-0.072473526,-3.8503137,2.2765398,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,1a6b2f57-9c46-4814-8cd1-9557d7e76968,1636127587161,13.4107785,52.4726411,5.869937,-2.6678805,-2.5793867,-1.4844408,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,ce1b844a-b2ff-40de-bd4e-8bc02ff10079,1636127587212,13.4107785,52.4726411,5.869937,-2.0500937,-1.7907144,-1.638483,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,eb891ed9-ad46-4ed5-9ee4-b937c6ab58a4,1636127587261,13.4107785,52.4726411,5.869937,1.938023,-0.95673835,-2.231439,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,0c11a1bf-95ef-4a0a-8650-3e8ecfec5d45,1636127587311,13.4107785,52.4726411,5.869937,-0.59963423,-0.35602617,-2.2409434,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,ff091bdb-17ab-4709-ad80-92d1d1c157ae,1636127587361,13.4107785,52.4726411,5.869937,-0.34887397,2.7656264,-2.9648266,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,041a1f8c-b088-4762-ac1c-e8d3bfa62ade,1636127587412,13.4107785,52.4726411,5.869937,0.9038501,3.806614,-1.0703158,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,0a58db0b-31f9-4b6a-ab7e-ea49e8617673,1636127587462,13.4107785,52.4726411,5.869937,0.67761487,1.4780025,0.58608055,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,ad265e4e-5183-41eb-9385-81e99184dbe9,1636127587512,13.4106948,52.4726386,5.8303094,-0.9762878,2.0203261,0.33824348,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a49dbade-834d-4785-b72a-eca5e2663422,1636127587562,13.4106948,52.4726386,5.8303094,0.67009014,3.0820613,2.4229803,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,77b79386-3212-4f55-8c9c-b05af0508cb5,1636127587627,13.4106948,52.4726386,5.8303094,0.056097124,-2.0229743,1.9071932,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,3b640412-af9a-40ab-96e6-4d1c92006dde,1636127587679,13.4106948,52.4726386,5.8303094,-1.1776507,2.037016,0.45465755,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,ced667cc-042f-4cdb-bd83-466908268840,1636127587744,13.4106948,52.4726386,5.8303094,-0.23991954,0.37815094,-2.4751902,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,71cb9183-ebbe-48cf-acf1-f88c4fa3d978,1636127587795,13.4106948,52.4726386,5.8303094,-0.45215967,2.780077,1.5980787,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,88524eee-310e-41c4-9fbc-9c7b304526f6,1636127587845,13.4106948,52.4726386,5.8303094,2.5753112,1.4795971,1.0035791,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,26c94abb-430a-4422-8917-34982dee78db,1636127587896,13.4106948,52.4726386,5.8303094,-0.4976806,4.7233157,2.4942913,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,06396adb-e62b-4718-860b-9cbf50f737c8,1636127587946,13.4106948,52.4726386,5.8303094,0.20074588,-2.243025,1.3284578,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,8f765ba7-97d7-48b6-894d-f527c3a986b9,1636127587996,13.4106948,52.4726386,5.8303094,1.8772055,-3.6574602,-1.5334635,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a9194682-842d-4ce7-833d-02f9565bc20e,1636127588047,13.4106948,52.4726386,5.8303094,-0.22767195,-0.13756752,-2.8777704,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,0c74ffe9-bd71-4019-b726-f313f320b919,1636127588098,13.4106948,52.4726386,5.8303094,-0.368168,2.029776,-0.9893656,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,8bb7609f-aff7-418a-9fb3-0b160b1fe95c,1636127588149,13.4106948,52.4726386,5.8303094,0.53794897,2.2281866,-0.5223961,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,b3984ada-bd33-4fd6-9c3b-6078580e6bc0,1636127588215,13.4106948,52.4726386,5.8303094,-0.8376444,-1.805537,-3.2496123,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,5f4ed30b-a964-4541-a7ba-2e29e0265fcf,1636127588281,13.4106948,52.4726386,5.8303094,-2.177006,-2.3655074,0.5505142,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a397c5af-7925-4659-9ed5-bfb257b7c585,1636127588331,13.4106948,52.4726386,5.8303094,0.3816128,-1.6487939,-3.6253433,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,8b753a35-56af-4127-85fd-d36c15df1ad4,1636127588381,13.4106948,52.4726386,5.8303094,0.94452906,-0.25497007,2.7910023,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,8b29c56e-9ce0-4847-8796-673d214b6fe3,1636127588431,13.4106948,52.4726386,5.8303094,-0.5465073,-0.7487862,1.0455875,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a593e8d2-417f-406d-96eb-2d200e52e25e,1636127588489,13.4106948,52.4726386,5.8303094,0.9914595,5.2884035,0.7325449,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,f9d7dc18-e46f-42fb-a9cc-2699ea34aae1,1636127588547,13.4106111,52.4726333,5.8548064,-0.16644049,-3.571363,-3.2055702,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,3219952f-43f5-46f4-ae66-58b3ebf91c7b,1636127588598,13.4106111,52.4726333,5.8548064,-1.2740489,1.0297499,-1.4876108,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,52bc0a85-1d04-4fd5-8fa1-a8aec0902fe4,a6b5d43e-7eff-4f72-956d-7f387f10acab,1636127588648,13.4106111,52.4726333,5.8548064,0.139186,4.2406664,-2.7131443,on bike mount,cyclo cross,True,paving stones,good
