bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,f3f08f53-9f44-4e88-8e16-5594425e9e85,1633681969693,13.4176294,52.4928752,5.867777,1.9728153,-10.181514,-13.211484,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,7ef6e469-92ca-4e87-8e4c-a1324174caec,1633681969760,13.4176294,52.4928752,5.867777,-6.475735,-5.780093,1.1328621,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,6a4d9470-21f5-49c1-94cf-232e654c5039,1633681969827,13.4176294,52.4928752,5.867777,0.28215846,14.59543,-12.375121,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,0752de9e-2a3e-4cd0-9923-a2fd6671e1ca,1633681969877,13.4176294,52.4928752,5.867777,3.3764591,8.673382,-9.323186,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,82423d33-f662-4558-8e3d-3e94686f96db,1633681969944,13.4176294,52.4928752,5.867777,0.7026194,-16.243265,25.837831,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,f3be885c-7846-4b7c-8be6-c40eec2b4f43,1633681969994,13.4176294,52.4928752,5.867777,3.554073,-10.249958,11.72315,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,487c64da-ef39-431b-8f5b-19484eabd188,1633681970044,13.4176294,52.4928752,5.867777,7.1819997,-16.597227,1.7144079,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,bd408bf0-7d8d-47c7-bfb6-cb9ed634e48d,1633681970094,13.4176294,52.4928752,5.867777,-2.7532587,27.504623,-20.073635,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,8b943918-f52f-427a-afc4-899249ae66fb,1633681970160,13.4176294,52.4928752,5.867777,-1.956115,-23.090443,23.41043,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,62fb305a-08ac-4e06-8a2b-088eed77264c,1633681970211,13.4176294,52.4928752,5.867777,-4.320797,-1.2585206,-5.6535163,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,49f47493-bbf0-4be5-80b2-2872c8bdeb69,1633681970261,13.4176294,52.4928752,5.867777,-9.780242,28.227493,-25.486095,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,a866ca39-3dc1-43d1-ab93-61a02364252a,1633681970327,13.4176294,52.4928752,5.867777,-2.302374,2.2771292,30.543058,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,89a058a7-a75e-4258-a6b1-d334f137d56a,1633681970378,13.4176294,52.4928752,5.867777,1.8191657,8.477185,-1.0724564,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,23614803-0633-4892-8056-e59b1d8f054a,1633681970428,13.4176294,52.4928752,5.867777,4.163411,-6.654949,-23.986034,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,5fa76a38-5415-4a39-a4e2-022bb8fa4097,1633681970478,13.4176294,52.4928752,5.867777,3.6349847,-10.274706,-15.282542,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,fd3a981d-fe71-420f-b994-4e624d7c8a4d,1633681970528,13.4176294,52.4928752,5.867777,3.9206688,11.303655,1.1781235,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,5f14456b-c47a-478b-b871-21c2a6ae06c4,1633681970595,13.4176294,52.4928752,5.867777,-0.45460883,-7.3300915,-6.614792,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,5aa5a867-2f58-45b6-95a5-5d09c754600a,1633681970661,13.41759,52.4928239,6.0406733,-2.9485333,-1.0885994,-12.496997,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,d7898f7b-83b2-480e-ac7f-f75f24aad808,1633681970728,13.41759,52.4928239,6.0406733,2.9822154,-2.1515117,4.184263,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,77f46578-9fa3-43f1-b078-24d1d822da5e,1633681970795,13.41759,52.4928239,6.0406733,-4.816161,-12.039148,-5.240891,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,7d22b8ca-3be7-401b-a7ff-4fc81a9ea4f7,1633681970862,13.41759,52.4928239,6.0406733,0.8610587,-12.819777,15.746618,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,2d62ab85-f364-4c5a-b916-2e50016bd28b,1633681970928,13.41759,52.4928239,6.0406733,-7.583178,5.490117,-9.488294,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,414454e8-62ef-4319-a008-f79d08c43db4,1633681970978,13.41759,52.4928239,6.0406733,-1.093411,7.390456,6.5627117,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,25acce54-afbf-4d98-8bb3-d346d35e128f,1633681971029,13.41759,52.4928239,6.0406733,2.8284612,-2.556768,-2.656806,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,2b20a323-a308-4027-8914-d8b9ca3f2682,1633681971096,13.41759,52.4928239,6.0406733,-1.2425102,1.0825686,5.6325693,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,3414d6fa-683a-4b21-be56-7ea3a199c20f,1633681971162,13.41759,52.4928239,6.0406733,-1.4172268,14.905874,-23.434374,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,b4a743d1-c628-43cc-8118-83135dc016a2,1633681971212,13.41759,52.4928239,6.0406733,0.5526141,-4.829017,-2.0213046,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,ce237dfe-30c2-4e7e-a461-78688e071645,1633681971263,13.41759,52.4928239,6.0406733,-4.4881954,-1.7754714,-11.286049,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,ebc31cd4-636b-4e06-8628-71252feca50d,1633681971313,13.41759,52.4928239,6.0406733,-1.98636,-14.156496,22.800245,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,8f4974a9-9f39-4d8b-b401-3cf61fe7420e,1633681971379,13.41759,52.4928239,6.0406733,2.6769075,17.592657,-7.5341864,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,6c04f20f-6381-4879-9cbf-bd3de860b6c6,1633681971430,13.41759,52.4928239,6.0406733,4.1305046,-5.5872927,14.722107,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,9f03e684-81db-45e7-b937-60df8fbdb317,1633681971480,13.41759,52.4928239,6.0406733,1.6934003,-9.088327,-5.7203827,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,2bda3542-30b9-4b98-a4c3-113f439848ec,1633681971546,13.41759,52.4928239,6.0406733,-3.0941641,-11.093436,-10.823582,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,1529a257-a684-4e6c-8f06-7e345974055e,1633681971596,13.41759,52.4928239,6.0406733,8.58015,-5.975556,32.618534,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,86ac8b8c-8710-48a7-a270-7d8d5a4212f4,1633681971646,13.4175494,52.4927699,6.405215,2.8619606,-32.79671,15.128996,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,b529d0fb-2c99-4946-a0d6-4801752db11c,1633681971697,13.4175494,52.4927699,6.405215,0.34414947,-2.8492255,-11.123099,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,0be446c1-f698-478f-845b-615c8a17c73d,1633681971747,13.4175494,52.4927699,6.405215,-3.1776829,15.310382,-0.21042442,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,47022474-d60c-450c-b2eb-5205c3a5042d,1633681971814,13.4175494,52.4927699,6.405215,1.6481466,-28.19069,34.159794,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,f37b3a12-881d-4a62-a4ee-ef035c28dde7,1633681971881,13.4175494,52.4927699,6.405215,-0.64813405,3.7397747,0.11623955,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,7d1bc263-a92f-4f35-add5-9d55e5371531,1633681971947,13.4175494,52.4927699,6.405215,0.06600681,0.1447115,7.37465,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,4b449d8d-0c59-40da-8942-458be6340f84,1633681972014,13.4175494,52.4927699,6.405215,2.1847258,4.451745,11.407373,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,56203b45-ea2c-4041-8682-9a5dc77939f8,1633681972081,13.4175494,52.4927699,6.405215,-1.7006015,-28.539902,25.266178,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,4a09721d-5965-4ac7-b58d-a2ee44ff66ab,1633681972148,13.4175494,52.4927699,6.405215,-0.27782595,8.00098,-3.119152,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,7ae3b6a1-1d66-4165-a86a-4efe220be5a5,1633681972198,13.4175494,52.4927699,6.405215,-0.8568405,14.746655,-8.400013,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,d8072fbc-77ab-4c03-8e48-122b9033823c,1633681972248,13.4175494,52.4927699,6.405215,2.9347327,23.497034,-10.983948,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,2dd3690e-558f-4d3e-a69e-e3a346e145d7,1633681972314,13.4175494,52.4927699,6.405215,-0.773325,-0.3432703,8.57431,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,37788869-aeba-49c4-95f5-1ea6e2e585c6,1633681972365,13.4175494,52.4927699,6.405215,1.3175362,-24.895987,1.3996582,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,4884d24b-3e3f-4140-b786-7d485dd55176,1633681972431,13.4175494,52.4927699,6.405215,-1.6825274,55.7145,-58.95333,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,f7da4cbf-5151-475b-a1e0-006569e9de35,1633681972482,13.4175494,52.4927699,6.405215,-5.8268156,6.5748854,0.102778435,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,576433da-d030-4b50-bf80-50d79c3229e5,1633681972531,13.4175494,52.4927699,6.405215,0.13022819,8.378164,-18.669746,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,6653ec75-1f08-49c2-8aa7-07b4b1f1a540,1633681972582,13.4175494,52.4927699,6.405215,6.052994,17.412807,11.27515,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,905cda07-2b16-424c-8fd9-64f3cfd1936c,1633681972648,13.4175059,52.4927198,5.6454873,4.4759593,3.084405,25.751919,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,dfde0ea0-b2bb-4666-9662-6704597a92be,1633681972715,13.4175059,52.4927198,5.6454873,-3.0749516,6.7120905,6.5245075,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,197fdcc3-6c28-499a-b776-df4040098a35,1633681972782,13.4175059,52.4927198,5.6454873,0.6041992,18.142147,-3.418158,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,b5bf727a-c6c8-41a6-ac0d-c4cf3a02bafc,1633681972849,13.4175059,52.4927198,5.6454873,0.628602,-3.6872644,4.312216,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,372349f4-6b7a-46cc-9e3e-343fb4b1148f,1633681972916,13.4175059,52.4927198,5.6454873,1.2014899,-2.1980863,5.0475206,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,ec95a87d-cb70-403b-b405-56526aab3186,1633681972982,13.4175059,52.4927198,5.6454873,-2.1860657,-9.832344,12.427958,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,752c7758-803a-44f5-b70a-b50a4bf0404d,1633681973033,13.4175059,52.4927198,5.6454873,0.3903252,-6.008576,9.156397,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,c92dea31-5d73-45b4-978a-8af8995fd8e7,1633681973099,13.4175059,52.4927198,5.6454873,-2.98281,4.09921,8.860682,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,3dbd240d-dc9f-49a6-b743-a7cd38d03eb0,1633681973150,13.4175059,52.4927198,5.6454873,1.9402542,2.8277798,-2.0119653,on bike mount,cyclo cross,True,sett,intermediate
a1633818-d320-4da6-8551-ca57f4d865e4,ba9df173-977b-4228-8b16-c540a1f8439e,ea5b4931-c842-4322-b7f2-8f6870155ddb,1633681973200,13.4175059,52.4927198,5.6454873,1.022852,-6.3552423,-4.496718,on bike mount,cyclo cross,True,sett,intermediate
