bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,fb7369f5-eba4-4195-9db0-2f4595796592,1632391922684,13.4225114,52.4977486,6.1098228,0.07519288,-4.9326043,-9.421243,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,1d193f9a-134d-4da7-8cb5-8d35afef3d4e,1632391922734,13.4225114,52.4977486,6.1098228,2.3541408,8.601807,6.7763042,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,a7fb9f73-5078-49ed-99d6-9b347d853351,1632391922784,13.4225114,52.4977486,6.1098228,2.927043,2.391698,-7.752735,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,81b4c0b6-0fa4-4ea8-87b6-35426e6a1bb4,1632391922851,13.4225114,52.4977486,6.1098228,-2.9031634,9.109616,-12.042538,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,f6cbea6e-9744-4177-85a8-3e9cd21f7cae,1632391922900,13.4225114,52.4977486,6.1098228,-2.0258257,-9.099557,-9.361903,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,4bde4f3d-dd53-4a5e-bf7b-767a645aa09d,1632391922951,13.4225114,52.4977486,6.1098228,3.8123229,3.7973652,8.876449,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,e7964ccc-0970-486e-bff9-8aee5e68524f,1632391923001,13.4225114,52.4977486,6.1098228,1.7430942,-0.7716436,-3.9199462,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,aa5dfa39-7391-4ef2-ab4c-17e1f1b26c26,1632391923068,13.4225114,52.4977486,6.1098228,-2.7431803,-8.920389,-3.7671132,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,4946d52f-9e24-497c-acde-97f61f9257d1,1632391923118,13.4225114,52.4977486,6.1098228,-0.8028866,-20.439768,14.512783,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,c7ec3dd1-5fe1-4adb-bf0b-bdb508e6e24a,1632391923185,13.4225114,52.4977486,6.1098228,-0.15959167,-1.4442916,5.956105,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,7347da74-7714-4a10-8a9d-c5c3aec06f55,1632391923251,13.4224307,52.4977707,5.7401834,-5.3016415,-9.530059,8.512131,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,d0d541f5-7ae1-4dfe-8766-e9e6b36847ea,1632391923301,13.4224307,52.4977707,5.7401834,-0.00052955747,5.5493584,-17.435337,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,68871315-aafa-4860-ba76-cf664cbf30d4,1632391923351,13.4224307,52.4977707,5.7401834,-8.066555,4.168439,2.738927,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,013b2a6c-b5af-4431-a810-60523fce3156,1632391923401,13.4224307,52.4977707,5.7401834,4.03288,8.487738,-6.0954733,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,d77eb18c-f649-4dc5-901b-e73b78a3dcc5,1632391923452,13.4224307,52.4977707,5.7401834,-1.4932368,-17.710072,-5.1024923,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,f5b5f2e9-488d-466c-8490-b62c8cadf877,1632391923502,13.4224307,52.4977707,5.7401834,4.4484296,16.538086,-12.796974,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,7636ec90-9288-40fb-a43c-dcc10c50b712,1632391923552,13.4224307,52.4977707,5.7401834,3.3782706,-18.708212,11.550705,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,ac311aa2-cd51-42f0-9fb5-84da3eff54b2,1632391923618,13.4224307,52.4977707,5.7401834,-1.2389278,-18.660637,5.6367044,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,f30c5a4c-0e13-4f1d-8950-407556d75792,1632391923669,13.4224307,52.4977707,5.7401834,6.165258,12.615778,-7.401279,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,3b994469-b4f3-48b7-833c-9bd222121ca3,1632391923719,13.4224307,52.4977707,5.7401834,-4.1711264,-3.3200479,-2.9604096,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,8cf425b4-901e-4a68-bedc-826cd282ce70,1632391923785,13.4224307,52.4977707,5.7401834,-1.0827079,-7.9781404,-7.5663857,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,ec6cff9b-be1c-42f4-95fe-f4bd881dc519,1632391923835,13.4224307,52.4977707,5.7401834,-1.621861,-2.770406,8.459005,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,32691569-e630-489a-a8d8-b364397c5da0,1632391923886,13.4224307,52.4977707,5.7401834,2.6829755,-9.089043,-3.2360697,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,d3d71c50-8445-4d6d-aab3-47f807d96928,1632391923952,13.4224307,52.4977707,5.7401834,-0.5400147,-31.908745,15.290207,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,d3a07e0b-76d1-49ac-967e-2d601aa31ff5,1632391924002,13.4224307,52.4977707,5.7401834,2.3710816,12.358116,8.111904,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,f3f0fec3-7d16-4519-89a5-01cb2187fa58,1632391924052,13.4224307,52.4977707,5.7401834,-1.1962142,-13.9318075,0.91904354,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,e25f8626-f861-4e64-868c-fa81b7740a96,1632391924103,13.4224307,52.4977707,5.7401834,-3.54774,22.827549,-12.108301,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,24b6f539-8187-4768-8644-d8fcff36eea1,1632391924170,13.4224307,52.4977707,5.7401834,2.8499403,9.575285,-1.2876043,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,da336556-0a44-448d-a0e1-96e29ae5b809,1632391924236,13.4223604,52.497795,5.5915895,6.2757583,8.450599,4.558614,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,020d28ce-1e69-4b52-9257-c48ae44e2b71,1632391924303,13.4223604,52.497795,5.5915895,-0.97181785,15.543752,-4.099556,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,d38901b5-1eb0-427f-be12-3490dd02fe35,1632391924370,13.4223604,52.497795,5.5915895,-12.353463,17.339668,-9.326749,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,61dfc081-71b9-4dca-8f0e-a86e0bd08029,1632391924437,13.4223604,52.497795,5.5915895,-8.406399,12.043265,0.7910881,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,c958f44d-6eca-4ce4-8e71-092c4f12f670,1632391924503,13.4223604,52.497795,5.5915895,0.9006336,17.786991,16.07971,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,18e3c579-d048-4525-b124-3bb22846690f,1632391924553,13.4223604,52.497795,5.5915895,2.7861738,-13.6287565,16.303904,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,14e7eb69-a25e-4102-a5b6-d3ee0ed1abaa,1632391924604,13.4223604,52.497795,5.5915895,0.37915316,10.010646,-11.667891,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,6b8bc9f2-90b0-482f-99a8-48183c645f4c,1632391924654,13.4223604,52.497795,5.5915895,1.1808319,-12.845016,10.81089,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,f13db117-107d-402f-b9e7-9efec0ec4a7b,1632391924720,13.4223604,52.497795,5.5915895,-1.8525085,-15.2091675,19.029438,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,8675325e-b66b-4bfb-a31d-9bd272ef92a7,1632391924770,13.4223604,52.497795,5.5915895,1.8091246,-0.22938204,-5.440016,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,1a013b2b-5496-4179-9809-7eda5da117c6,1632391924821,13.4223604,52.497795,5.5915895,0.33902597,7.9694395,14.674558,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,49a05448-f8ac-4a38-8fec-74ffb69d00c9,1632391924871,13.4223604,52.497795,5.5915895,0.70459807,-26.83635,4.434658,on bike mount,cyclo cross,True,sett,intermediate
a6e39179-91f4-4a75-95de-c840d53e742b,08011202-4056-4c20-a6ed-ccda10b8e2b0,213db622-1ed7-45b1-8270-ac98afe2b12c,1632391924921,13.4223604,52.497795,5.5915895,8.278355,24.809853,-9.486115,on bike mount,cyclo cross,True,sett,intermediate
