bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,a471681e-249a-4ba7-9d6e-f915dcb1c129,1627404554740,13.4114262,52.4711096,8.508447,-1.14305,1.7451472,-0.3593912,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,c7d4f511-3ecc-4263-b34b-d791d10a1f17,1627404554789,13.4114262,52.4711096,8.508447,0.79126275,0.6501994,-2.8497825,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,77bfaa88-7c86-4c43-85a8-16b871947f7e,1627404554840,13.4114262,52.4711096,8.508447,0.4189757,-0.86544275,-2.5997095,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,a563f51a-32a5-490b-b850-a6457f3e8870,1627404554890,13.4114262,52.4711096,8.508447,-0.23982096,0.62707114,0.35743523,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,642a2185-82eb-4855-b988-44c08d49f579,1627404554940,13.4114262,52.4711096,8.508447,-2.4622211,-0.8924308,-0.95331955,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,2ed2f7b3-050f-4e55-b58a-f180a36e75fc,1627404555006,13.4114262,52.4711096,8.508447,0.7961974,-1.2751973,2.1400461,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,ad8b7b93-3fec-48d7-89a1-b655ae0afa84,1627404555056,13.4114262,52.4711096,8.508447,-1.0526887,-0.8758416,2.6679497,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,c3c8965b-c240-43f9-9c81-ff1c5f8558ba,1627404555107,13.4115479,52.4711105,8.504135,-1.0668786,3.417605,-1.2904177,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,7df7c0ac-288e-4c1f-a876-78dd0ca6a04f,1627404555173,13.4115479,52.4711105,8.504135,2.1306334,-5.2100496,0.4672022,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,11e0bf84-c559-4051-b686-87ba76165253,cb1560f4-c633-4d1f-b3f1-0a09d21738e6,1627404555240,13.4115479,52.4711105,8.504135,-0.8354073,1.1221461,-2.1929507,on bike mount,cyclo cross,False,asphalt,good
