bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,0d5142ac-abca-4ab6-b3e3-d069bb9fccc7,1626969162782,13.6539475,52.4770157,1.8353364,0.30005947,0.4961468,0.5321169,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,765137d0-0726-4029-80f6-b6e23d09648c,1626969162850,13.6539475,52.4770157,1.8353364,-1.4554173,2.4844875,3.2592735,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,d25d4b13-0837-42cf-ac4c-cbeec1292be0,1626969162916,13.6539475,52.4770157,1.8353364,-3.6126251,-6.023486,5.097538,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,cccb38c2-27aa-407b-94ac-ce12d32834b6,1626969162981,13.6539703,52.4770171,1.8527337,-1.525569,-0.6560899,-3.7372441,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,5a692ec6-f4e9-423e-b8f7-049c0d8ef330,1626969163050,13.6539703,52.4770171,1.8527337,1.3105613,-0.23033834,0.6693325,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,e716b6b4-9c92-4bef-b53b-3c21d2ba7e7d,1626969163115,13.6539703,52.4770171,1.8527337,4.8452735,2.1117194,-2.2493768,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,d8936d1d-83e8-44ca-a0aa-6637dffcc832,1626969163182,13.6539703,52.4770171,1.8527337,4.756686,5.7134647,-2.012003,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,659fbb49-6a09-4368-b932-610866f5c43f,1626969163249,13.6539703,52.4770171,1.8527337,-3.6115246,-0.7786542,4.624239,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,abc2e052-dd89-4fe2-8342-243fad732b26,1626969163315,13.6539703,52.4770171,1.8527337,-1.0377921,-0.69494784,-0.48239517,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,2fba4c3f-70c3-49c3-9bcc-a93ec4825b66,1626969163382,13.6539703,52.4770171,1.8527337,-1.6001685,0.7046975,-2.3789668,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,c8c6abf2-004d-4000-8305-2a998ec8f7dc,1626969163448,13.6539703,52.4770171,1.8527337,-1.0329517,2.3677745,0.2223854,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,56d4c7e4-50a6-4b3d-b2f3-8077590a2ee6,1626969163514,13.6539703,52.4770171,1.8527337,-1.8295703,4.279585,1.6671686,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,1b697063-392f-45af-9b8f-9e122a9d6021,1626969163581,13.6539703,52.4770171,1.8527337,-2.7746465,2.7542434,-2.5511541,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,f3da04b2-c905-4bcf-958b-9ed9be5854c3,1626969163648,13.6539982,52.4770209,1.4569764,-0.9071697,-4.581532,4.4357805,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,5b18932b-b588-41d8-9973-01dc52b7a88f,1626969163714,13.6539982,52.4770209,1.4569764,-0.3867492,1.4339619,-1.69102,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,6ebfb2c6-5a51-44ec-9f2c-65ad8d71a046,1626969163782,13.6539982,52.4770209,1.4569764,3.9592032,-3.0547636,4.7937384,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,9ef1aebb-801a-447d-b161-074352a6c468,1626969163848,13.6539982,52.4770209,1.4569764,1.9879462,-2.3752775,0.73256683,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,55d64acf-60bf-4037-8589-4b2500d57e16,1626969163915,13.6539982,52.4770209,1.4569764,-0.8109796,-2.2357054,-4.393844,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,e8ce4f6a-ea8b-46c2-9a86-6c4fd4ef5313,1626969163982,13.6539982,52.4770209,1.4569764,-0.05710548,-2.2247496,-0.77620506,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,e5e44676-2371-442c-9984-8b4c51a0c3d1,1626969164047,13.6539982,52.4770209,1.4569764,-3.8304348,1.6870849,-1.6394448,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,551cd556-e1f6-4a15-9705-51b32a07ac51,1626969164114,13.6539982,52.4770209,1.4569764,-1.2213019,-0.16474947,-3.279714,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,6d10e243-76fc-4c5e-bf1b-f49b4dadf18a,1626969164180,13.6539982,52.4770209,1.4569764,-0.5639684,6.064029,-3.0582657,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,cf870b7e-43c0-4056-a66c-a16a5c706dcd,1626969164248,13.6539982,52.4770209,1.4569764,1.1801645,6.2388616,2.9573908,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,a2761788-058a-46bd-a20e-b3e57e8c2063,1626969164314,13.6539982,52.4770209,1.4569764,0.7171049,2.2663043,2.9326658,on bike mount,road bicycle,False,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,48717a60-8733-4445-a425-e52bdc79f914,c51b8338-0e8b-45db-a00b-a9100f8395e8,1626969164381,13.6539982,52.4770209,1.4569764,-0.8844462,-2.9285147,4.0068054,on bike mount,road bicycle,False,earth,bad
