bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,7904c807-d874-4977-8139-f3b1589f9a64,1624970944739,-16.9087197,32.7716037,0.01184787,0.10593903,0.017568588,0.05793321,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,f87a0087-3185-479d-b677-703a698e7fb7,1624970944789,-16.9087197,32.7716037,0.01184787,0.04742086,-0.020174026,0.018740237,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,eb1982f7-fb1e-4438-927a-2008dd5dbdbd,1624970944842,-16.9087197,32.7716037,0.01184787,0.08696437,0.010270119,-0.020160258,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,94c05f4f-6e43-489c-8225-9b9a0dd7528d,1624970944892,-16.9087197,32.7716037,0.01184787,0.03872609,0.00026607513,0.023189723,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,80ac8336-7fdb-4b01-8ff6-aa10e3819e92,1624970944943,-16.9087197,32.7716037,0.01184787,-0.026989937,-0.020443916,-0.029240727,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,edc026f5-29d8-45d1-8325-f2f00e07c507,1624970944991,-16.9087197,32.7716037,0.01184787,-0.044338226,-0.029948235,0.032570362,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,9719d52d-d324-442d-bbee-061a97572d94,1624970945042,-16.9087197,32.7716037,0.01184787,-0.014029622,-0.02994728,0.029831588,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,f394d184-3d07-4a44-91b7-4ce833df65a8,1624970945093,-16.9087197,32.7716037,0.01184787,-0.011404395,0.002076149,0.055530787,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,227ad861-a7bb-45a7-a8ce-dbd5de13ccab,1624970945569,-16.9087197,32.7716037,0.01184787,-0.011404395,0.002076149,0.055530787,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,3f08c6c0-e70a-4a21-b044-9da64c2a7dbd,1624970945619,-16.9087205,32.7716036,0.011559502,0.06816089,0.007273674,0.08683437,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,bafc25db-b292-4cc9-910a-8caff0d61f65,1624970945670,-16.9087205,32.7716036,0.011559502,-0.10744822,-0.024542809,-0.0024151206,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,b27c9410-8a7d-4703-86d4-aa6a3fa520f7,1624970946564,-16.9087205,32.7716036,0.011559502,-0.069835305,0.013490677,-0.015366554,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,2d64153d-3f82-4849-b51c-91513f887ab6,1624970946614,-16.9087205,32.7716036,0.011559502,0.036755443,0.063323975,0.08321643,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,ec0526f7-8d01-4112-8b09-ed5a99d54e48,1624970946665,-16.9087212,32.7716036,0.011369085,0.038613796,-0.018343925,0.065556526,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,c8698f68-f10e-40bd-b709-3ca187430d57,1624970946716,-16.9087212,32.7716036,0.011369085,0.05430174,-0.06260395,0.118475795,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,341b3b3f-e56e-4fc9-b96f-c504570e53c5,1624970946817,-16.9087212,32.7716036,0.011369085,0.05430174,-0.06260395,0.118475795,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,fa98b770-f2e3-45e8-8761-dc40b66b4bbb,1624970946867,-16.9087212,32.7716036,0.011369085,0.064376116,-0.041690826,-0.088060856,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,7cee7ecb-cd8e-41e2-8e31-e32d707a3506,1624970946917,-16.9087212,32.7716036,0.011369085,0.06800854,0.0052518845,-0.037822604,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,0b963b1f-818d-4df4-87dc-248da9c8197f,1624970946968,-16.9087212,32.7716036,0.011369085,-0.008829713,-0.019367218,-0.051547647,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,8570aaa9-9717-418a-867f-a69a0a34ed2e,1624970947018,-16.9087212,32.7716036,0.011369085,-0.049677372,-0.00019931793,0.017281294,other,other,False,mixed,mixed
b44d874b-8a72-49d5-b329-e6ad5858dddf,c8f21f42-3fd0-493b-a99c-c21f67e2f5e9,00a6f4c5-ee7e-478e-bb98-9543c0521fb7,1624970947068,-16.9087212,32.7716036,0.011369085,-0.075203896,0.033833504,0.0831697,other,other,False,mixed,mixed
