bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,b7c55ef8-9b97-428d-a74d-244ca1994885,1644232611531,13.3535595,52.5097819,2.7640767,-1.042898,2.0863,-3.2653203,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,7f9ba7c4-3859-454d-aedb-8a42d401390e,1644232611580,13.3536001,52.5098164,2.966542,1.3984572,-10.0420065,2.7297907,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,8d67e1ec-528b-4e1c-9e83-fe6ebb3edc68,1644232611630,13.3536001,52.5098164,2.966542,-0.5461793,-6.395303,5.012824,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,87c44e0f-ce77-4e1e-bc00-58aac6de6586,1644232611694,13.3536001,52.5098164,2.966542,-0.82872,-7.624728,6.099019,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,516f42e7-4527-4aec-a5ff-c04b66b6ccc5,1644232611744,13.3536001,52.5098164,2.966542,-0.84005535,-0.4607023,2.7000055,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,5a0ac7a3-13db-4b7b-8c9a-6809c0eae5d0,1644232611794,13.3536001,52.5098164,2.966542,-1.9661847,1.7373853,9.916148,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,bb7301f6-5c41-41ee-ade5-03225f5383a8,1644232611859,13.3536001,52.5098164,2.966542,-1.284179,-5.0744724,2.6281214,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,96289711-4835-4832-a28a-50a0f4d7a324,1644232611910,13.3536001,52.5098164,2.966542,1.2497485,5.141946,-2.2448764,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,518d0072-2f6a-446f-b0d3-9d888bc3e859,1644232611959,13.3536001,52.5098164,2.966542,0.9026607,1.7253675,0.39811707,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,05530234-dab2-437a-b077-5597bac17242,2681fa49-caaf-471e-871b-b79a24aba1da,1644232612019,13.3536001,52.5098164,2.966542,-0.0030275285,-8.444133,3.4366112,on bike mount,cyclo cross,True,fine gravel,good
