bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,dac878fd-fdf0-4e78-8a0b-933e8bb144d3,1626117231759,13.4211451,52.4735921,0.027823217,-0.14714384,-0.07217646,-0.040955096,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,0ad703d7-2354-435f-9450-b9fed08b6a1c,1626117231810,13.4211451,52.4735921,0.027823217,-0.22238684,-0.340806,-0.2068595,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,da239592-cc1d-4219-a86e-a7b1d5f7cf69,1626117231860,13.4211451,52.4735921,0.027823217,-0.025549889,-0.13381052,-0.184852,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,2683204e-9984-4925-b18c-5edb92fe2a7c,1626117231912,13.4211451,52.4735921,0.027823217,-0.053214073,0.19410944,-0.030753382,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,b9a8aa4a-1406-42cb-85da-bc0d6aa066d5,1626117231962,13.4211451,52.4735921,0.027823217,0.47383928,0.25403452,-0.2758683,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,d0b5304d-e096-4e2b-9d57-9b5a7bd538db,1626117232013,13.4211451,52.4735921,0.027823217,-0.34092188,0.09819269,-0.4597065,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,44ac23b6-71e6-4e17-ba42-d5006d10abb0,1626117232063,13.4211441,52.4735931,0.0048703696,0.2174182,-0.25743484,-0.29538602,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,334b2bcc-85c9-4b99-9584-e07c71d552b5,1626117232114,13.4211441,52.4735931,0.0048703696,0.17254734,0.45317888,0.24840355,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,7d77b05b-448c-4627-aaa2-3389b8d34aad,1626117232164,13.4211441,52.4735931,0.0048703696,-0.461442,-0.1370964,0.14577138,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,4fc8998a-7699-45da-bc98-8dde7034e206,1626117232214,13.4211441,52.4735931,0.0048703696,-0.3698535,-1.0689707,-0.24036682,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,6cdc5c63-2119-4621-84f0-ef4afa33073a,1626117232265,13.4211441,52.4735931,0.0048703696,0.31980705,0.1566577,0.0004606247,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,7b4cb0b7-e31f-4b0e-8494-85e4069c606c,1626117232316,13.4211441,52.4735931,0.0048703696,0.17339993,0.21994019,-0.037447214,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,b844723d-1250-4b39-aebd-bac973d68eae,1626117232367,13.4211441,52.4735931,0.0048703696,-0.038525105,-0.05890894,-0.031913877,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,5ff22730-5757-44e8-95d4-6d3748752396,1626117232416,13.4211441,52.4735931,0.0048703696,-0.33841562,0.09161568,-0.1432674,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,3a0736e9-19c6-44fc-baec-c63e0659931b,1626117232466,13.4211441,52.4735931,0.0048703696,-0.5920272,0.323318,-0.25192773,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,9ccf8013-a195-40c1-8f8e-255d38ad17c9,1626117232516,13.4211441,52.4735931,0.0048703696,0.09285641,0.10187626,-0.16177738,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,0f8087ce-9d00-4521-9386-6bab42aea20d,1626117232566,13.4211441,52.4735931,0.0048703696,0.40795708,0.0023183823,-0.38227642,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,6c5aab9f-4d48-4417-be97-5c8a3af1b1a0,1626117232616,13.4211441,52.4735931,0.0048703696,0.46874905,-0.056433678,0.020305514,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,d938fca2-64e1-47d1-b960-e055e5c6cc8f,1626117232666,13.4211441,52.4735931,0.0048703696,0.068499565,-0.19867992,0.13767958,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,46adde74-eb13-4621-ba2e-101d699e9ef7,1626117232718,13.4211441,52.4735931,0.0048703696,0.33483648,0.46343565,0.7235124,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,a24a37ca-5101-4b89-aecd-cc4941c06c48,1626117232768,13.4211441,52.4735931,0.0048703696,0.50534916,-0.1210289,1.2152708,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,c7ea4d2a-1255-41ab-8673-b5429f9e9d91,1626117232818,13.4211441,52.4735931,0.0048703696,-0.24208164,-0.38106155,0.12728852,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,6aa5cce2-a605-407a-9f61-952249a037fd,1626117232868,13.4211441,52.4735931,0.0048703696,-0.10311985,0.21779633,-1.0759029,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,b1a1cf8a-3b23-48ed-9ff4-7524ef2a2190,1626117232918,13.4211441,52.4735931,0.0048703696,0.2934308,0.31758785,-0.4217223,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,d4d3a96f-ed87-4313-98f4-7934e6b75f7e,1626117232968,13.4211441,52.4735931,0.0048703696,0.6627078,0.42974138,-0.44596565,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,0db2680f-c346-4280-82ec-ff2c65f78ed1,1626117233018,13.4211441,52.4735931,0.0048703696,0.09170294,-0.051921844,-0.348472,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,39d71666-1f42-4e89-bf80-14572f06ee93,1626117233069,13.4211431,52.4735946,0.0009107319,0.016789436,0.32269287,0.22373158,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,c4c0ac24-a4d1-4a78-8ba7-371e13e73de5,1626117233119,13.4211431,52.4735946,0.0009107319,-0.21488476,0.007177353,0.034906507,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,1a26fb4c-e1a4-41ba-9a8f-31be691e0c51,1626117233169,13.4211431,52.4735946,0.0009107319,-0.44593573,0.15057945,0.017742395,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,2d94127b-fb86-4911-9d69-43c823153244,1626117233219,13.4211431,52.4735946,0.0009107319,-0.27800274,0.10472393,0.5731862,in backpack,cyclo cross,False,sett,mixed
bd1cb700-66d0-48b9-8d3d-61de9a5c4c70,5bae239c-3fd0-4dda-964b-8137f4db925b,339b8165-08af-44cf-bb80-fd091838cdad,1626117233270,13.4211431,52.4735946,0.0009107319,-0.19734764,0.39788103,-0.016711414,in backpack,cyclo cross,False,sett,mixed
