bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,659f2dad-7b9a-431b-9041-1406b8bfc62c,1644233749276,13.357831,52.511561,4.3839316,-1.7915753,-4.49457,-5.175275,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,f7a0f0c0-2dfc-4e0d-b80a-f803f95b9137,1644233749333,13.357831,52.511561,4.3839316,-2.9669232,4.2995234,17.442842,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,58d9a0b4-03a2-4975-be6f-cdd41b65a01c,1644233749389,13.357831,52.511561,4.3839316,-0.48635215,-2.4388294,-5.7673388,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,2843dcbf-7eb6-4b49-8cc2-7b9c8a7839b7,1644233749449,13.357831,52.511561,4.3839316,0.8717936,1.6253154,-4.485687,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,fff01613-9adf-4423-a659-8c6613ee0104,1644233749502,13.357831,52.511561,4.3839316,-0.30434343,2.2292376,-7.18212,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,78daaea2-22ad-4240-b2a4-f46731f93511,1644233749556,13.357831,52.511561,4.3839316,1.3687941,-0.86275184,-3.838371,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,27b012cf-8653-4bf2-8ccc-9a1b6386c665,1644233749612,13.3579456,52.5115728,4.34985,1.157373,-5.683997,2.0754728,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,a1db5fe6-950a-4178-b79f-816f2c33d64d,1644233749666,13.3579456,52.5115728,4.34985,1.3579273,3.4544616,-4.1061416,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,ace8b8fc-5813-4ccf-8b36-d288befc1386,1644233749722,13.3579456,52.5115728,4.34985,1.3533738,-3.9985285,2.295041,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,cbd60186-fe89-4bef-b3ea-5910b5b5be44,1644233749778,13.3579456,52.5115728,4.34985,1.6255312,1.226975,-0.8345432,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,dd7f9f02-7b90-4767-b41a-495a9109110b,1644233749833,13.3579456,52.5115728,4.34985,0.048080176,-3.8991284,5.5221434,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,a37b455f-d3c3-487f-93a6-ae4ef160e0d3,1644233749888,13.3579456,52.5115728,4.34985,3.1286178,-3.9545774,0.38197613,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,8a645af3-7f65-4d52-9796-2653fc414686,1644233749945,13.3579456,52.5115728,4.34985,3.7339835,-10.146325,4.044153,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,03ccfbd1-5d02-42b3-8c5f-c942868a1624,1644233750003,13.3579456,52.5115728,4.34985,-1.1314654,-0.67438364,1.6378183,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,327a9d8d-77c1-4b9e-95be-a6a61ad703d2,1644233750055,13.3579456,52.5115728,4.34985,1.5597093,-6.243004,-2.090446,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,500de829-7365-42b9-935a-da3d51d7a50c,1644233750110,13.3579456,52.5115728,4.34985,0.82528496,2.6648874,4.3487587,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,7fd86718-bcc4-4946-b33a-27dcd7c59d4e,1644233750165,13.3579456,52.5115728,4.34985,-4.1440372,0.6715574,-4.6893263,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,a95828e5-8ff1-4c44-8e4a-45de372ff927,1644233750222,13.3579456,52.5115728,4.34985,1.0951375,-0.3925941,-8.824205,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,e3c8c72b-8d61-40d7-9f20-6ad372c9ac66,1644233750276,13.3579456,52.5115728,4.34985,-0.47206736,-2.350581,5.010536,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,76d33298-bd83-400b-bcf9-fe8d492640a4,1644233750333,13.3579456,52.5115728,4.34985,-1.0596681,-1.8700457,0.73909664,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,a0f6b2ed-6990-4c59-82d9-4fff63a4cb14,1644233750389,13.3579456,52.5115728,4.34985,0.34988979,-0.6641109,-1.4559369,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,7bd18e2d-d927-4537-bf5f-3605b6cf7de0,1644233750444,13.3579456,52.5115728,4.34985,1.0243378,1.1393652,-2.4268742,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,d24f6c26-0c47-4a0b-aa70-06bbb7a56f92,1644233750500,13.3579456,52.5115728,4.34985,-0.34242758,1.0351827,5.2056665,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,b1218823-537a-4723-8d21-2ce8c98bcf07,1644233750556,13.3579456,52.5115728,4.34985,0.9893666,-2.277001,0.042203903,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,cf6e8c95-1580-46ea-bfd3-2d4184db86f0,1644233750609,13.3580265,52.5115846,3.9748573,0.22535074,3.7792778,-0.92848015,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,aae9f48a-a68c-4770-a9f1-216fa026ca5a,1644233750665,13.3580265,52.5115846,3.9748573,0.2261045,0.64250255,-5.20667,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,080134c1-a09d-42ce-8f7c-c4213484bb67,1644233750722,13.3580265,52.5115846,3.9748573,1.3567389,-4.5898232,1.9793472,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,324ee5fb-25c2-46d2-b209-362b6d57b38a,1644233750777,13.3580265,52.5115846,3.9748573,0.3324352,2.136145,-1.9565864,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,aae9e1ad-42c8-40a2-ac51-4150731295b3,1644233750832,13.3580265,52.5115846,3.9748573,1.6201209,-1.5767702,-1.6371846,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,e7b4447f-32af-41f9-bb9d-330e542a7978,1644233750887,13.3580265,52.5115846,3.9748573,2.2634716,-2.0299509,0.38366985,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,2736cf11-80cf-40ed-aace-55f1b8437c90,1644233750943,13.3580265,52.5115846,3.9748573,0.9433272,-1.3875369,-3.3941927,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,bee9028a-a40e-4165-b668-4e6f087f4374,1644233751000,13.3580265,52.5115846,3.9748573,-1.263541,1.4900327,-1.2405553,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,0c72a004-492c-4fb3-bc73-bb4aef11fc93,1644233751055,13.3580265,52.5115846,3.9748573,-0.6915473,-2.675988,-2.3809886,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,e89d487f-ea40-4439-9f83-2cb1a788c5d4,1644233751112,13.3580265,52.5115846,3.9748573,0.49228618,-0.03387332,1.4457321,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,f9a84ed1-0187-4fac-a214-59ed2f24bc56,1644233751166,13.3580265,52.5115846,3.9748573,-0.13370812,-0.23519301,4.3707304,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,18784774-20f8-4389-a4e6-c56d865832d7,1644233751222,13.3580265,52.5115846,3.9748573,-1.074617,-1.0999379,2.437625,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,e5ec8f69-768e-4e2c-8844-cfbb0d6b591d,1644233751277,13.3580816,52.5115896,4.0794005,-0.8460462,-3.8036084,3.6121073,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,cc50a282-3e06-4213-a6b6-b933cdf7b336,1644233751335,13.3580816,52.5115896,4.0794005,-1.8672366,-2.31917,-11.871248,on bike mount,cyclo cross,True,fine gravel,good
c05b8606-5590-4397-99ed-35241d78d29a,f646d364-9451-4903-a596-6b394400210e,17fa4539-34f2-41be-b5c8-be511ff084af,1644233751389,13.3580816,52.5115896,4.0794005,0.49891093,-0.19732285,2.0614862,on bike mount,cyclo cross,True,fine gravel,good
