bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,c6c01c2a-b972-4fa9-8dca-43551cb92251,1634556886225,13.4806309,52.4834458,6.290992,2.2121954,12.6194515,-16.837831,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,d359be9c-202e-4c05-b6bd-11add2708b7e,1634556886291,13.4806309,52.4834458,6.290992,-2.4324822,-8.590735,-3.4998717,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,44fcc717-f4fb-44ea-9d45-a6edd1e29cca,1634556886341,13.4806309,52.4834458,6.290992,-1.0780901,7.824888,-3.9623194,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,2c16ad5e-3746-4b74-bdd0-1c5d4a5495bd,1634556886392,13.4806309,52.4834458,6.290992,-1.5022421,-11.664295,1.4602909,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,210fb67f-c994-49e3-8269-7f5de3bc419f,1634556886458,13.4806309,52.4834458,6.290992,-0.7820479,0.72434235,6.3752165,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,64490709-3dc4-475c-8063-c60eb08c94e0,1634556886508,13.4806309,52.4834458,6.290992,-0.12246892,2.1146836,-1.4555311,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,b49a910f-d95f-4b81-bee7-21127285f0bb,1634556886559,13.4806309,52.4834458,6.290992,0.94598114,4.6841793,-5.0878744,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,b548ebbf-1925-4264-9a50-e1e5658c187e,1634556886625,13.4806309,52.4834458,6.290992,-0.5064435,-8.135199,2.1696348,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,6f879c1f-39f0-4af6-b923-381043ca8570,1634556886676,13.4806309,52.4834458,6.290992,2.8234575,5.231264,2.9145374,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,e00cdd3f-bd1b-4955-b18e-048c88586b01,1634556886726,13.4806309,52.4834458,6.290992,-2.0958848,-1.8755963,-0.124830246,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,b27fb12b-736e-400f-b629-6ead9858477b,1634556886776,13.4806309,52.4834458,6.290992,-0.9088249,-4.6342053,-2.292191,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,2fa19605-1300-412c-8981-09b706347dab,2a54eba6-ccb4-4167-bae4-3c105c9b42ad,1634556886843,13.4806309,52.4834458,6.290992,-0.09590066,3.0538526,0.33654022,on bike mount,cyclo cross,False,mixed,mixed
