bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,23d63704-1f3f-49a4-9b5f-237778326e69,1633167075731,14.2173133,52.3077134,6.4903283,0.9460975,-0.14670324,0.6866598,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,c72c27f8-74fd-414d-affa-4873fa97d0ce,1633167075798,14.2173133,52.3077134,6.4903283,-0.21154374,-0.5337117,-0.0074071884,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,e4ead8cf-a8b9-47bf-814b-fd448c672812,1633167075859,14.2173133,52.3077134,6.4903283,0.59006447,-0.45990038,0.7818241,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,5253d97a-a013-43f1-86e6-9b20aebd890b,1633167075910,14.2173133,52.3077134,6.4903283,0.79865587,-0.52947617,-0.3300829,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,7dedc9fe-fe87-48c0-b859-23d67684636a,1633167075977,14.2173133,52.3077134,6.4903283,-0.022763327,0.0037777424,0.47630596,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,9f22a359-ca00-416e-ad6f-c22e4816f7d3,1633167076044,14.2173133,52.3077134,6.4903283,-0.6938274,-0.7185737,0.9119053,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,1adf4c25-1571-4dd1-9bf3-31ca764f1420,1633167076111,14.2173133,52.3077134,6.4903283,0.45080972,-0.22114062,-0.7317867,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,8a0b8ffe-aa52-40e1-88f6-57a37ef021c7,1633167076178,14.2173133,52.3077134,6.4903283,0.033181764,1.8389392,-0.39284706,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,dd65c3cd-5556-4883-928f-f0cd05b24c6f,1633167076228,14.2173133,52.3077134,6.4903283,-0.7136959,-0.45421958,0.09921646,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,44a6aa6a-c86a-4602-828b-8548e6d311f1,405f01ce-9b3b-417e-9db4-b6a2bcbcdc4a,1633167076294,14.2173133,52.3077134,6.4903283,-0.43571717,-1.3188738,1.0965395,on bike mount,cyclo cross,False,asphalt,excellent
