bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,3476f246-7972-49f4-94df-4687aca59544,1626708816341,13.5716542,52.4189045,5.6655273,-0.005613295,-5.0769973,-0.38117886,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,9a29ab61-9b22-41c1-8fec-7b77e5d2410a,1626708816410,13.5716542,52.4189045,5.6655273,-0.58794904,3.1844916,3.1579056,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,dd227075-55a0-4379-ae8c-eca25f03934f,1626708816476,13.5716542,52.4189045,5.6655273,2.065293,3.1086545,6.4943676,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,30295adb-5b13-4649-8d1a-71127f2e179d,1626708816542,13.5716542,52.4189045,5.6655273,0.26435244,-2.7215948,1.9699688,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,2dc5ff30-59d0-4c90-859f-2f3af08665a4,1626708816606,13.5716225,52.4189648,6.515103,0.48022425,0.11002454,-3.9867268,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,affad52e-f8a2-4aef-97b3-e5f66053aa90,1626708816672,13.5716225,52.4189648,6.515103,-1.0355215,-1.0472422,6.875225,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,0fea3eac-08ef-4494-9e4b-beef36d781dc,1626708816742,13.5716225,52.4189648,6.515103,-1.5755005,-0.21278691,-0.34779167,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,ccb015d0-a757-45b7-801a-d52d0248254b,1626708816810,13.5716225,52.4189648,6.515103,0.41643906,-1.3078905,9.608147,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,0ae09b27-1fd0-404b-9cba-009b5584245b,1626708816876,13.5716225,52.4189648,6.515103,-0.018389702,1.5711586,4.5450087,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,7266b775-369e-4e5d-bdab-9045be48f677,1626708816942,13.5716225,52.4189648,6.515103,-0.48329413,0.35213637,-2.954144,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,91cc6051-ead8-41f0-877b-54be99b5ddde,1626708817008,13.5716225,52.4189648,6.515103,1.0951054,3.1659193,-4.6977415,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,be1fc01e-10c3-4822-9f0b-6f825a8db1b7,1626708817076,13.5716225,52.4189648,6.515103,0.53930306,-4.5322556,9.138952,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,8b10cc45-37ae-417b-94db-553303450053,1626708817142,13.5716225,52.4189648,6.515103,-0.16286683,1.9315071,9.34748,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,922cde18-9434-4da9-98e5-48c1a9f972c9,1626708817208,13.5716225,52.4189648,6.515103,1.5836003,-2.0319169,-0.7869463,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,46b29b62-e00c-4d4a-881b-fd60344c311a,a2fd5dfe-1d62-4427-be43-eb80b9e4f0cf,1626708817275,13.5716225,52.4189648,6.515103,1.650894,0.71860445,-5.05933,on bike mount,road bicycle,False,ground,intermediate
