bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,248d2d6b-6179-42a5-9f72-494422cc7ae5,1634109288685,13.4158272,52.4824872,6.692379,0.24342518,0.025670528,-2.094242,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,080be66c-9109-4d98-8451-62f5a3194df4,1634109288736,13.4158272,52.4824872,6.692379,0.4348913,1.9599991,-0.27748394,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,3508e179-c87a-477f-b7ce-95a40755336d,1634109288802,13.4158272,52.4824872,6.692379,-0.08108953,-0.08692098,0.4438877,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,b8b22b85-d75e-43f2-b705-7036f1a4f60f,1634109288851,13.4158272,52.4824872,6.692379,-0.33397985,0.29953027,1.3801994,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,fb1b61b3-1e5f-417e-a131-ebd24c150e12,1634109288902,13.4158272,52.4824872,6.692379,-0.00078229606,-0.7952447,-0.4919176,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,2c2d1067-bce1-4084-a5c5-a388407a4b16,1634109288954,13.4158272,52.4824872,6.692379,0.2977379,-0.07687354,1.2264872,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,c1102f6c-3807-48b1-9ef5-b6c5e99954de,1634109289017,13.4158272,52.4824872,6.692379,0.014540166,1.115217,-2.1879907,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,13e2cd8e-f900-4caf-86c1-34739d4afc95,1634109289068,13.4158272,52.4824872,6.692379,-0.04687926,0.3367474,0.8125973,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,5cb2259a-23d9-48d5-a308-50309a94de43,1634109289119,13.4158272,52.4824872,6.692379,0.24721208,-0.5209588,0.89877987,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,3267665d-efbb-4db7-9219-287ac8a45282,8e550db0-a65c-4cc4-b03a-770395aa0c88,1634109289170,13.4158272,52.4824872,6.692379,1.0404949,-2.2326338,0.899251,on bike mount,cyclo cross,True,asphalt,excellent
