bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,1cc8b58e-780f-4d44-a4e7-e1754e800d9f,1626116574289,13.3865915,52.4715156,0.44908336,-0.049931526,-0.13909167,0.6245415,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,a7864277-07b6-4738-b1d2-bd155ddc697d,1626116574341,13.3865915,52.4715156,0.44908336,0.9001236,0.5370178,0.81469756,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,033d8024-d0ef-4016-b560-1749f24ffb0a,1626116574391,13.3865915,52.4715156,0.44908336,0.50670815,0.21925688,0.31523812,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,ee15ecbf-fb7d-476c-9bcf-c83992deb1ea,1626116574440,13.3865915,52.4715156,0.44908336,1.5614357,0.007360466,-0.04098481,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,6e586124-dc45-457f-a995-2ba17fb01cd4,1626116574490,13.3865915,52.4715156,0.44908336,-0.09175682,0.49331313,-0.13656,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,4d650552-b05d-40f4-b6ea-b83bd9a5c8b8,1626116574541,13.3865915,52.4715156,0.44908336,-0.5728235,0.012694053,-0.058831036,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,aba5bfba-d9b0-4830-88e5-29204f22cd55,1626116574591,13.3865915,52.4715156,0.44908336,-0.51097584,-0.8513177,0.012886107,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,a871dbe6-bba2-438f-95d1-a2ffb463b67c,1626116574642,13.3865915,52.4715156,0.44908336,-0.088959694,-0.50513834,-0.12214446,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,01b4689c-0d93-4c03-8631-9b0942ee43c2,1626116574692,13.3865915,52.4715156,0.44908336,0.16907215,-0.115616836,-0.20158505,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,ce325bfd-b072-4670-bcdc-60ebcbd035a4,1626116574742,13.3865915,52.4715156,0.44908336,0.16035461,-0.1663069,-0.2894907,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,89346e1a-e182-49e7-9832-a37e3a0bee28,1626116574793,13.3865915,52.4715156,0.44908336,-0.2900505,-0.41000476,-0.48158586,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,b8f5d157-b127-41d6-bb2b-00140f730eeb,1626116574842,13.3865915,52.4715156,0.44908336,-0.32819557,-0.5718802,-0.37134695,in backpack,cyclo cross,False,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,62a1673a-6a39-47b7-a874-14f4660acec7,1626116574893,13.3865915,52.4715156,0.44908336,-0.04916382,-0.37022594,-0.15289606,in backpack,cyclo cross,False,asphalt,good
